srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	1110721	5230646	3022096.0	3022096.0	3022096.0	3022.095	3022.095	3022.095	2082.0	GigabitEthernet0/0	20203.0	36460.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	timeout	1431215	6126468	3600182.0	3600182.0	3600182.0	3600.182	3600.182	3600.182	1896.0	GigabitEthernet0/0	20203.0	36460.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	1323842	6025420	3230736.0	3230736.0	3230736.0	3230.735	3230.735	3230.735	2159.0	GigabitEthernet0/0	20203.0	36460.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	timeout	1493338	6525882	3600190.0	3600190.0	3600190.0	3600.189	3600.189	3600.189	1823.0	GigabitEthernet0/0	20203.0	36460.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	timeout	1382664	6304480	3600187.0	3600187.0	3600187.0	3600.186	3600.186	3600.186	1856.0	GigabitEthernet0/0	20203.0	36460.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	65030	860446	130930.0	130930.0	130930.0	130.929	130.929	130.929	1839.0	GigabitEthernet0/0	20203.0	36460.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	801789	3544707	1679231.0	1679231.0	1679231.0	1679.23	1679.23	1679.23	2076.0	GigabitEthernet0/0	20203.0	36460.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	833598	4060774	1970497.0	1970497.0	1970497.0	1970.496	1970.496	1970.496	1838.0	GigabitEthernet0/0	20203.0	36460.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	574838	3546800	1332354.0	1332354.0	1332354.0	1332.353	1332.353	1332.353	1742.0	GigabitEthernet0/0	20203.0	36460.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	360557	2195596	854117.0	854117.0	854117.0	854.115	854.115	854.115	2179.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	7292	194049	13060.0	13060.0	13060.0	13.059	13.059	13.059	1711.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	1007004	4537995	2369085.0	2369085.0	2369085.0	2369.085	2369.085	2369.085	1720.0	GigabitEthernet0/0	20203.0	36460.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	347242	2113844	785819.0	785819.0	785819.0	785.818	785.818	785.818	1804.0	GigabitEthernet0/0	20203.0	36460.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	timeout	1461351	6798102	3600131.0	3600131.0	3600131.0	3600.13	3600.13	3600.13	1771.0	GigabitEthernet0/0	20203.0	36460.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	540041	2728703	1236719.0	1236719.0	1236719.0	1236.717	1236.717	1236.717	1937.0	GigabitEthernet0/0	20203.0	36460.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	520387	3256494	1396694.0	1396694.0	1396694.0	1396.693	1396.693	1396.693	1697.0	GigabitEthernet0/0	20203.0	36460.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	845588	3779480	2016234.0	2016234.0	2016234.0	2016.232	2016.232	2016.232	1742.0	GigabitEthernet0/0	20203.0	36460.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	sat	544512	3019297	1220067.0	1220067.0	1220067.0	1220.067	1220.067	1220.067	1716.0	GigabitEthernet0/0	20203.0	36460.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	586871	2830009	1328103.0	1328103.0	1328103.0	1328.102	1328.102	1328.102	1748.0	GigabitEthernet0/0	20203.0	36460.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	419545	2482981	1009774.0	1009774.0	1009774.0	1009.773	1009.773	1009.773	1718.0	GigabitEthernet0/0	20203.0	36460.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	sat	372074	2299585	828154.0	828154.0	828154.0	828.153	828.153	828.153	1749.0	GigabitEthernet0/0	20203.0	36460.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	198190	1445195	426913.0	426913.0	426913.0	426.912	426.912	426.912	1753.0	GigabitEthernet0/0	20203.0	36460.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	381137	2388208	889316.0	889316.0	889316.0	889.315	889.315	889.315	1712.0	GigabitEthernet0/0	20203.0	36460.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	131573	1188918	248348.0	248348.0	248348.0	248.348	248.348	248.348	1708.0	GigabitEthernet0/0	20203.0	36460.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	77320	714485	143059.0	143059.0	143059.0	143.059	143.059	143.059	1707.0	GigabitEthernet0/0	20203.0	36460.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	382349	2465184	839410.0	839410.0	839410.0	839.409	839.409	839.409	1703.0	GigabitEthernet0/0	20203.0	36460.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	897512	4156532	1955275.0	1955275.0	1955275.0	1955.274	1955.274	1955.274	1705.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	614578	3666116	1621476.0	1621476.0	1621476.0	1621.474	1621.474	1621.474	1806.0	GigabitEthernet0/0	20203.0	36460.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	168850	1404184	350394.0	350394.0	350394.0	350.392	350.392	350.392	1707.0	GigabitEthernet0/0	20203.0	36460.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	timeout	1399889	6532127	3600138.0	3600138.0	3600138.0	3600.137	3600.137	3600.137	1715.0	GigabitEthernet0/0	20203.0	36460.0
tallinn	leon	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	741339	3935042	1787713.0	1787713.0	1787713.0	1787.713	1787.713	1787.713	1718.0	GigabitEthernet0/0	20203.0	36460.0
omaha	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	1119039	5114683	2855523.0	2855523.0	2855523.0	2855.522	2855.522	2855.522	1720.0	GigabitEthernet0/0	20203.0	36460.0
charlotte	waterloo	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	608029	3095857	1479394.0	1479394.0	1479394.0	1479.393	1479.393	1479.393	1708.0	GigabitEthernet0/0	20203.0	36460.0
olean	miami	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	697817	4016584	1730836.0	1730836.0	1730836.0	1730.835	1730.835	1730.835	2133.0	GigabitEthernet0/0	20203.0	36460.0
cincinnati	ogdensburg	IpWildcardIpSpace{ipWildcard=200.0.227.0/24}	sat	165296	1384353	332944.0	332944.0	332944.0	332.943	332.943	332.943	1724.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh30	salamanca	IpWildcardIpSpace{ipWildcard=200.1.13.0/24}	sat	940006	4353959	2208460.0	2208460.0	2208460.0	2208.458	2208.458	2208.458	1713.0	GigabitEthernet0/0	20203.0	36460.0
jamestown	logrono	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	sat	8256	190021	15819.0	15819.0	15819.0	15.818	15.818	15.818	1717.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh21	bologna	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	219089	1641206	470815.0	470815.0	470815.0	470.814	470.814	470.814	1724.0	GigabitEthernet0/0	20203.0	36460.0
stamford	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	timeout	1334530	6195741	3600129.0	3600129.0	3600129.0	3600.128	3600.128	3600.128	1732.0	GigabitEthernet0/0	20203.0	36460.0
stuttgart	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	748143	3786710	1995763.0	1995763.0	1995763.0	1995.761	1995.761	1995.761	1751.0	GigabitEthernet0/0	20203.0	36460.0
orangettcounty	nashville	IpWildcardIpSpace{ipWildcard=200.0.182.0/24}	timeout	1445695	6803958	3600137.0	3600137.0	3600137.0	3600.136	3600.136	3600.136	1729.0	GigabitEthernet0/0	20203.0	36460.0
coxsackie	worcester	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	sat	636196	3570151	1606097.0	1606097.0	1606097.0	1606.096	1606.096	1606.096	1736.0	GigabitEthernet0/0	20203.0	36460.0
nodeidh123	rowland	IpWildcardIpSpace{ipWildcard=200.1.10.0/24}	sat	983155	4574609	2807018.0	2807018.0	2807018.0	2807.017	2807.017	2807.017	1733.0	GigabitEthernet0/0	20203.0	36460.0
santtantonio	malone	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	977797	4766226	2637529.0	2637529.0	2637529.0	2637.528	2637.528	2637.528	1726.0	GigabitEthernet0/0	20203.0	36460.0
rowland	essexttjunction	IpWildcardIpSpace{ipWildcard=200.0.93.0/24}	sat	1222687	5437806	3237104.0	3237104.0	3237104.0	3237.103	3237.103	3237.103	1754.0	GigabitEthernet0/0	20203.0	36460.0
bern	hamilton	IpWildcardIpSpace{ipWildcard=200.0.113.0/24}	sat	94045	1023279	182680.0	182680.0	182680.0	182.679	182.679	182.679	1791.0	GigabitEthernet0/0	20203.0	36460.0
barcelona	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	451709	2289702	902467.0	902467.0	902467.0	902.466	902.466	902.466	1735.0	GigabitEthernet0/0	20203.0	36460.0
bordeaux	buffalo	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	810457	4001657	1867519.0	1867519.0	1867519.0	1867.517	1867.517	1867.517	1744.0	GigabitEthernet0/0	20203.0	36460.0
ingleside	gouveneur	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	1276097	5847558	3257420.0	3257420.0	3257420.0	3257.419	3257.419	3257.419	1775.0	GigabitEthernet0/0	20203.0	36460.0
portland	jamestown	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	sat	192245	1476730	451410.0	451410.0	451410.0	451.408	451.408	451.408	1754.0	GigabitEthernet0/0	20203.0	36460.0
