srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	113	1499	1388.0	1388.0	1388.0	1.387	1.387	1.387	1015.0	GigabitEthernet0/0	19379.0	26888.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	4	117	1142.0	1142.0	1142.0	1.141	1.141	1.141	991.0	GigabitEthernet0/0	19379.0	26888.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	3	132	1033.0	1033.0	1033.0	1.032	1.032	1.032	1014.0	GigabitEthernet0/0	19379.0	26888.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	5	143	1040.0	1040.0	1040.0	1.039	1.039	1.039	999.0	GigabitEthernet0/0	19379.0	26888.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	262	4345	2052.0	2052.0	2052.0	2.052	2.052	2.052	995.0	GigabitEthernet0/0	19379.0	26888.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	103	1730	1306.0	1306.0	1306.0	1.305	1.305	1.305	943.0	GigabitEthernet0/0	19379.0	26888.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	102	1110	1289.0	1289.0	1289.0	1.289	1.289	1.289	970.0	GigabitEthernet0/0	19379.0	26888.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	108	1790	1351.0	1351.0	1351.0	1.35	1.35	1.35	925.0	GigabitEthernet0/0	19379.0	26888.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	107	1979	1369.0	1369.0	1369.0	1.368	1.368	1.368	988.0	GigabitEthernet0/0	19379.0	26888.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	8	147	1050.0	1050.0	1050.0	1.05	1.05	1.05	932.0	GigabitEthernet0/0	19379.0	26888.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	478	4444	2120.0	2120.0	2120.0	2.119	2.119	2.119	951.0	GigabitEthernet0/0	19379.0	26888.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	12	253	1240.0	1240.0	1240.0	1.239	1.239	1.239	969.0	GigabitEthernet0/0	19379.0	26888.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	9	178	1048.0	1048.0	1048.0	1.047	1.047	1.047	947.0	GigabitEthernet0/0	19379.0	26888.0
