srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	7809	98832	11742.0	11742.0	11742.0	11.742	11.742	11.742	1049.0	GigabitEthernet0/0	19687.0	27174.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	7771	84157	10339.0	10339.0	10339.0	10.338	10.338	10.338	970.0	GigabitEthernet0/0	19687.0	27174.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	7883	97780	11393.0	11393.0	11393.0	11.392	11.392	11.392	960.0	GigabitEthernet0/0	19687.0	27174.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	8107	101062	11518.0	11518.0	11518.0	11.517	11.517	11.517	967.0	GigabitEthernet0/0	19687.0	27174.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	4761	63673	7299.0	7299.0	7299.0	7.298	7.298	7.298	954.0	GigabitEthernet0/0	19687.0	27174.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	6079	69744	8909.0	8909.0	8909.0	8.907	8.907	8.907	943.0	GigabitEthernet0/0	19687.0	27174.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	6053	75805	9203.0	9203.0	9203.0	9.202	9.202	9.202	918.0	GigabitEthernet0/0	19687.0	27174.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	6350	83515	10033.0	10033.0	10033.0	10.031	10.031	10.031	957.0	GigabitEthernet0/0	19687.0	27174.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	7348	86267	10988.0	10988.0	10988.0	10.987	10.987	10.987	919.0	GigabitEthernet0/0	19687.0	27174.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	8538	95759	12274.0	12274.0	12274.0	12.273	12.273	12.273	930.0	GigabitEthernet0/0	19687.0	27174.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	7235	72135	9903.0	9903.0	9903.0	9.902	9.902	9.902	925.0	GigabitEthernet0/0	19687.0	27174.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	7272	93361	12066.0	12066.0	12066.0	12.066	12.066	12.066	1127.0	GigabitEthernet0/0	19687.0	27174.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	9125	104639	12726.0	12726.0	12726.0	12.724	12.724	12.724	989.0	GigabitEthernet0/0	19687.0	27174.0
schaffhausen	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	6125	74889	8797.0	8797.0	8797.0	8.796	8.796	8.796	947.0	GigabitEthernet0/0	19687.0	27174.0
toulouse	catania	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	6320	81731	10005.0	10005.0	10005.0	10.003	10.003	10.003	909.0	GigabitEthernet0/0	19687.0	27174.0
karlsruhe	zug	IpWildcardIpSpace{ipWildcard=200.0.152.0/24}	sat	6553	75685	9653.0	9653.0	9653.0	9.651	9.651	9.651	920.0	GigabitEthernet0/0	19687.0	27174.0
brussels	reggiottemilia	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	9135	95958	11823.0	11823.0	11823.0	11.822	11.822	11.822	911.0	GigabitEthernet0/0	19687.0	27174.0
