srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	unsat	1391	11935	3788.0	3788.0	3788.0	3.788	3.788	3.788	1014.0	GigabitEthernet0/0	19687.0	27505.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	unsat	1456	9832	3940.0	3940.0	3940.0	3.939	3.939	3.939	983.0	GigabitEthernet0/0	19687.0	27505.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	998	11289	3111.0	3111.0	3111.0	3.11	3.11	3.11	953.0	GigabitEthernet0/0	19687.0	27505.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	unsat	1374	15652	3919.0	3919.0	3919.0	3.918	3.918	3.918	967.0	GigabitEthernet0/0	19687.0	27505.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	unsat	1681	11362	4294.0	4294.0	4294.0	4.293	4.293	4.293	961.0	GigabitEthernet0/0	19687.0	27505.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	unsat	910	10044	3147.0	3147.0	3147.0	3.146	3.146	3.146	944.0	GigabitEthernet0/0	19687.0	27505.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	1522	10409	4287.0	4287.0	4287.0	4.286	4.286	4.286	943.0	GigabitEthernet0/0	19687.0	27505.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	1328	11915	4314.0	4314.0	4314.0	4.314	4.314	4.314	937.0	GigabitEthernet0/0	19687.0	27505.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	unsat	1537	12987	3982.0	3982.0	3982.0	3.981	3.981	3.981	921.0	GigabitEthernet0/0	19687.0	27505.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	unsat	999	12028	3417.0	3417.0	3417.0	3.416	3.416	3.416	929.0	GigabitEthernet0/0	19687.0	27505.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	unsat	1473	10798	3803.0	3803.0	3803.0	3.802	3.802	3.802	926.0	GigabitEthernet0/0	19687.0	27505.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	unsat	1653	13715	4594.0	4594.0	4594.0	4.593	4.593	4.593	937.0	GigabitEthernet0/0	19687.0	27505.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	1373	11010	3209.0	3209.0	3209.0	3.209	3.209	3.209	977.0	GigabitEthernet0/0	19687.0	27505.0
schaffhausen	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	1234	10060	3351.0	3351.0	3351.0	3.35	3.35	3.35	943.0	GigabitEthernet0/0	19687.0	27505.0
toulouse	catania	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	1373	9782	3487.0	3487.0	3487.0	3.486	3.486	3.486	920.0	GigabitEthernet0/0	19687.0	27505.0
karlsruhe	zug	IpWildcardIpSpace{ipWildcard=200.0.152.0/24}	unsat	1180	11537	3428.0	3428.0	3428.0	3.428	3.428	3.428	914.0	GigabitEthernet0/0	19687.0	27505.0
brussels	reggiottemilia	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	unsat	1428	11839	3725.0	3725.0	3725.0	3.724	3.724	3.724	919.0	GigabitEthernet0/0	19687.0	27505.0
antwerp	varese	IpWildcardIpSpace{ipWildcard=200.0.144.0/24}	unsat	1244	10192	3506.0	3506.0	3506.0	3.506	3.506	3.506	1019.0	GigabitEthernet0/0	19687.0	27505.0
birmingham	rome	IpWildcardIpSpace{ipWildcard=200.0.122.0/24}	unsat	1402	10944	3616.0	3616.0	3616.0	3.616	3.616	3.616	1008.0	GigabitEthernet0/0	19687.0	27505.0
