srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
peeressen0	neuss	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	5593	70657	7295.0	7295.0	7295.0	7.294	7.294	7.294	993.0	GigabitEthernet0/0	19687.0	27174.0
esslingen	padova	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	3111	56077	5267.0	5267.0	5267.0	5.266	5.266	5.266	1015.0	GigabitEthernet0/0	19687.0	27174.0
brescia	geneve	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	6527	83567	9723.0	9723.0	9723.0	9.723	9.723	9.723	976.0	GigabitEthernet0/0	19687.0	27174.0
innsbruck	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.131.0/24}	sat	5873	90032	10244.0	10244.0	10244.0	10.243	10.243	10.243	996.0	GigabitEthernet0/0	19687.0	27174.0
brescia	malmo	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	10834	95280	16126.0	16126.0	16126.0	16.126	16.126	16.126	972.0	GigabitEthernet0/0	19687.0	27174.0
rimini	dijon	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	8652	87171	13765.0	13765.0	13765.0	13.765	13.765	13.765	938.0	GigabitEthernet0/0	19687.0	27174.0
bucharest	brindisi	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	2559	49896	4867.0	4867.0	4867.0	4.866	4.866	4.866	962.0	GigabitEthernet0/0	19687.0	27174.0
tours	porto	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	13189	104058	19854.0	19854.0	19854.0	19.853	19.853	19.853	915.0	GigabitEthernet0/0	19687.0	27174.0
dresden	leuven	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	6899	74865	9915.0	9915.0	9915.0	9.914	9.914	9.914	1002.0	GigabitEthernet0/0	19687.0	27174.0
graz	rennes	IpWildcardIpSpace{ipWildcard=200.0.120.0/24}	sat	10023	106551	16342.0	16342.0	16342.0	16.342	16.342	16.342	928.0	GigabitEthernet0/0	19687.0	27174.0
madrid	palermo	IpWildcardIpSpace{ipWildcard=200.0.108.0/24}	sat	8458	93197	14043.0	14043.0	14043.0	14.043	14.043	14.043	919.0	GigabitEthernet0/0	19687.0	27174.0
barcelona	denttbosch	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	10639	122092	17599.0	17599.0	17599.0	17.598	17.598	17.598	911.0	GigabitEthernet0/0	19687.0	27174.0
nuremberg	brussels	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	7843	87932	11234.0	11234.0	11234.0	11.233	11.233	11.233	952.0	GigabitEthernet0/0	19687.0	27174.0
schaffhausen	borgomanero	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	10664	93434	14564.0	14564.0	14564.0	14.564	14.564	14.564	952.0	GigabitEthernet0/0	19687.0	27174.0
toulouse	catania	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	10116	92826	14901.0	14901.0	14901.0	14.9	14.9	14.9	910.0	GigabitEthernet0/0	19687.0	27174.0
karlsruhe	zug	IpWildcardIpSpace{ipWildcard=200.0.152.0/24}	sat	4368	66540	5710.0	5710.0	5710.0	5.709	5.709	5.709	918.0	GigabitEthernet0/0	19687.0	27174.0
