srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	107	2805	2384.0	2384.0	2384.0	2.382	2.382	2.382	1763.0	GigabitEthernet0/0	17377.0	31926.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	43	1211	2254.0	2254.0	2254.0	2.253	2.253	2.253	1495.0	GigabitEthernet0/0	17377.0	31926.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	77	2299	2235.0	2235.0	2235.0	2.234	2.234	2.234	1563.0	GigabitEthernet0/0	17377.0	31926.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	604	9847	4693.0	4693.0	4693.0	4.693	4.693	4.693	1567.0	GigabitEthernet0/0	17377.0	31926.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	64	1965	2143.0	2143.0	2143.0	2.143	2.143	2.143	1522.0	GigabitEthernet0/0	17377.0	31926.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	1008	24685	4804.0	4804.0	4804.0	4.804	4.804	4.804	1524.0	GigabitEthernet0/0	17377.0	31926.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	239	7712	3152.0	3152.0	3152.0	3.152	3.152	3.152	1535.0	GigabitEthernet0/0	17377.0	31926.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	22	788	1875.0	1875.0	1875.0	1.873	1.873	1.873	1561.0	GigabitEthernet0/0	17377.0	31926.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	88	4715	3062.0	3062.0	3062.0	3.062	3.062	3.062	1511.0	GigabitEthernet0/0	17377.0	31926.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	451	7408	2990.0	2990.0	2990.0	2.989	2.989	2.989	1488.0	GigabitEthernet0/0	17377.0	31926.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	53	2953	2296.0	2296.0	2296.0	2.296	2.296	2.296	1511.0	GigabitEthernet0/0	17377.0	31926.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	169	7913	2946.0	2946.0	2946.0	2.944	2.944	2.944	1503.0	GigabitEthernet0/0	17377.0	31926.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	129	4600	3128.0	3128.0	3128.0	3.127	3.127	3.127	1487.0	GigabitEthernet0/0	17377.0	31926.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	156	4299	3430.0	3430.0	3430.0	3.429	3.429	3.429	1614.0	GigabitEthernet0/0	17377.0	31926.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	sat	32	2039	2094.0	2094.0	2094.0	2.093	2.093	2.093	1495.0	GigabitEthernet0/0	17377.0	31926.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	sat	75	2443	2260.0	2260.0	2260.0	2.26	2.26	2.26	1511.0	GigabitEthernet0/0	17377.0	31926.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	74	2509	2635.0	2635.0	2635.0	2.634	2.634	2.634	1543.0	GigabitEthernet0/0	17377.0	31926.0
meridian	sauntttaugustine	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	74	4233	2480.0	2480.0	2480.0	2.479	2.479	2.479	1800.0	GigabitEthernet0/0	17377.0	31926.0
bologna	rouen	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	417	5169	2836.0	2836.0	2836.0	2.835	2.835	2.835	1579.0	GigabitEthernet0/0	17377.0	31926.0
utrecht	malmo	IpWildcardIpSpace{ipWildcard=200.0.137.0/24}	sat	563	17499	5048.0	5048.0	5048.0	5.048	5.048	5.048	1585.0	GigabitEthernet0/0	17377.0	31926.0
myrtlettbeach	leuven	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	166	3608	2844.0	2844.0	2844.0	2.843	2.843	2.843	1477.0	GigabitEthernet0/0	17377.0	31926.0
monza	hollywood	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	128	4333	2815.0	2815.0	2815.0	2.814	2.814	2.814	1459.0	GigabitEthernet0/0	17377.0	31926.0
lafayette	alexandria	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	519	11965	3684.0	3684.0	3684.0	3.684	3.684	3.684	1466.0	GigabitEthernet0/0	17377.0	31926.0
huntsville	ghent	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	45	871	2012.0	2012.0	2012.0	2.012	2.012	2.012	1474.0	GigabitEthernet0/0	17377.0	31926.0
nodeidh85	munich	IpWildcardIpSpace{ipWildcard=200.0.153.0/24}	sat	171	5319	2618.0	2618.0	2618.0	2.617	2.617	2.617	1480.0	GigabitEthernet0/0	17377.0	31926.0
nodeidh99	nyon	IpWildcardIpSpace{ipWildcard=200.0.185.0/24}	sat	52	1714	2069.0	2069.0	2069.0	2.068	2.068	2.068	1458.0	GigabitEthernet0/0	17377.0	31926.0
trento	jackson	IpWildcardIpSpace{ipWildcard=200.0.105.0/24}	sat	55	2321	2313.0	2313.0	2313.0	2.313	2.313	2.313	1450.0	GigabitEthernet0/0	17377.0	31926.0
savannah	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	60	1881	2211.0	2211.0	2211.0	2.21	2.21	2.21	1568.0	GigabitEthernet0/0	17377.0	31926.0
orangeburg	verottbeach	IpWildcardIpSpace{ipWildcard=200.0.251.0/24}	sat	76	3194	2688.0	2688.0	2688.0	2.687	2.687	2.687	1456.0	GigabitEthernet0/0	17377.0	31926.0
amsterdam	berlin	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	79	3179	2362.0	2362.0	2362.0	2.362	2.362	2.362	1414.0	GigabitEthernet0/0	17377.0	31926.0
hamburg	pinettbluff	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	74	2978	2541.0	2541.0	2541.0	2.541	2.541	2.541	1559.0	GigabitEthernet0/0	17377.0	31926.0
salzburg	nodeidh100	IpWildcardIpSpace{ipWildcard=200.0.170.0/24}	sat	121	3323	2411.0	2411.0	2411.0	2.411	2.411	2.411	1436.0	GigabitEthernet0/0	17377.0	31926.0
chiasso	essen	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	sat	74	2678	2366.0	2366.0	2366.0	2.365	2.365	2.365	1448.0	GigabitEthernet0/0	17377.0	31926.0
alexanderttcity	macon	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	56	1893	2275.0	2275.0	2275.0	2.275	2.275	2.275	1443.0	GigabitEthernet0/0	17377.0	31926.0
zurich	lille	IpWildcardIpSpace{ipWildcard=200.0.124.0/24}	sat	477	7553	3442.0	3442.0	3442.0	3.44	3.44	3.44	1442.0	GigabitEthernet0/0	17377.0	31926.0
nyon	nodeidh112	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	36	2051	2147.0	2147.0	2147.0	2.146	2.146	2.146	1463.0	GigabitEthernet0/0	17377.0	31926.0
fayatteville	kortnijk	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	189	5259	2919.0	2919.0	2919.0	2.918	2.918	2.918	1430.0	GigabitEthernet0/0	17377.0	31926.0
rimini	varese	IpWildcardIpSpace{ipWildcard=200.0.248.0/24}	sat	514	7235	3791.0	3791.0	3791.0	3.79	3.79	3.79	1441.0	GigabitEthernet0/0	17377.0	31926.0
varese	grenoble	IpWildcardIpSpace{ipWildcard=200.0.90.0/24}	sat	411	5595	2964.0	2964.0	2964.0	2.963	2.963	2.963	1433.0	GigabitEthernet0/0	17377.0	31926.0
utrecht	bratislava	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	373	7132	3369.0	3369.0	3369.0	3.369	3.369	3.369	1457.0	GigabitEthernet0/0	17377.0	31926.0
rimini	ostend	IpWildcardIpSpace{ipWildcard=200.0.191.0/24}	sat	43	940	2027.0	2027.0	2027.0	2.026	2.026	2.026	1414.0	GigabitEthernet0/0	17377.0	31926.0
parma	cuneo	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	487	6385	3964.0	3964.0	3964.0	3.963	3.963	3.963	1449.0	GigabitEthernet0/0	17377.0	31926.0
trieste	fortttlauderdale	IpWildcardIpSpace{ipWildcard=200.0.77.0/24}	sat	86	2529	2394.0	2394.0	2394.0	2.393	2.393	2.393	1434.0	GigabitEthernet0/0	17377.0	31926.0
dresden	nantes	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	379	4250	2926.0	2926.0	2926.0	2.925	2.925	2.925	1428.0	GigabitEthernet0/0	17377.0	31926.0
nodeidh99	cologne	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	314	7148	3239.0	3239.0	3239.0	3.238	3.238	3.238	1528.0	GigabitEthernet0/0	17377.0	31926.0
norfolk	westttpoint	IpWildcardIpSpace{ipWildcard=200.1.3.0/24}	sat	7541	64995	18407.0	18407.0	18407.0	18.406	18.406	18.406	1454.0	GigabitEthernet0/0	17377.0	31926.0
eindhoven	livorno	IpWildcardIpSpace{ipWildcard=200.0.128.0/24}	sat	135	2705	2397.0	2397.0	2397.0	2.396	2.396	2.396	1441.0	GigabitEthernet0/0	17377.0	31926.0
winterthur	graz	IpWildcardIpSpace{ipWildcard=200.0.87.0/24}	sat	260	6544	3075.0	3075.0	3075.0	3.074	3.074	3.074	1445.0	GigabitEthernet0/0	17377.0	31926.0
beaumont	porto	IpWildcardIpSpace{ipWildcard=200.0.204.0/24}	sat	141	2739	2363.0	2363.0	2363.0	2.363	2.363	2.363	1437.0	GigabitEthernet0/0	17377.0	31926.0
vicenza	sassari	IpWildcardIpSpace{ipWildcard=200.0.222.0/24}	sat	138	2510	2371.0	2371.0	2371.0	2.37	2.37	2.37	1439.0	GigabitEthernet0/0	17377.0	31926.0
