srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	698	109485	9765.0	9765.0	9765.0	9.763	9.763	9.763	1836.0	GigabitEthernet0/0	17377.0	31317.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	696	147339	6809.0	6809.0	6809.0	6.808	6.808	6.808	1577.0	GigabitEthernet0/0	17377.0	31317.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	356	48297	4933.0	4933.0	4933.0	4.931	4.931	4.931	1490.0	GigabitEthernet0/0	17377.0	31317.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	396	81532	6316.0	6316.0	6316.0	6.315	6.315	6.315	1536.0	GigabitEthernet0/0	17377.0	31317.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	1115	133350	10075.0	10075.0	10075.0	10.074	10.074	10.074	1607.0	GigabitEthernet0/0	17377.0	31317.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	601	123431	7714.0	7714.0	7714.0	7.714	7.714	7.714	1530.0	GigabitEthernet0/0	17377.0	31317.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	330	34981	4494.0	4494.0	4494.0	4.494	4.494	4.494	1391.0	GigabitEthernet0/0	17377.0	31317.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	1330	100152	9073.0	9073.0	9073.0	9.072	9.072	9.072	1562.0	GigabitEthernet0/0	17377.0	31317.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	1056	75894	9857.0	9857.0	9857.0	9.857	9.857	9.857	1530.0	GigabitEthernet0/0	17377.0	31317.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	694	72958	6552.0	6552.0	6552.0	6.551	6.551	6.551	1533.0	GigabitEthernet0/0	17377.0	31317.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	1032	84412	5041.0	5041.0	5041.0	5.039	5.039	5.039	1538.0	GigabitEthernet0/0	17377.0	31317.0
