srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	81840	853586	145170.0	145170.0	145170.0	145.168	145.168	145.168	1555.0	GigabitEthernet0/0	17377.0	31317.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	127219	1140936	214616.0	214616.0	214616.0	214.615	214.615	214.615	1577.0	GigabitEthernet0/0	17377.0	31317.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	68567	704800	116250.0	116250.0	116250.0	116.249	116.249	116.249	1482.0	GigabitEthernet0/0	17377.0	31317.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	96623	902526	150793.0	150793.0	150793.0	150.792	150.792	150.792	1484.0	GigabitEthernet0/0	17377.0	31317.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	110216	1060193	218369.0	218369.0	218369.0	218.367	218.367	218.367	1452.0	GigabitEthernet0/0	17377.0	31317.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	132311	1213949	222538.0	222538.0	222538.0	222.537	222.537	222.537	1528.0	GigabitEthernet0/0	17377.0	31317.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	112234	1095000	204590.0	204590.0	204590.0	204.59	204.59	204.59	1396.0	GigabitEthernet0/0	17377.0	31317.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	119898	1020088	189852.0	189852.0	189852.0	189.852	189.852	189.852	1545.0	GigabitEthernet0/0	17377.0	31317.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	113881	1118841	214390.0	214390.0	214390.0	214.389	214.389	214.389	1522.0	GigabitEthernet0/0	17377.0	31317.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	105734	896330	171181.0	171181.0	171181.0	171.181	171.181	171.181	1526.0	GigabitEthernet0/0	17377.0	31317.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	109567	901178	158599.0	158599.0	158599.0	158.598	158.598	158.598	1414.0	GigabitEthernet0/0	17377.0	31317.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	169564	1356082	292559.0	292559.0	292559.0	292.558	292.558	292.558	1528.0	GigabitEthernet0/0	17377.0	31317.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	103768	936728	163247.0	163247.0	163247.0	163.246	163.246	163.246	1388.0	GigabitEthernet0/0	17377.0	31317.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	141772	1185092	226181.0	226181.0	226181.0	226.18	226.18	226.18	1521.0	GigabitEthernet0/0	17377.0	31317.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	sat	120141	960483	180661.0	180661.0	180661.0	180.66	180.66	180.66	1406.0	GigabitEthernet0/0	17377.0	31317.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	sat	108315	998096	187924.0	187924.0	187924.0	187.923	187.923	187.923	1390.0	GigabitEthernet0/0	17377.0	31317.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	128787	1087855	190526.0	190526.0	190526.0	190.525	190.525	190.525	1376.0	GigabitEthernet0/0	17377.0	31317.0
meridian	sauntttaugustine	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	93857	911062	153855.0	153855.0	153855.0	153.854	153.854	153.854	1510.0	GigabitEthernet0/0	17377.0	31317.0
bologna	rouen	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	62139	664714	107226.0	107226.0	107226.0	107.225	107.225	107.225	1409.0	GigabitEthernet0/0	17377.0	31317.0
utrecht	malmo	IpWildcardIpSpace{ipWildcard=200.0.137.0/24}	sat	69801	782432	142773.0	142773.0	142773.0	142.772	142.772	142.772	1416.0	GigabitEthernet0/0	17377.0	31317.0
myrtlettbeach	leuven	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	138071	1139321	215717.0	215717.0	215717.0	215.715	215.715	215.715	1372.0	GigabitEthernet0/0	17377.0	31317.0
monza	hollywood	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	80881	881853	151154.0	151154.0	151154.0	151.153	151.153	151.153	1377.0	GigabitEthernet0/0	17377.0	31317.0
lafayette	alexandria	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	121883	1054043	203570.0	203570.0	203570.0	203.569	203.569	203.569	1439.0	GigabitEthernet0/0	17377.0	31317.0
huntsville	ghent	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	102818	947947	173244.0	173244.0	173244.0	173.243	173.243	173.243	1524.0	GigabitEthernet0/0	17377.0	31317.0
