srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
palermo	thetthague	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	339	47928	5222.0	5222.0	5222.0	5.221	5.221	5.221	1567.0	GigabitEthernet0/0	17377.0	31317.0
florence	lisbon	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	339	45320	5944.0	5944.0	5944.0	5.944	5.944	5.944	1548.0	GigabitEthernet0/0	17377.0	31317.0
luxembourg	dresden	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	339	46204	5493.0	5493.0	5493.0	5.492	5.492	5.492	1485.0	GigabitEthernet0/0	17377.0	31317.0
melbourne	newttyork	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	339	5160	1962.0	1962.0	1962.0	1.961	1.961	1.961	1516.0	GigabitEthernet0/0	17377.0	31317.0
leuven	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	339	5085	1952.0	1952.0	1952.0	1.952	1.952	1.952	1519.0	GigabitEthernet0/0	17377.0	31317.0
knoxville	stockholm	IpWildcardIpSpace{ipWildcard=200.0.228.0/24}	sat	339	46948	5752.0	5752.0	5752.0	5.751	5.751	5.751	1514.0	GigabitEthernet0/0	17377.0	31317.0
manchester	batonttrouge	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	339	2765	1923.0	1923.0	1923.0	1.923	1.923	1.923	1488.0	GigabitEthernet0/0	17377.0	31317.0
krakov	orlando	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	216173	4090163	694491.0	694491.0	694491.0	694.49	694.49	694.49	1521.0	GigabitEthernet0/0	17377.0	31317.0
aarhus	washington	IpWildcardIpSpace{ipWildcard=200.1.1.0/24}	sat	339	7094	1944.0	1944.0	1944.0	1.944	1.944	1.944	1482.0	GigabitEthernet0/0	17377.0	31317.0
napoli	lagrange	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	339	9851	1936.0	1936.0	1936.0	1.935	1.935	1.935	1506.0	GigabitEthernet0/0	17377.0	31317.0
westttpalmttbeach	ashville	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	339	8648	1945.0	1945.0	1945.0	1.945	1.945	1.945	1541.0	GigabitEthernet0/0	17377.0	31317.0
lafayette	hattiesburg	IpWildcardIpSpace{ipWildcard=200.0.94.0/24}	sat	339	3927	1952.0	1952.0	1952.0	1.952	1.952	1.952	1512.0	GigabitEthernet0/0	17377.0	31317.0
rockyttmount	augusta	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	339	50347	6733.0	6733.0	6733.0	6.733	6.733	6.733	1423.0	GigabitEthernet0/0	17377.0	31317.0
dallas	luxembourg	IpWildcardIpSpace{ipWildcard=200.0.132.0/24}	sat	339	4557	1962.0	1962.0	1962.0	1.961	1.961	1.961	1504.0	GigabitEthernet0/0	17377.0	31317.0
catania	nodeidh103	IpWildcardIpSpace{ipWildcard=200.0.173.0/24}	sat	339	48411	5356.0	5356.0	5356.0	5.355	5.355	5.355	1504.0	GigabitEthernet0/0	17377.0	31317.0
treviso	nodeidh85	IpWildcardIpSpace{ipWildcard=200.0.177.0/24}	sat	339	47609	5397.0	5397.0	5397.0	5.397	5.397	5.397	1505.0	GigabitEthernet0/0	17377.0	31317.0
opelika	gainesvilleidh15	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	339	7550	2175.0	2175.0	2175.0	2.174	2.174	2.174	1411.0	GigabitEthernet0/0	17377.0	31317.0
meridian	sauntttaugustine	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	339	4667	2041.0	2041.0	2041.0	2.04	2.04	2.04	1520.0	GigabitEthernet0/0	17377.0	31317.0
bologna	rouen	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	339	4531	1992.0	1992.0	1992.0	1.991	1.991	1.991	1779.0	GigabitEthernet0/0	17377.0	31317.0
utrecht	malmo	IpWildcardIpSpace{ipWildcard=200.0.137.0/24}	sat	339	2713	1971.0	1971.0	1971.0	1.97	1.97	1.97	1489.0	GigabitEthernet0/0	17377.0	31317.0
myrtlettbeach	leuven	IpWildcardIpSpace{ipWildcard=200.0.121.0/24}	sat	339	5076	2112.0	2112.0	2112.0	2.111	2.111	2.111	1575.0	GigabitEthernet0/0	17377.0	31317.0
monza	hollywood	IpWildcardIpSpace{ipWildcard=200.0.99.0/24}	sat	339	6217	2045.0	2045.0	2045.0	2.044	2.044	2.044	1505.0	GigabitEthernet0/0	17377.0	31317.0
lafayette	alexandria	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	339	3863	2067.0	2067.0	2067.0	2.066	2.066	2.066	1470.0	GigabitEthernet0/0	17377.0	31317.0
huntsville	ghent	IpWildcardIpSpace{ipWildcard=200.0.85.0/24}	sat	339	49230	5662.0	5662.0	5662.0	5.661	5.661	5.661	1501.0	GigabitEthernet0/0	17377.0	31317.0
nodeidh85	munich	IpWildcardIpSpace{ipWildcard=200.0.153.0/24}	sat	5805	166708	18275.0	18275.0	18275.0	18.274	18.274	18.274	1508.0	GigabitEthernet0/0	17377.0	31317.0
nodeidh99	nyon	IpWildcardIpSpace{ipWildcard=200.0.185.0/24}	sat	339	7494	2001.0	2001.0	2001.0	2.0	2.0	2.0	1429.0	GigabitEthernet0/0	17377.0	31317.0
trento	jackson	IpWildcardIpSpace{ipWildcard=200.0.105.0/24}	sat	64432	822795	124680.0	124680.0	124680.0	124.68	124.68	124.68	1458.0	GigabitEthernet0/0	17377.0	31317.0
savannah	arab	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	339	5134	2003.0	2003.0	2003.0	2.002	2.002	2.002	1415.0	GigabitEthernet0/0	17377.0	31317.0
orangeburg	verottbeach	IpWildcardIpSpace{ipWildcard=200.0.251.0/24}	sat	339	2933	2126.0	2126.0	2126.0	2.125	2.125	2.125	1406.0	GigabitEthernet0/0	17377.0	31317.0
amsterdam	berlin	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	160050	2687103	456161.0	456161.0	456161.0	456.161	456.161	456.161	1452.0	GigabitEthernet0/0	17377.0	31317.0
hamburg	pinettbluff	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	339	5620	2091.0	2091.0	2091.0	2.091	2.091	2.091	1513.0	GigabitEthernet0/0	17377.0	31317.0
salzburg	nodeidh100	IpWildcardIpSpace{ipWildcard=200.0.170.0/24}	sat	339	48243	5535.0	5535.0	5535.0	5.534	5.534	5.534	1546.0	GigabitEthernet0/0	17377.0	31317.0
chiasso	essen	IpWildcardIpSpace{ipWildcard=200.0.71.0/24}	sat	339	48853	5546.0	5546.0	5546.0	5.545	5.545	5.545	1427.0	GigabitEthernet0/0	17377.0	31317.0
alexanderttcity	macon	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	339	6726	2056.0	2056.0	2056.0	2.055	2.055	2.055	1443.0	GigabitEthernet0/0	17377.0	31317.0
zurich	lille	IpWildcardIpSpace{ipWildcard=200.0.124.0/24}	sat	339	47197	5509.0	5509.0	5509.0	5.508	5.508	5.508	1432.0	GigabitEthernet0/0	17377.0	31317.0
nyon	nodeidh112	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	339	48894	5476.0	5476.0	5476.0	5.476	5.476	5.476	1460.0	GigabitEthernet0/0	17377.0	31317.0
fayatteville	kortnijk	IpWildcardIpSpace{ipWildcard=200.0.112.0/24}	sat	339	4959	2002.0	2002.0	2002.0	2.001	2.001	2.001	1430.0	GigabitEthernet0/0	17377.0	31317.0
rimini	varese	IpWildcardIpSpace{ipWildcard=200.0.248.0/24}	sat	339	11943	2067.0	2067.0	2067.0	2.066	2.066	2.066	1504.0	GigabitEthernet0/0	17377.0	31317.0
varese	grenoble	IpWildcardIpSpace{ipWildcard=200.0.90.0/24}	sat	339	4024	1974.0	1974.0	1974.0	1.974	1.974	1.974	1423.0	GigabitEthernet0/0	17377.0	31317.0
utrecht	bratislava	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	339	7231	2045.0	2045.0	2045.0	2.043	2.043	2.043	1450.0	GigabitEthernet0/0	17377.0	31317.0
rimini	ostend	IpWildcardIpSpace{ipWildcard=200.0.191.0/24}	sat	339	5586	2015.0	2015.0	2015.0	2.014	2.014	2.014	1433.0	GigabitEthernet0/0	17377.0	31317.0
parma	cuneo	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	339	12961	2080.0	2080.0	2080.0	2.079	2.079	2.079	1438.0	GigabitEthernet0/0	17377.0	31317.0
trieste	fortttlauderdale	IpWildcardIpSpace{ipWildcard=200.0.77.0/24}	sat	177605	3311902	551077.0	551077.0	551077.0	551.076	551.076	551.076	1459.0	GigabitEthernet0/0	17377.0	31317.0
dresden	nantes	IpWildcardIpSpace{ipWildcard=200.0.155.0/24}	sat	339	6960	2071.0	2071.0	2071.0	2.07	2.07	2.07	1469.0	GigabitEthernet0/0	17377.0	31317.0
nodeidh99	cologne	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	339	2739	2064.0	2064.0	2064.0	2.063	2.063	2.063	1488.0	GigabitEthernet0/0	17377.0	31317.0
norfolk	westttpoint	IpWildcardIpSpace{ipWildcard=200.1.3.0/24}	sat	339	7248	2109.0	2109.0	2109.0	2.108	2.108	2.108	1476.0	GigabitEthernet0/0	17377.0	31317.0
eindhoven	livorno	IpWildcardIpSpace{ipWildcard=200.0.128.0/24}	sat	339	12585	2111.0	2111.0	2111.0	2.11	2.11	2.11	1679.0	GigabitEthernet0/0	17377.0	31317.0
winterthur	graz	IpWildcardIpSpace{ipWildcard=200.0.87.0/24}	sat	339	6735	2079.0	2079.0	2079.0	2.078	2.078	2.078	1439.0	GigabitEthernet0/0	17377.0	31317.0
beaumont	porto	IpWildcardIpSpace{ipWildcard=200.0.204.0/24}	sat	339	6954	2086.0	2086.0	2086.0	2.086	2.086	2.086	1417.0	GigabitEthernet0/0	17377.0	31317.0
vicenza	sassari	IpWildcardIpSpace{ipWildcard=200.0.222.0/24}	sat	339	17707	2146.0	2146.0	2146.0	2.146	2.146	2.146	1425.0	GigabitEthernet0/0	17377.0	31317.0
