srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	5	82	457.0	457.0	457.0	0.456	0.456	0.456	765.0	GigabitEthernet0/0	10468.0	14579.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	8	96	460.0	460.0	460.0	0.459	0.459	0.459	759.0	GigabitEthernet0/0	10468.0	14579.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	4	72	461.0	461.0	461.0	0.46	0.46	0.46	749.0	GigabitEthernet0/0	10468.0	14579.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	4	80	464.0	464.0	464.0	0.463	0.463	0.463	742.0	GigabitEthernet0/0	10468.0	14579.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	6	74	463.0	463.0	463.0	0.462	0.462	0.462	724.0	GigabitEthernet0/0	10468.0	14579.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	17	250	524.0	524.0	524.0	0.523	0.523	0.523	763.0	GigabitEthernet0/0	10468.0	14579.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	2	69	457.0	457.0	457.0	0.456	0.456	0.456	725.0	GigabitEthernet0/0	10468.0	14579.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	13	184	499.0	499.0	499.0	0.498	0.498	0.498	723.0	GigabitEthernet0/0	10468.0	14579.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	7	87	526.0	526.0	526.0	0.525	0.525	0.525	742.0	GigabitEthernet0/0	10468.0	14579.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	20	205	537.0	537.0	537.0	0.536	0.536	0.536	741.0	GigabitEthernet0/0	10468.0	14579.0
