srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	2445	8985	1900.0	1900.0	1900.0	1.9	1.9	1.9	740.0	GigabitEthernet0/0	10468.0	14579.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	2150	9464	1820.0	1820.0	1820.0	1.819	1.819	1.819	739.0	GigabitEthernet0/0	10468.0	14579.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	2037	8140	1612.0	1612.0	1612.0	1.612	1.612	1.612	743.0	GigabitEthernet0/0	10468.0	14579.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	2263	8839	2024.0	2024.0	2024.0	2.023	2.023	2.023	740.0	GigabitEthernet0/0	10468.0	14579.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	2509	8968	2154.0	2154.0	2154.0	2.153	2.153	2.153	731.0	GigabitEthernet0/0	10468.0	14579.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	2602	10061	2411.0	2411.0	2411.0	2.41	2.41	2.41	725.0	GigabitEthernet0/0	10468.0	14579.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	2811	9571	2226.0	2226.0	2226.0	2.226	2.226	2.226	719.0	GigabitEthernet0/0	10468.0	14579.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	2150	9075	1983.0	1983.0	1983.0	1.983	1.983	1.983	820.0	GigabitEthernet0/0	10468.0	14579.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	1883	8845	1697.0	1697.0	1697.0	1.696	1.696	1.696	737.0	GigabitEthernet0/0	10468.0	14579.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	2026	7618	1653.0	1653.0	1653.0	1.652	1.652	1.652	727.0	GigabitEthernet0/0	10468.0	14579.0
