srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	5	111	547.0	547.0	547.0	0.546	0.546	0.546	804.0	GigabitEthernet0/0	11200.0	15466.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	122	1883	730.0	730.0	730.0	0.729	0.729	0.729	741.0	GigabitEthernet0/0	11200.0	15466.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	3	105	508.0	508.0	508.0	0.507	0.507	0.507	765.0	GigabitEthernet0/0	11200.0	15466.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	105	1513	747.0	747.0	747.0	0.746	0.746	0.746	741.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	13	328	557.0	557.0	557.0	0.556	0.556	0.556	807.0	GigabitEthernet0/0	11200.0	15466.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	8	128	517.0	517.0	517.0	0.516	0.516	0.516	755.0	GigabitEthernet0/0	11200.0	15466.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	5	142	539.0	539.0	539.0	0.538	0.538	0.538	748.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	16	279	545.0	545.0	545.0	0.544	0.544	0.544	763.0	GigabitEthernet0/0	11200.0	15466.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	9	161	526.0	526.0	526.0	0.524	0.524	0.524	804.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	26	444	562.0	562.0	562.0	0.561	0.561	0.561	754.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	3	105	517.0	517.0	517.0	0.517	0.517	0.517	741.0	GigabitEthernet0/0	11200.0	15466.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	256	2330	946.0	946.0	946.0	0.946	0.946	0.946	720.0	GigabitEthernet0/0	11200.0	15466.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	16	371	547.0	547.0	547.0	0.546	0.546	0.546	726.0	GigabitEthernet0/0	11200.0	15466.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	3	105	521.0	521.0	521.0	0.52	0.52	0.52	725.0	GigabitEthernet0/0	11200.0	15466.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	34	818	614.0	614.0	614.0	0.613	0.613	0.613	730.0	GigabitEthernet0/0	11200.0	15466.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	104	736	592.0	592.0	592.0	0.591	0.591	0.591	726.0	GigabitEthernet0/0	11200.0	15466.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	9	151	532.0	532.0	532.0	0.532	0.532	0.532	729.0	GigabitEthernet0/0	11200.0	15466.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	sat	109	729	590.0	590.0	590.0	0.59	0.59	0.59	719.0	GigabitEthernet0/0	11200.0	15466.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	sat	6	172	527.0	527.0	527.0	0.526	0.526	0.526	722.0	GigabitEthernet0/0	11200.0	15466.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	3	105	523.0	523.0	523.0	0.523	0.523	0.523	720.0	GigabitEthernet0/0	11200.0	15466.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	sat	12	123	532.0	532.0	532.0	0.532	0.532	0.532	732.0	GigabitEthernet0/0	11200.0	15466.0
nodeid44	nodeid7	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	sat	12	189	565.0	565.0	565.0	0.564	0.564	0.564	741.0	GigabitEthernet0/0	11200.0	15466.0
stttkittstt&ttnevis	peerstttmartin14	IpWildcardIpSpace{ipWildcard=200.2.70.0/24}	sat	826	3611	1360.0	1360.0	1360.0	1.358	1.358	1.358	878.0	GigabitEthernet0/0	11200.0	15466.0
stttcroix	mexico	IpWildcardIpSpace{ipWildcard=200.2.107.0/24}	sat	10	175	534.0	534.0	534.0	0.533	0.533	0.533	783.0	GigabitEthernet0/0	11200.0	15466.0
nodeid26	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	sat	7	168	534.0	534.0	534.0	0.533	0.533	0.533	783.0	GigabitEthernet0/0	11200.0	15466.0
curacao	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	13	165	530.0	530.0	530.0	0.529	0.529	0.529	715.0	GigabitEthernet0/0	11200.0	15466.0
nodeid37	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	108	1382	755.0	755.0	755.0	0.754	0.754	0.754	731.0	GigabitEthernet0/0	11200.0	15466.0
peercuracao0	nodeid63	IpWildcardIpSpace{ipWildcard=200.2.28.0/24}	sat	12	326	600.0	600.0	600.0	0.599	0.599	0.599	760.0	GigabitEthernet0/0	11200.0	15466.0
nodeid32	nodeid17	IpWildcardIpSpace{ipWildcard=200.2.42.0/24}	sat	12	206	532.0	532.0	532.0	0.531	0.531	0.531	722.0	GigabitEthernet0/0	11200.0	15466.0
nodeid60	stttkittstt&ttnevis	IpWildcardIpSpace{ipWildcard=200.2.58.0/24}	sat	57	826	627.0	627.0	627.0	0.626	0.626	0.626	723.0	GigabitEthernet0/0	11200.0	15466.0
nodeid41	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	108	754	591.0	591.0	591.0	0.59	0.59	0.59	724.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid134	belize	IpWildcardIpSpace{ipWildcard=200.2.105.0/24}	sat	10	167	522.0	522.0	522.0	0.522	0.522	0.522	724.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid134	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	sat	7	163	543.0	543.0	543.0	0.542	0.542	0.542	718.0	GigabitEthernet0/0	11200.0	15466.0
nodeid26	dominica	IpWildcardIpSpace{ipWildcard=200.2.87.0/24}	sat	33	770	623.0	623.0	623.0	0.622	0.622	0.622	725.0	GigabitEthernet0/0	11200.0	15466.0
stttkittstt&ttnevis	nodeid15	IpWildcardIpSpace{ipWildcard=200.2.49.0/24}	sat	24	414	556.0	556.0	556.0	0.555	0.555	0.555	727.0	GigabitEthernet0/0	11200.0	15466.0
nodeid7	nodeid37	IpWildcardIpSpace{ipWildcard=200.2.68.0/24}	sat	18	233	537.0	537.0	537.0	0.537	0.537	0.537	725.0	GigabitEthernet0/0	11200.0	15466.0
