srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	2520	9357	2266.0	2266.0	2266.0	2.265	2.265	2.265	805.0	GigabitEthernet0/0	10640.0	14940.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	2058	7760	1723.0	1723.0	1723.0	1.722	1.722	1.722	744.0	GigabitEthernet0/0	10640.0	14940.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	2451	7875	1839.0	1839.0	1839.0	1.839	1.839	1.839	729.0	GigabitEthernet0/0	10640.0	14940.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	2328	8637	2055.0	2055.0	2055.0	2.054	2.054	2.054	732.0	GigabitEthernet0/0	10640.0	14940.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	1610	6561	1664.0	1664.0	1664.0	1.663	1.663	1.663	821.0	GigabitEthernet0/0	10640.0	14940.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	2507	8361	2086.0	2086.0	2086.0	2.086	2.086	2.086	727.0	GigabitEthernet0/0	10640.0	14940.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	1770	7962	1693.0	1693.0	1693.0	1.692	1.692	1.692	721.0	GigabitEthernet0/0	10640.0	14940.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	2019	7776	1524.0	1524.0	1524.0	1.523	1.523	1.523	757.0	GigabitEthernet0/0	10640.0	14940.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	2120	8075	1701.0	1701.0	1701.0	1.7	1.7	1.7	734.0	GigabitEthernet0/0	10640.0	14940.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	2686	10108	2340.0	2340.0	2340.0	2.34	2.34	2.34	742.0	GigabitEthernet0/0	10640.0	14940.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	2027	7158	1751.0	1751.0	1751.0	1.75	1.75	1.75	731.0	GigabitEthernet0/0	10640.0	14940.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	1809	6717	1511.0	1511.0	1511.0	1.51	1.51	1.51	709.0	GigabitEthernet0/0	10640.0	14940.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	1782	7671	1613.0	1613.0	1613.0	1.613	1.613	1.613	720.0	GigabitEthernet0/0	10640.0	14940.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	2792	10759	2326.0	2326.0	2326.0	2.325	2.325	2.325	704.0	GigabitEthernet0/0	10640.0	14940.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	1906	7183	1739.0	1739.0	1739.0	1.738	1.738	1.738	712.0	GigabitEthernet0/0	10640.0	14940.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	2342	9541	2042.0	2042.0	2042.0	2.041	2.041	2.041	717.0	GigabitEthernet0/0	10640.0	14940.0
