srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	4277	17379	3648.0	3648.0	3648.0	3.646	3.646	3.646	786.0	GigabitEthernet0/0	11200.0	15466.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	3362	16406	2980.0	2980.0	2980.0	2.979	2.979	2.979	746.0	GigabitEthernet0/0	11200.0	15466.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	5908	23136	5116.0	5116.0	5116.0	5.115	5.115	5.115	762.0	GigabitEthernet0/0	11200.0	15466.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	4129	16991	3864.0	3864.0	3864.0	3.863	3.863	3.863	742.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	3720	14803	3382.0	3382.0	3382.0	3.381	3.381	3.381	798.0	GigabitEthernet0/0	11200.0	15466.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	3193	15436	3054.0	3054.0	3054.0	3.053	3.053	3.053	768.0	GigabitEthernet0/0	11200.0	15466.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	4286	17975	3894.0	3894.0	3894.0	3.893	3.893	3.893	760.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	3054	14229	2542.0	2542.0	2542.0	2.541	2.541	2.541	725.0	GigabitEthernet0/0	11200.0	15466.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	1518	9597	1589.0	1589.0	1589.0	1.589	1.589	1.589	731.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	3174	12994	2767.0	2767.0	2767.0	2.766	2.766	2.766	755.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	3136	18530	2875.0	2875.0	2875.0	2.874	2.874	2.874	723.0	GigabitEthernet0/0	11200.0	15466.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	2882	13911	2759.0	2759.0	2759.0	2.759	2.759	2.759	725.0	GigabitEthernet0/0	11200.0	15466.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	2820	13922	2652.0	2652.0	2652.0	2.651	2.651	2.651	728.0	GigabitEthernet0/0	11200.0	15466.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	2358	14644	1985.0	1985.0	1985.0	1.984	1.984	1.984	723.0	GigabitEthernet0/0	11200.0	15466.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	3555	17691	3211.0	3211.0	3211.0	3.21	3.21	3.21	723.0	GigabitEthernet0/0	11200.0	15466.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	sat	2697	13314	2467.0	2467.0	2467.0	2.466	2.466	2.466	717.0	GigabitEthernet0/0	11200.0	15466.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	sat	2357	13199	2050.0	2050.0	2050.0	2.049	2.049	2.049	730.0	GigabitEthernet0/0	11200.0	15466.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	sat	3884	13523	3412.0	3412.0	3412.0	3.412	3.412	3.412	723.0	GigabitEthernet0/0	11200.0	15466.0
