srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	unsat	1654	6240	2039.0	2039.0	2039.0	2.038	2.038	2.038	764.0	GigabitEthernet0/0	10640.0	14940.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	unsat	1282	5837	1971.0	1971.0	1971.0	1.97	1.97	1.97	760.0	GigabitEthernet0/0	10640.0	14940.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1391	5842	1756.0	1756.0	1756.0	1.755	1.755	1.755	763.0	GigabitEthernet0/0	10640.0	14940.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	1604	7055	2058.0	2058.0	2058.0	2.058	2.058	2.058	747.0	GigabitEthernet0/0	10640.0	14940.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	unsat	1554	3932	1655.0	1655.0	1655.0	1.653	1.653	1.653	734.0	GigabitEthernet0/0	10640.0	14940.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	unsat	1602	6245	2089.0	2089.0	2089.0	2.088	2.088	2.088	738.0	GigabitEthernet0/0	10640.0	14940.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	unsat	1079	4424	1848.0	1848.0	1848.0	1.848	1.848	1.848	755.0	GigabitEthernet0/0	10640.0	14940.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	unsat	1231	6138	1784.0	1784.0	1784.0	1.783	1.783	1.783	747.0	GigabitEthernet0/0	10640.0	14940.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	unsat	1052	5493	1642.0	1642.0	1642.0	1.642	1.642	1.642	728.0	GigabitEthernet0/0	10640.0	14940.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	unsat	1353	5135	1636.0	1636.0	1636.0	1.636	1.636	1.636	736.0	GigabitEthernet0/0	10640.0	14940.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1951	6861	2438.0	2438.0	2438.0	2.438	2.438	2.438	724.0	GigabitEthernet0/0	10640.0	14940.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	unsat	1723	6082	2117.0	2117.0	2117.0	2.116	2.116	2.116	717.0	GigabitEthernet0/0	10640.0	14940.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	1194	5217	1574.0	1574.0	1574.0	1.573	1.573	1.573	721.0	GigabitEthernet0/0	10640.0	14940.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1711	7080	2230.0	2230.0	2230.0	2.229	2.229	2.229	713.0	GigabitEthernet0/0	10640.0	14940.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	unsat	1569	4714	1636.0	1636.0	1636.0	1.636	1.636	1.636	714.0	GigabitEthernet0/0	10640.0	14940.0
turksttandttcaicos	peerstttvincent15	IpWildcardIpSpace{ipWildcard=200.2.106.0/24}	unsat	1861	7271	2327.0	2327.0	2327.0	2.326	2.326	2.326	722.0	GigabitEthernet0/0	10640.0	14940.0
suriname	nodeid44	IpWildcardIpSpace{ipWildcard=200.2.100.0/24}	unsat	1656	5694	1904.0	1904.0	1904.0	1.904	1.904	1.904	718.0	GigabitEthernet0/0	10640.0	14940.0
nodeid59	guyana	IpWildcardIpSpace{ipWildcard=200.2.66.0/24}	unsat	1930	5661	2033.0	2033.0	2033.0	2.033	2.033	2.033	704.0	GigabitEthernet0/0	10640.0	14940.0
nodeid35	nodeid27	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	unsat	1236	6529	1999.0	1999.0	1999.0	1.999	1.999	1.999	719.0	GigabitEthernet0/0	10640.0	14940.0
nodeid24	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	unsat	1252	5539	1955.0	1955.0	1955.0	1.955	1.955	1.955	724.0	GigabitEthernet0/0	10640.0	14940.0
stttvincent	martinique	IpWildcardIpSpace{ipWildcard=200.2.78.0/24}	unsat	1404	5264	1951.0	1951.0	1951.0	1.95	1.95	1.95	720.0	GigabitEthernet0/0	10640.0	14940.0
nodeid44	nodeid7	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	unsat	1484	6582	1940.0	1940.0	1940.0	1.939	1.939	1.939	719.0	GigabitEthernet0/0	10640.0	14940.0
stttkittstt&ttnevis	peerstttmartin14	IpWildcardIpSpace{ipWildcard=200.2.70.0/24}	unsat	1143	4866	1420.0	1420.0	1420.0	1.419	1.419	1.419	765.0	GigabitEthernet0/0	10640.0	14940.0
stttcroix	mexico	IpWildcardIpSpace{ipWildcard=200.2.107.0/24}	unsat	2238	5508	2328.0	2328.0	2328.0	2.327	2.327	2.327	773.0	GigabitEthernet0/0	10640.0	14940.0
nodeid26	nodeid29	IpWildcardIpSpace{ipWildcard=200.2.50.0/24}	unsat	1120	5536	1697.0	1697.0	1697.0	1.696	1.696	1.696	772.0	GigabitEthernet0/0	10640.0	14940.0
curacao	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	unsat	1172	4637	1555.0	1555.0	1555.0	1.554	1.554	1.554	723.0	GigabitEthernet0/0	10640.0	14940.0
nodeid37	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	unsat	1473	6926	2035.0	2035.0	2035.0	2.033	2.033	2.033	712.0	GigabitEthernet0/0	10640.0	14940.0
