srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
stttkittstt&ttnevis	nodeid32	IpWildcardIpSpace{ipWildcard=200.2.85.0/24}	sat	8840	23749	9218.0	9218.0	9218.0	9.217	9.217	9.217	765.0	GigabitEthernet0/0	11200.0	15466.0
nodeid7	peernodeid12	IpWildcardIpSpace{ipWildcard=200.2.92.0/24}	sat	541	7290	823.0	823.0	823.0	0.822	0.822	0.822	749.0	GigabitEthernet0/0	11200.0	15466.0
dominica	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	4130	17217	3780.0	3780.0	3780.0	3.78	3.78	3.78	765.0	GigabitEthernet0/0	11200.0	15466.0
nodeid69	peerdominicanttrepublic1	IpWildcardIpSpace{ipWildcard=200.2.73.0/24}	sat	714	8284	1010.0	1010.0	1010.0	1.009	1.009	1.009	748.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	guatemala	IpWildcardIpSpace{ipWildcard=200.2.25.0/24}	sat	6241	20845	5622.0	5622.0	5622.0	5.621	5.621	5.621	738.0	GigabitEthernet0/0	11200.0	15466.0
turksttandttcaicos	bahamas	IpWildcardIpSpace{ipWildcard=200.2.96.0/24}	sat	1072	10494	1185.0	1185.0	1185.0	1.185	1.185	1.185	741.0	GigabitEthernet0/0	11200.0	15466.0
peerpanama12	nodeid9	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	307	6692	642.0	642.0	642.0	0.642	0.642	0.642	733.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid316	nodeid58	IpWildcardIpSpace{ipWildcard=200.2.38.0/24}	sat	5570	17954	4906.0	4906.0	4906.0	4.905	4.905	4.905	752.0	GigabitEthernet0/0	11200.0	15466.0
peerstttvincent15	stttvincent	IpWildcardIpSpace{ipWildcard=200.2.103.0/24}	sat	5584	18827	4864.0	4864.0	4864.0	4.863	4.863	4.863	744.0	GigabitEthernet0/0	11200.0	15466.0
peernodeid448	nodeid31	IpWildcardIpSpace{ipWildcard=200.2.77.0/24}	sat	4802	20519	3992.0	3992.0	3992.0	3.991	3.991	3.991	762.0	GigabitEthernet0/0	11200.0	15466.0
peerstttcroix13	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	532	5477	807.0	807.0	807.0	0.806	0.806	0.806	730.0	GigabitEthernet0/0	11200.0	15466.0
guyana	peernodeid316	IpWildcardIpSpace{ipWildcard=200.2.40.0/24}	sat	1715	11423	1536.0	1536.0	1536.0	1.534	1.534	1.534	723.0	GigabitEthernet0/0	11200.0	15466.0
martinique	nodeid50	IpWildcardIpSpace{ipWildcard=200.2.101.0/24}	sat	2458	13453	2349.0	2349.0	2349.0	2.348	2.348	2.348	733.0	GigabitEthernet0/0	11200.0	15466.0
venezuela	usa	IpWildcardIpSpace{ipWildcard=200.2.43.0/24}	sat	7176	22509	7052.0	7052.0	7052.0	7.052	7.052	7.052	723.0	GigabitEthernet0/0	11200.0	15466.0
nodeid44	nodeid8	IpWildcardIpSpace{ipWildcard=200.2.65.0/24}	sat	7550	22830	7448.0	7448.0	7448.0	7.448	7.448	7.448	771.0	GigabitEthernet0/0	11200.0	15466.0
