srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	773	4808	665.0	665.0	665.0	0.664	0.664	0.664	416.0	GigabitEthernet0/0	4831.0	8212.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	548	4034	564.0	564.0	564.0	0.563	0.563	0.563	397.0	GigabitEthernet0/0	4831.0	8212.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	652	3723	542.0	542.0	542.0	0.542	0.542	0.542	424.0	GigabitEthernet0/0	4831.0	8212.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	681	4277	613.0	613.0	613.0	0.612	0.612	0.612	354.0	GigabitEthernet0/0	4831.0	8212.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	718	3716	652.0	652.0	652.0	0.652	0.652	0.652	408.0	GigabitEthernet0/0	4831.0	8212.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	697	4174	611.0	611.0	611.0	0.611	0.611	0.611	402.0	GigabitEthernet0/0	4831.0	8212.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	811	4876	693.0	693.0	693.0	0.693	0.693	0.693	370.0	GigabitEthernet0/0	4831.0	8212.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	882	4932	650.0	650.0	650.0	0.649	0.649	0.649	377.0	GigabitEthernet0/0	4831.0	8212.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	632	3658	554.0	554.0	554.0	0.554	0.554	0.554	372.0	GigabitEthernet0/0	4831.0	8212.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	568	2766	514.0	514.0	514.0	0.513	0.513	0.513	390.0	GigabitEthernet0/0	4831.0	8212.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	850	4107	658.0	658.0	658.0	0.658	0.658	0.658	362.0	GigabitEthernet0/0	4831.0	8212.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	681	4277	615.0	615.0	615.0	0.614	0.614	0.614	375.0	GigabitEthernet0/0	4831.0	8212.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	703	3632	518.0	518.0	518.0	0.518	0.518	0.518	372.0	GigabitEthernet0/0	4831.0	8212.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	697	4174	584.0	584.0	584.0	0.583	0.583	0.583	346.0	GigabitEthernet0/0	4831.0	8212.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	849	4025	624.0	624.0	624.0	0.623	0.623	0.623	358.0	GigabitEthernet0/0	4831.0	8212.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	590	3427	480.0	480.0	480.0	0.479	0.479	0.479	360.0	GigabitEthernet0/0	4831.0	8212.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	873	3845	627.0	627.0	627.0	0.626	0.626	0.626	355.0	GigabitEthernet0/0	4831.0	8212.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	761	4470	672.0	672.0	672.0	0.672	0.672	0.672	364.0	GigabitEthernet0/0	4831.0	8212.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	681	4277	613.0	613.0	613.0	0.612	0.612	0.612	364.0	GigabitEthernet0/0	4831.0	8212.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	566	4253	575.0	575.0	575.0	0.574	0.574	0.574	357.0	GigabitEthernet0/0	4831.0	8212.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	761	4365	650.0	650.0	650.0	0.649	0.649	0.649	351.0	GigabitEthernet0/0	4831.0	8212.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	761	4470	649.0	649.0	649.0	0.648	0.648	0.648	359.0	GigabitEthernet0/0	4831.0	8212.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	642	4014	570.0	570.0	570.0	0.57	0.57	0.57	347.0	GigabitEthernet0/0	4831.0	8212.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	793	3680	635.0	635.0	635.0	0.635	0.635	0.635	372.0	GigabitEthernet0/0	4831.0	8212.0
lanl	atla	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	641	3192	529.0	529.0	529.0	0.529	0.529	0.529	361.0	GigabitEthernet0/0	4831.0	8212.0
nodeid39	nodeid41	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	360	2403	399.0	399.0	399.0	0.398	0.398	0.398	363.0	GigabitEthernet0/0	4831.0	8212.0
sunn	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	568	2766	511.0	511.0	511.0	0.511	0.511	0.511	355.0	GigabitEthernet0/0	4831.0	8212.0
nodeid42	noaa	IpWildcardIpSpace{ipWildcard=200.0.35.0/24}	sat	550	3756	554.0	554.0	554.0	0.553	0.553	0.553	354.0	GigabitEthernet0/0	4831.0	8212.0
pacwave	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	568	2766	508.0	508.0	508.0	0.508	0.508	0.508	346.0	GigabitEthernet0/0	4831.0	8212.0
starlight	chidashsl	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	691	3936	553.0	553.0	553.0	0.553	0.553	0.553	361.0	GigabitEthernet0/0	4831.0	8212.0
pantex	nodeid21	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	569	3189	480.0	480.0	480.0	0.48	0.48	0.48	351.0	GigabitEthernet0/0	4831.0	8212.0
chic	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	849	4025	630.0	630.0	630.0	0.629	0.629	0.629	353.0	GigabitEthernet0/0	4831.0	8212.0
sea	nash	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	533	3614	473.0	473.0	473.0	0.473	0.473	0.473	353.0	GigabitEthernet0/0	4831.0	8212.0
chic	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	873	3845	622.0	622.0	622.0	0.621	0.621	0.621	353.0	GigabitEthernet0/0	4831.0	8212.0
peernrel0	sdsc	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	628	3583	503.0	503.0	503.0	0.502	0.502	0.502	354.0	GigabitEthernet0/0	4831.0	8212.0
nash	pppl	IpWildcardIpSpace{ipWildcard=200.0.56.0/24}	sat	747	3781	589.0	589.0	589.0	0.588	0.588	0.588	348.0	GigabitEthernet0/0	4831.0	8212.0
geant	snla	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	758	4113	665.0	665.0	665.0	0.664	0.664	0.664	353.0	GigabitEthernet0/0	4831.0	8212.0
nodeid38	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	652	3723	582.0	582.0	582.0	0.582	0.582	0.582	364.0	GigabitEthernet0/0	4831.0	8212.0
chic	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	761	4365	654.0	654.0	654.0	0.653	0.653	0.653	362.0	GigabitEthernet0/0	4831.0	8212.0
orau	nodeid25	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	sat	715	3959	592.0	592.0	592.0	0.592	0.592	0.592	355.0	GigabitEthernet0/0	4831.0	8212.0
albu	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	590	3427	481.0	481.0	481.0	0.48	0.48	0.48	358.0	GigabitEthernet0/0	4831.0	8212.0
arm	bechteldashnv	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	729	4287	641.0	641.0	641.0	0.64	0.64	0.64	350.0	GigabitEthernet0/0	4831.0	8212.0
orau	inl	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	743	4474	644.0	644.0	644.0	0.643	0.643	0.643	354.0	GigabitEthernet0/0	4831.0	8212.0
ga	nodeid43	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	621	3820	566.0	566.0	566.0	0.566	0.566	0.566	361.0	GigabitEthernet0/0	4831.0	8212.0
chidashsl	alliedttsignal	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	738	4095	627.0	627.0	627.0	0.626	0.626	0.626	412.0	GigabitEthernet0/0	4831.0	8212.0
peernrel0	nodeid40	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	739	4558	636.0	636.0	636.0	0.636	0.636	0.636	354.0	GigabitEthernet0/0	4831.0	8212.0
pppl	pantex	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	676	4552	653.0	653.0	653.0	0.652	0.652	0.652	365.0	GigabitEthernet0/0	4831.0	8212.0
