srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	103	1076	366.0	366.0	366.0	0.365	0.365	0.365	549.0	GigabitEthernet0/0	4969.0	8490.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	253	1788	425.0	425.0	425.0	0.424	0.424	0.424	414.0	GigabitEthernet0/0	4969.0	8490.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	7	102	249.0	249.0	249.0	0.249	0.249	0.249	415.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	2	64	256.0	256.0	256.0	0.255	0.255	0.255	409.0	GigabitEthernet0/0	4969.0	8490.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	108	1254	368.0	368.0	368.0	0.368	0.368	0.368	393.0	GigabitEthernet0/0	4969.0	8490.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	105	1163	370.0	370.0	370.0	0.37	0.37	0.37	413.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	464	2447	529.0	529.0	529.0	0.528	0.528	0.528	397.0	GigabitEthernet0/0	4969.0	8490.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	480	2077	500.0	500.0	500.0	0.5	0.5	0.5	374.0	GigabitEthernet0/0	4969.0	8490.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	110	1158	375.0	375.0	375.0	0.375	0.375	0.375	369.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	334	1942	433.0	433.0	433.0	0.432	0.432	0.432	371.0	GigabitEthernet0/0	4969.0	8490.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	106	1382	362.0	362.0	362.0	0.361	0.361	0.361	399.0	GigabitEthernet0/0	4969.0	8490.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	2	63	250.0	250.0	250.0	0.25	0.25	0.25	361.0	GigabitEthernet0/0	4969.0	8490.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	6	74	249.0	249.0	249.0	0.249	0.249	0.249	379.0	GigabitEthernet0/0	4969.0	8490.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	105	1185	349.0	349.0	349.0	0.349	0.349	0.349	369.0	GigabitEthernet0/0	4969.0	8490.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	485	2413	503.0	503.0	503.0	0.502	0.502	0.502	348.0	GigabitEthernet0/0	4969.0	8490.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	9	130	254.0	254.0	254.0	0.253	0.253	0.253	359.0	GigabitEthernet0/0	4969.0	8490.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	115	1193	359.0	359.0	359.0	0.359	0.359	0.359	354.0	GigabitEthernet0/0	4969.0	8490.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	103	712	333.0	333.0	333.0	0.332	0.332	0.332	359.0	GigabitEthernet0/0	4969.0	8490.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1	56	250.0	250.0	250.0	0.248	0.248	0.248	354.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	3	83	254.0	254.0	254.0	0.254	0.254	0.254	361.0	GigabitEthernet0/0	4969.0	8490.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	sat	354	2156	441.0	441.0	441.0	0.44	0.44	0.44	354.0	GigabitEthernet0/0	4969.0	8490.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	sat	103	699	331.0	331.0	331.0	0.331	0.331	0.331	396.0	GigabitEthernet0/0	4969.0	8490.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	106	1132	359.0	359.0	359.0	0.358	0.358	0.358	357.0	GigabitEthernet0/0	4969.0	8490.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	5	89	253.0	253.0	253.0	0.253	0.253	0.253	361.0	GigabitEthernet0/0	4969.0	8490.0
lanl	atla	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	2	63	252.0	252.0	252.0	0.251	0.251	0.251	371.0	GigabitEthernet0/0	4969.0	8490.0
