srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	543	3760	602.0	602.0	602.0	0.602	0.602	0.602	391.0	GigabitEthernet0/0	4969.0	8490.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	500	2874	582.0	582.0	582.0	0.581	0.581	0.581	402.0	GigabitEthernet0/0	4969.0	8490.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	unsat	377	2658	528.0	528.0	528.0	0.527	0.527	0.527	411.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	571	3546	600.0	600.0	600.0	0.599	0.599	0.599	398.0	GigabitEthernet0/0	4969.0	8490.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	674	2621	705.0	705.0	705.0	0.705	0.705	0.705	401.0	GigabitEthernet0/0	4969.0	8490.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	395	2704	542.0	542.0	542.0	0.542	0.542	0.542	378.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	573	2560	593.0	593.0	593.0	0.592	0.592	0.592	382.0	GigabitEthernet0/0	4969.0	8490.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	404	2758	514.0	514.0	514.0	0.513	0.513	0.513	373.0	GigabitEthernet0/0	4969.0	8490.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	627	3439	819.0	819.0	819.0	0.818	0.818	0.818	372.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	521	2468	608.0	608.0	608.0	0.607	0.607	0.607	369.0	GigabitEthernet0/0	4969.0	8490.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	477	2441	577.0	577.0	577.0	0.577	0.577	0.577	359.0	GigabitEthernet0/0	4969.0	8490.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	489	3042	590.0	590.0	590.0	0.589	0.589	0.589	381.0	GigabitEthernet0/0	4969.0	8490.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	unsat	665	3549	621.0	621.0	621.0	0.62	0.62	0.62	396.0	GigabitEthernet0/0	4969.0	8490.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	395	2704	514.0	514.0	514.0	0.514	0.514	0.514	357.0	GigabitEthernet0/0	4969.0	8490.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	538	2626	566.0	566.0	566.0	0.566	0.566	0.566	457.0	GigabitEthernet0/0	4969.0	8490.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	494	2582	537.0	537.0	537.0	0.536	0.536	0.536	367.0	GigabitEthernet0/0	4969.0	8490.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	549	3114	583.0	583.0	583.0	0.582	0.582	0.582	383.0	GigabitEthernet0/0	4969.0	8490.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	unsat	436	3382	570.0	570.0	570.0	0.57	0.57	0.57	349.0	GigabitEthernet0/0	4969.0	8490.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	476	3269	565.0	565.0	565.0	0.564	0.564	0.564	361.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	nrel	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	unsat	606	3116	682.0	682.0	682.0	0.682	0.682	0.682	354.0	GigabitEthernet0/0	4969.0	8490.0
nodeid43	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	unsat	553	2559	645.0	645.0	645.0	0.644	0.644	0.644	365.0	GigabitEthernet0/0	4969.0	8490.0
fnal	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	unsat	578	3238	617.0	617.0	617.0	0.616	0.616	0.616	356.0	GigabitEthernet0/0	4969.0	8490.0
nodeid43	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	350	3177	533.0	533.0	533.0	0.532	0.532	0.532	353.0	GigabitEthernet0/0	4969.0	8490.0
ampath	doedasha	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	576	3205	625.0	625.0	625.0	0.624	0.624	0.624	360.0	GigabitEthernet0/0	4969.0	8490.0
lanl	atla	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	424	2860	517.0	517.0	517.0	0.516	0.516	0.516	374.0	GigabitEthernet0/0	4969.0	8490.0
nodeid39	nodeid41	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	unsat	436	2828	549.0	549.0	549.0	0.548	0.548	0.548	348.0	GigabitEthernet0/0	4969.0	8490.0
sunn	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	579	2723	652.0	652.0	652.0	0.651	0.651	0.651	355.0	GigabitEthernet0/0	4969.0	8490.0
nodeid42	noaa	IpWildcardIpSpace{ipWildcard=200.0.35.0/24}	unsat	656	3198	653.0	653.0	653.0	0.652	0.652	0.652	357.0	GigabitEthernet0/0	4969.0	8490.0
pacwave	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	551	2459	627.0	627.0	627.0	0.626	0.626	0.626	352.0	GigabitEthernet0/0	4969.0	8490.0
starlight	chidashsl	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	368	2602	525.0	525.0	525.0	0.524	0.524	0.524	352.0	GigabitEthernet0/0	4969.0	8490.0
pantex	nodeid21	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	unsat	583	2844	593.0	593.0	593.0	0.592	0.592	0.592	350.0	GigabitEthernet0/0	4969.0	8490.0
chic	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	627	2699	566.0	566.0	566.0	0.565	0.565	0.565	354.0	GigabitEthernet0/0	4969.0	8490.0
sea	nash	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	593	3317	623.0	623.0	623.0	0.623	0.623	0.623	356.0	GigabitEthernet0/0	4969.0	8490.0
chic	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	402	2239	456.0	456.0	456.0	0.455	0.455	0.455	422.0	GigabitEthernet0/0	4969.0	8490.0
peernrel0	sdsc	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	unsat	471	3571	635.0	635.0	635.0	0.634	0.634	0.634	355.0	GigabitEthernet0/0	4969.0	8490.0
nash	pppl	IpWildcardIpSpace{ipWildcard=200.0.56.0/24}	unsat	466	2354	629.0	629.0	629.0	0.628	0.628	0.628	352.0	GigabitEthernet0/0	4969.0	8490.0
geant	snla	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	unsat	630	3105	656.0	656.0	656.0	0.655	0.655	0.655	351.0	GigabitEthernet0/0	4969.0	8490.0
nodeid38	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	unsat	430	2749	517.0	517.0	517.0	0.517	0.517	0.517	374.0	GigabitEthernet0/0	4969.0	8490.0
chic	psfc	IpWildcardIpSpace{ipWildcard=200.0.57.0/24}	unsat	434	2417	560.0	560.0	560.0	0.559	0.559	0.559	349.0	GigabitEthernet0/0	4969.0	8490.0
orau	nodeid25	IpWildcardIpSpace{ipWildcard=200.0.40.0/24}	unsat	582	3321	624.0	624.0	624.0	0.623	0.623	0.623	358.0	GigabitEthernet0/0	4969.0	8490.0
albu	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	499	2833	548.0	548.0	548.0	0.548	0.548	0.548	355.0	GigabitEthernet0/0	4969.0	8490.0
arm	bechteldashnv	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	410	2560	532.0	532.0	532.0	0.531	0.531	0.531	350.0	GigabitEthernet0/0	4969.0	8490.0
orau	inl	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	608	3014	634.0	634.0	634.0	0.633	0.633	0.633	357.0	GigabitEthernet0/0	4969.0	8490.0
ga	nodeid43	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	unsat	448	3200	593.0	593.0	593.0	0.593	0.593	0.593	373.0	GigabitEthernet0/0	4969.0	8490.0
chidashsl	alliedttsignal	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	648	3094	775.0	775.0	775.0	0.774	0.774	0.774	361.0	GigabitEthernet0/0	4969.0	8490.0
peernrel0	nodeid40	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	656	3042	706.0	706.0	706.0	0.705	0.705	0.705	355.0	GigabitEthernet0/0	4969.0	8490.0
pppl	pantex	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	unsat	726	3223	794.0	794.0	794.0	0.794	0.794	0.794	368.0	GigabitEthernet0/0	4969.0	8490.0
sinet	fnal	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	unsat	446	2522	517.0	517.0	517.0	0.516	0.516	0.516	372.0	GigabitEthernet0/0	4969.0	8490.0
inl	pacificwave	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	487	3384	648.0	648.0	648.0	0.648	0.648	0.648	356.0	GigabitEthernet0/0	4969.0	8490.0
newy	sinet	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	unsat	328	2696	510.0	510.0	510.0	0.509	0.509	0.509	357.0	GigabitEthernet0/0	4969.0	8490.0
