srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	815	3909	667.0	667.0	667.0	0.666	0.666	0.666	386.0	GigabitEthernet0/0	4969.0	8490.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	820	4224	624.0	624.0	624.0	0.623	0.623	0.623	429.0	GigabitEthernet0/0	4969.0	8490.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	unsat	907	4790	680.0	680.0	680.0	0.679	0.679	0.679	407.0	GigabitEthernet0/0	4969.0	8490.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	736	3575	651.0	651.0	651.0	0.651	0.651	0.651	411.0	GigabitEthernet0/0	4969.0	8490.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	830	4146	680.0	680.0	680.0	0.679	0.679	0.679	387.0	GigabitEthernet0/0	4969.0	8490.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	703	4062	588.0	588.0	588.0	0.588	0.588	0.588	398.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	845	4131	673.0	673.0	673.0	0.672	0.672	0.672	371.0	GigabitEthernet0/0	4969.0	8490.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	889	4008	660.0	660.0	660.0	0.66	0.66	0.66	372.0	GigabitEthernet0/0	4969.0	8490.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	744	3170	606.0	606.0	606.0	0.605	0.605	0.605	374.0	GigabitEthernet0/0	4969.0	8490.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	842	4036	633.0	633.0	633.0	0.632	0.632	0.632	378.0	GigabitEthernet0/0	4969.0	8490.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	unsat	752	4021	590.0	590.0	590.0	0.59	0.59	0.59	377.0	GigabitEthernet0/0	4969.0	8490.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	883	4297	660.0	660.0	660.0	0.659	0.659	0.659	374.0	GigabitEthernet0/0	4969.0	8490.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	unsat	617	2447	492.0	492.0	492.0	0.491	0.491	0.491	372.0	GigabitEthernet0/0	4969.0	8490.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	676	3127	515.0	515.0	515.0	0.514	0.514	0.514	358.0	GigabitEthernet0/0	4969.0	8490.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	909	4214	668.0	668.0	668.0	0.667	0.667	0.667	365.0	GigabitEthernet0/0	4969.0	8490.0
arm	netl	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	888	4053	671.0	671.0	671.0	0.67	0.67	0.67	354.0	GigabitEthernet0/0	4969.0	8490.0
nodeid41	equinix	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	854	4833	687.0	687.0	687.0	0.686	0.686	0.686	355.0	GigabitEthernet0/0	4969.0	8490.0
ga	srs	IpWildcardIpSpace{ipWildcard=200.0.64.0/24}	unsat	803	4117	622.0	622.0	622.0	0.621	0.621	0.621	356.0	GigabitEthernet0/0	4969.0	8490.0
equinix	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	769	5071	717.0	717.0	717.0	0.717	0.717	0.717	358.0	GigabitEthernet0/0	4969.0	8490.0
