srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
au	pacwave	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	562	4129	483.0	483.0	483.0	0.482	0.482	0.482	429.0	GigabitEthernet0/0	4969.0	8341.0
wash	auid66	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	509	3681	459.0	459.0	459.0	0.459	0.459	0.459	401.0	GigabitEthernet0/0	4969.0	8341.0
abilene	sunn	IpWildcardIpSpace{ipWildcard=200.0.66.0/24}	sat	1265	7661	948.0	948.0	948.0	0.947	0.947	0.947	413.0	GigabitEthernet0/0	4969.0	8341.0
nodeid40	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1600	7474	1117.0	1117.0	1117.0	1.117	1.117	1.117	372.0	GigabitEthernet0/0	4969.0	8341.0
ga	geant	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	945	7654	827.0	827.0	827.0	0.825	0.825	0.825	395.0	GigabitEthernet0/0	4969.0	8341.0
pacwave	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	468	5006	509.0	509.0	509.0	0.508	0.508	0.508	409.0	GigabitEthernet0/0	4969.0	8341.0
yuccattmt	doe	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	504	4814	466.0	466.0	466.0	0.465	0.465	0.465	371.0	GigabitEthernet0/0	4969.0	8341.0
pppl	jlab	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	67	1356	266.0	266.0	266.0	0.266	0.266	0.266	371.0	GigabitEthernet0/0	4969.0	8341.0
nnsa	lanl	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	1017	6368	745.0	745.0	745.0	0.745	0.745	0.745	376.0	GigabitEthernet0/0	4969.0	8341.0
yuccattmt	bnl	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	193	5759	354.0	354.0	354.0	0.353	0.353	0.353	372.0	GigabitEthernet0/0	4969.0	8341.0
au	osti	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	1262	6031	962.0	962.0	962.0	0.961	0.961	0.961	473.0	GigabitEthernet0/0	4969.0	8341.0
ligo	denv	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1218	7377	906.0	906.0	906.0	0.905	0.905	0.905	370.0	GigabitEthernet0/0	4969.0	8341.0
sinet	sea	IpWildcardIpSpace{ipWildcard=200.0.60.0/24}	sat	1238	6067	872.0	872.0	872.0	0.871	0.871	0.871	379.0	GigabitEthernet0/0	4969.0	8341.0
inl	ligo	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	507	4922	491.0	491.0	491.0	0.49	0.49	0.49	360.0	GigabitEthernet0/0	4969.0	8341.0
nrel	equinixid53	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	520	5053	503.0	503.0	503.0	0.502	0.502	0.502	360.0	GigabitEthernet0/0	4969.0	8341.0
