srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
annttarbor	findlay	IpWildcardIpSpace{ipWildcard=200.0.214.0/24}	timeout	236185	691979	3600417.0	3600417.0	3600417.0	3600.416	3600.416	3600.416	6034.0	GigabitEthernet0/0	118573.0	156038.0
norristtcity	southttboston	IpWildcardIpSpace{ipWildcard=200.2.150.0/24}	timeout	318035	845669	3600458.0	3600458.0	3600458.0	3600.457	3600.457	3600.457	5234.0	GigabitEthernet0/0	118573.0	156038.0
bayttcity	monticello	IpWildcardIpSpace{ipWildcard=200.1.205.0/24}	timeout	286756	732080	3600635.0	3600635.0	3600635.0	3600.633	3600.633	3600.633	6177.0	GigabitEthernet0/0	118573.0	156038.0
spooner	battlettcreek	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	timeout	423947	984330	3600693.0	3600693.0	3600693.0	3600.692	3600.692	3600.692	5352.0	GigabitEthernet0/0	118573.0	156038.0
lexington	jennings	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	timeout	564883	1079802	3600705.0	3600705.0	3600705.0	3600.705	3600.705	3600.705	5248.0	GigabitEthernet0/0	118573.0	156038.0
southfielddetroit	vincennes	IpWildcardIpSpace{ipWildcard=200.2.194.0/24}	sat	246868	832847	2121273.0	2121273.0	2121273.0	2121.271	2121.271	2121.271	5294.0	GigabitEthernet0/0	118573.0	156038.0
bryan	harrisburg	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	164718	660498	1213173.0	1213173.0	1213173.0	1213.171	1213.171	1213.171	5290.0	GigabitEthernet0/0	118573.0	156038.0
conway	pinson	IpWildcardIpSpace{ipWildcard=200.2.67.0/24}	timeout	307242	909230	3600527.0	3600527.0	3600527.0	3600.526	3600.526	3600.526	5657.0	GigabitEthernet0/0	118573.0	156038.0
tallahassee	culpeper	IpWildcardIpSpace{ipWildcard=200.0.158.0/24}	sat	312202	954087	3202699.0	3202699.0	3202699.0	3202.698	3202.698	3202.698	6066.0	GigabitEthernet0/0	118573.0	156038.0
collinsville	london	IpWildcardIpSpace{ipWildcard=200.1.124.0/24}	sat	265159	880910	1697460.0	1697460.0	1697460.0	1697.459	1697.459	1697.459	5933.0	GigabitEthernet0/0	118573.0	156038.0
