srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
annttarbor	findlay	IpWildcardIpSpace{ipWildcard=200.0.214.0/24}	sat	3088	637429	72162.0	72162.0	72162.0	72.161	72.161	72.161	5697.0	GigabitEthernet0/0	120083.0	157409.0
norristtcity	southttboston	IpWildcardIpSpace{ipWildcard=200.2.150.0/24}	sat	1007	539745	78018.0	78018.0	78018.0	78.017	78.017	78.017	8080.0	GigabitEthernet0/0	120083.0	157409.0
bayttcity	monticello	IpWildcardIpSpace{ipWildcard=200.1.205.0/24}	sat	2266	902415	127312.0	127312.0	127312.0	127.311	127.311	127.311	5687.0	GigabitEthernet0/0	120083.0	157409.0
spooner	battlettcreek	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	1164	480282	68748.0	68748.0	68748.0	68.747	68.747	68.747	6978.0	GigabitEthernet0/0	120083.0	157409.0
lexington	jennings	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	3556	1343708	117804.0	117804.0	117804.0	117.803	117.803	117.803	6057.0	GigabitEthernet0/0	120083.0	157409.0
southfielddetroit	vincennes	IpWildcardIpSpace{ipWildcard=200.2.194.0/24}	sat	694	234189	40981.0	40981.0	40981.0	40.981	40.981	40.981	5592.0	GigabitEthernet0/0	120083.0	157409.0
bryan	harrisburg	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	1062	247429	57454.0	57454.0	57454.0	57.453	57.453	57.453	5260.0	GigabitEthernet0/0	120083.0	157409.0
conway	pinson	IpWildcardIpSpace{ipWildcard=200.2.67.0/24}	sat	2023	852716	101054.0	101054.0	101054.0	101.054	101.054	101.054	5275.0	GigabitEthernet0/0	120083.0	157409.0
tallahassee	culpeper	IpWildcardIpSpace{ipWildcard=200.0.158.0/24}	sat	59692	1599385	483340.0	483340.0	483340.0	483.338	483.338	483.338	5230.0	GigabitEthernet0/0	120083.0	157409.0
collinsville	london	IpWildcardIpSpace{ipWildcard=200.1.124.0/24}	sat	3507	1062760	165827.0	165827.0	165827.0	165.826	165.826	165.826	5616.0	GigabitEthernet0/0	120083.0	157409.0
demopolis	greenwoodid641	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	894	379831	77770.0	77770.0	77770.0	77.769	77.769	77.769	5425.0	GigabitEthernet0/0	120083.0	157409.0
martin	paoli	IpWildcardIpSpace{ipWildcard=200.2.44.0/24}	sat	1823	706016	91634.0	91634.0	91634.0	91.632	91.632	91.632	6004.0	GigabitEthernet0/0	120083.0	157409.0
greensburg	elgin	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	timeout	684012	5708519	3600730.0	3600730.0	3600730.0	3600.729	3600.729	3600.729	5302.0	GigabitEthernet0/0	120083.0	157409.0
chester	crane	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	3889	559318	90609.0	90609.0	90609.0	90.608	90.608	90.608	5762.0	GigabitEthernet0/0	120083.0	157409.0
logansport	childersburg	IpWildcardIpSpace{ipWildcard=200.0.116.0/24}	sat	2847	1103847	122844.0	122844.0	122844.0	122.844	122.844	122.844	5279.0	GigabitEthernet0/0	120083.0	157409.0
burlington	morrilton	IpWildcardIpSpace{ipWildcard=200.1.212.0/24}	sat	2644	2378924	182320.0	182320.0	182320.0	182.319	182.319	182.319	5161.0	GigabitEthernet0/0	120083.0	157409.0
huntingdon	huntingtonid730	IpWildcardIpSpace{ipWildcard=200.1.40.0/24}	sat	1553	852992	88828.0	88828.0	88828.0	88.827	88.827	88.827	5138.0	GigabitEthernet0/0	120083.0	157409.0
warsaw	americus	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1101	487182	63495.0	63495.0	63495.0	63.494	63.494	63.494	5896.0	GigabitEthernet0/0	120083.0	157409.0
saginaw	birmingham	IpWildcardIpSpace{ipWildcard=200.0.68.0/24}	sat	4535	1004991	142690.0	142690.0	142690.0	142.689	142.689	142.689	5394.0	GigabitEthernet0/0	120083.0	157409.0
nodeid390	eufaula	IpWildcardIpSpace{ipWildcard=200.0.203.0/24}	sat	1616	769825	98249.0	98249.0	98249.0	98.248	98.248	98.248	5359.0	GigabitEthernet0/0	120083.0	157409.0
vicksburg	zanesville	IpWildcardIpSpace{ipWildcard=200.2.242.0/24}	sat	3252	1115166	120369.0	120369.0	120369.0	120.369	120.369	120.369	5619.0	GigabitEthernet0/0	120083.0	157409.0
danvilleid290	albertville	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	2527	610514	108160.0	108160.0	108160.0	108.159	108.159	108.159	5876.0	GigabitEthernet0/0	120083.0	157409.0
midland	oneonta	IpWildcardIpSpace{ipWildcard=200.2.33.0/24}	sat	1207	532929	87977.0	87977.0	87977.0	87.975	87.975	87.975	5454.0	GigabitEthernet0/0	120083.0	157409.0
columbiaid471	westttmemphis	IpWildcardIpSpace{ipWildcard=200.2.214.0/24}	sat	1395	572699	107469.0	107469.0	107469.0	107.468	107.468	107.468	5211.0	GigabitEthernet0/0	120083.0	157409.0
jacksonid519	peerwarrensburg0	IpWildcardIpSpace{ipWildcard=200.2.52.0/24}	sat	19618	1484888	327562.0	327562.0	327562.0	327.561	327.561	327.561	5215.0	GigabitEthernet0/0	120083.0	157409.0
nodeid634	linettlexington	IpWildcardIpSpace{ipWildcard=200.1.116.0/24}	sat	1646	419482	84159.0	84159.0	84159.0	84.159	84.159	84.159	7390.0	GigabitEthernet0/0	120083.0	157409.0
nodeid343	chandler	IpWildcardIpSpace{ipWildcard=200.0.107.0/24}	sat	1855	476838	124493.0	124493.0	124493.0	124.492	124.492	124.492	5506.0	GigabitEthernet0/0	120083.0	157409.0
redttwing	morristown	IpWildcardIpSpace{ipWildcard=200.1.213.0/24}	sat	1746	701929	95477.0	95477.0	95477.0	95.477	95.477	95.477	5167.0	GigabitEthernet0/0	120083.0	157409.0
alexandriaid749	bristol	IpWildcardIpSpace{ipWildcard=200.0.82.0/24}	sat	1945	581864	84223.0	84223.0	84223.0	84.222	84.222	84.222	5679.0	GigabitEthernet0/0	120083.0	157409.0
harrisonville	franklinid613	IpWildcardIpSpace{ipWildcard=200.0.236.0/24}	sat	1828	606720	98422.0	98422.0	98422.0	98.42	98.42	98.42	5260.0	GigabitEthernet0/0	120083.0	157409.0
estill	biscoe	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	957	398300	79848.0	79848.0	79848.0	79.847	79.847	79.847	5267.0	GigabitEthernet0/0	120083.0	157409.0
milwaukee	knoxville	IpWildcardIpSpace{ipWildcard=200.1.80.0/24}	sat	3026	1070940	109588.0	109588.0	109588.0	109.588	109.588	109.588	5284.0	GigabitEthernet0/0	120083.0	157409.0
franklinid253	westttpoint	IpWildcardIpSpace{ipWildcard=200.2.215.0/24}	sat	4351	1902433	209188.0	209188.0	209188.0	209.187	209.187	209.187	5966.0	GigabitEthernet0/0	120083.0	157409.0
forest	pittsburgh	IpWildcardIpSpace{ipWildcard=200.2.69.0/24}	sat	910	240260	57214.0	57214.0	57214.0	57.213	57.213	57.213	5946.0	GigabitEthernet0/0	120083.0	157409.0
flint	greenvilleid685	IpWildcardIpSpace{ipWildcard=200.1.9.0/24}	sat	4530	766066	103974.0	103974.0	103974.0	103.973	103.973	103.973	5848.0	GigabitEthernet0/0	120083.0	157409.0
clarksvilleid402	louisa	IpWildcardIpSpace{ipWildcard=200.1.128.0/24}	sat	2620	620081	110341.0	110341.0	110341.0	110.34	110.34	110.34	5149.0	GigabitEthernet0/0	120083.0	157409.0
nodeid137	princeton	IpWildcardIpSpace{ipWildcard=200.2.79.0/24}	sat	1631	735773	105771.0	105771.0	105771.0	105.77	105.77	105.77	5180.0	GigabitEthernet0/0	120083.0	157409.0
tunica	muskegon	IpWildcardIpSpace{ipWildcard=200.1.224.0/24}	sat	885	371800	69885.0	69885.0	69885.0	69.884	69.884	69.884	5960.0	GigabitEthernet0/0	120083.0	157409.0
lawrenceville	macquoketa	IpWildcardIpSpace{ipWildcard=200.1.138.0/24}	sat	5312	1089997	162904.0	162904.0	162904.0	162.903	162.903	162.903	5128.0	GigabitEthernet0/0	120083.0	157409.0
watersmeet	rolla	IpWildcardIpSpace{ipWildcard=200.2.107.0/24}	sat	1167	684804	110210.0	110210.0	110210.0	110.209	110.209	110.209	5868.0	GigabitEthernet0/0	120083.0	157409.0
murray	nodeid69	IpWildcardIpSpace{ipWildcard=200.2.17.0/24}	sat	1922	778442	106724.0	106724.0	106724.0	106.723	106.723	106.723	5924.0	GigabitEthernet0/0	120083.0	157409.0
newaygo	morganton	IpWildcardIpSpace{ipWildcard=200.1.210.0/24}	sat	1321	513680	90618.0	90618.0	90618.0	90.617	90.617	90.617	5941.0	GigabitEthernet0/0	120083.0	157409.0
stevensttpoint	houston	IpWildcardIpSpace{ipWildcard=200.1.36.0/24}	sat	1122	715121	64527.0	64527.0	64527.0	64.526	64.526	64.526	5267.0	GigabitEthernet0/0	120083.0	157409.0
collierville	eastlake	IpWildcardIpSpace{ipWildcard=200.0.187.0/24}	sat	1585	391541	73323.0	73323.0	73323.0	73.322	73.322	73.322	6034.0	GigabitEthernet0/0	120083.0	157409.0
scotlandttneck	hattiesburg	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	4725	1015997	163342.0	163342.0	163342.0	163.342	163.342	163.342	5619.0	GigabitEthernet0/0	120083.0	157409.0
oxfordid687	bayttminette	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	32890	1298689	330745.0	330745.0	330745.0	330.744	330.744	330.744	5505.0	GigabitEthernet0/0	120083.0	157409.0
woodville	providence	IpWildcardIpSpace{ipWildcard=200.2.81.0/24}	sat	4051	704728	117553.0	117553.0	117553.0	117.552	117.552	117.552	5152.0	GigabitEthernet0/0	120083.0	157409.0
montgomery	nodeid632	IpWildcardIpSpace{ipWildcard=200.2.12.0/24}	sat	1584	688783	131172.0	131172.0	131172.0	131.171	131.171	131.171	5227.0	GigabitEthernet0/0	120083.0	157409.0
charlottesville	carrollton	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	1350	532349	86908.0	86908.0	86908.0	86.907	86.907	86.907	5102.0	GigabitEthernet0/0	120083.0	157409.0
newaygo	brazil	IpWildcardIpSpace{ipWildcard=200.0.80.0/24}	sat	1522	469427	75191.0	75191.0	75191.0	75.191	75.191	75.191	5591.0	GigabitEthernet0/0	120083.0	157409.0
