srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
annttarbor	findlay	IpWildcardIpSpace{ipWildcard=200.0.214.0/24}	timeout	238683	606801	3600619.0	3600619.0	3600619.0	3600.618	3600.618	3600.618	5527.0	GigabitEthernet0/0	120083.0	159060.0
norristtcity	southttboston	IpWildcardIpSpace{ipWildcard=200.2.150.0/24}	timeout	300700	873399	3600861.0	3600861.0	3600861.0	3600.86	3600.86	3600.86	5493.0	GigabitEthernet0/0	120083.0	159060.0
bayttcity	monticello	IpWildcardIpSpace{ipWildcard=200.1.205.0/24}	timeout	318063	709953	3600617.0	3600617.0	3600617.0	3600.615	3600.615	3600.615	7400.0	GigabitEthernet0/0	120083.0	159060.0
spooner	battlettcreek	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	timeout	361357	833854	3600718.0	3600718.0	3600718.0	3600.717	3600.717	3600.717	5335.0	GigabitEthernet0/0	120083.0	159060.0
lexington	jennings	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	timeout	525181	910881	3600434.0	3600434.0	3600434.0	3600.434	3600.434	3600.434	5562.0	GigabitEthernet0/0	120083.0	159060.0
southfielddetroit	vincennes	IpWildcardIpSpace{ipWildcard=200.2.194.0/24}	timeout	483561	878313	3600699.0	3600699.0	3600699.0	3600.698	3600.698	3600.698	5341.0	GigabitEthernet0/0	120083.0	159060.0
bryan	harrisburg	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	253737	810688	1536421.0	1536421.0	1536421.0	1536.42	1536.42	1536.42	5440.0	GigabitEthernet0/0	120083.0	159060.0
conway	pinson	IpWildcardIpSpace{ipWildcard=200.2.67.0/24}	timeout	329542	701765	3600801.0	3600801.0	3600801.0	3600.8	3600.8	3600.8	5343.0	GigabitEthernet0/0	120083.0	159060.0
tallahassee	culpeper	IpWildcardIpSpace{ipWildcard=200.0.158.0/24}	timeout	571734	956873	3600729.0	3600729.0	3600729.0	3600.727	3600.727	3600.727	5331.0	GigabitEthernet0/0	120083.0	159060.0
collinsville	london	IpWildcardIpSpace{ipWildcard=200.1.124.0/24}	unsat	130583	574251	667971.0	667971.0	667971.0	667.97	667.97	667.97	5358.0	GigabitEthernet0/0	120083.0	159060.0
demopolis	greenwoodid641	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	unsat	138719	573945	1040652.0	1040652.0	1040652.0	1040.65	1040.65	1040.65	5308.0	GigabitEthernet0/0	120083.0	159060.0
martin	paoli	IpWildcardIpSpace{ipWildcard=200.2.44.0/24}	unsat	195427	685270	1234666.0	1234666.0	1234666.0	1234.665	1234.665	1234.665	6110.0	GigabitEthernet0/0	120083.0	159060.0
greensburg	elgin	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	unsat	509699	1118357	3411990.0	3411990.0	3411990.0	3411.988	3411.988	3411.988	5575.0	GigabitEthernet0/0	120083.0	159060.0
chester	crane	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	unsat	156636	622660	708448.0	708448.0	708448.0	708.445	708.445	708.445	6590.0	GigabitEthernet0/0	120083.0	159060.0
logansport	childersburg	IpWildcardIpSpace{ipWildcard=200.0.116.0/24}	timeout	447892	890766	3600421.0	3600421.0	3600421.0	3600.421	3600.421	3600.421	5889.0	GigabitEthernet0/0	120083.0	159060.0
burlington	morrilton	IpWildcardIpSpace{ipWildcard=200.1.212.0/24}	timeout	283099	669139	3600434.0	3600434.0	3600434.0	3600.433	3600.433	3600.433	5075.0	GigabitEthernet0/0	120083.0	159060.0
