srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	102	1387	337.0	337.0	337.0	0.336	0.336	0.336	371.0	GigabitEthernet0/0	5350.0	8593.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	101	1328	320.0	320.0	320.0	0.319	0.319	0.319	361.0	GigabitEthernet0/0	5350.0	8593.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	103	1420	320.0	320.0	320.0	0.318	0.318	0.318	367.0	GigabitEthernet0/0	5350.0	8593.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	32	243.0	243.0	243.0	0.243	0.243	0.243	359.0	GigabitEthernet0/0	5350.0	8593.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	32	242.0	242.0	242.0	0.241	0.241	0.241	361.0	GigabitEthernet0/0	5350.0	8593.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	32	251.0	251.0	251.0	0.25	0.25	0.25	387.0	GigabitEthernet0/0	5350.0	8593.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	159	3523	314.0	314.0	314.0	0.313	0.313	0.313	378.0	GigabitEthernet0/0	5350.0	8593.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	1	47	265.0	265.0	265.0	0.265	0.265	0.265	384.0	GigabitEthernet0/0	5350.0	8593.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	1	35	248.0	248.0	248.0	0.248	0.248	0.248	366.0	GigabitEthernet0/0	5350.0	8593.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	2	54	245.0	245.0	245.0	0.244	0.244	0.244	368.0	GigabitEthernet0/0	5350.0	8593.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	sat	1	48	249.0	249.0	249.0	0.248	0.248	0.248	374.0	GigabitEthernet0/0	5350.0	8593.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	32	248.0	248.0	248.0	0.248	0.248	0.248	369.0	GigabitEthernet0/0	5350.0	8593.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	104	922	316.0	316.0	316.0	0.315	0.315	0.315	368.0	GigabitEthernet0/0	5350.0	8593.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	1	35	250.0	250.0	250.0	0.249	0.249	0.249	370.0	GigabitEthernet0/0	5350.0	8593.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	1	40	262.0	262.0	262.0	0.261	0.261	0.261	369.0	GigabitEthernet0/0	5350.0	8593.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	33	251.0	251.0	251.0	0.251	0.251	0.251	378.0	GigabitEthernet0/0	5350.0	8593.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	32	247.0	247.0	247.0	0.246	0.246	0.246	359.0	GigabitEthernet0/0	5350.0	8593.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	1	44	249.0	249.0	249.0	0.248	0.248	0.248	360.0	GigabitEthernet0/0	5350.0	8593.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	1	39	241.0	241.0	241.0	0.241	0.241	0.241	346.0	GigabitEthernet0/0	5350.0	8593.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	sat	2	53	251.0	251.0	251.0	0.25	0.25	0.25	361.0	GigabitEthernet0/0	5350.0	8593.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	sat	104	959	301.0	301.0	301.0	0.3	0.3	0.3	349.0	GigabitEthernet0/0	5350.0	8593.0
valmiera	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	103	1326	330.0	330.0	330.0	0.329	0.329	0.329	359.0	GigabitEthernet0/0	5350.0	8593.0
strenci	salaspils	IpWildcardIpSpace{ipWildcard=200.0.53.0/24}	sat	2	44	256.0	256.0	256.0	0.255	0.255	0.255	378.0	GigabitEthernet0/0	5350.0	8593.0
broceni	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	1	45	260.0	260.0	260.0	0.259	0.259	0.259	352.0	GigabitEthernet0/0	5350.0	8593.0
liepaja	jelgava	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	0	34	246.0	246.0	246.0	0.246	0.246	0.246	360.0	GigabitEthernet0/0	5350.0	8593.0
adazi	grobina	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	101	929	338.0	338.0	338.0	0.337	0.337	0.337	351.0	GigabitEthernet0/0	5350.0	8593.0
liepupe	jekabpils	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	1	45	275.0	275.0	275.0	0.274	0.274	0.274	366.0	GigabitEthernet0/0	5350.0	8593.0
balvi	aizpute	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	103	1222	322.0	322.0	322.0	0.321	0.321	0.321	355.0	GigabitEthernet0/0	5350.0	8593.0
livberze	vijkene	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	104	988	342.0	342.0	342.0	0.341	0.341	0.341	344.0	GigabitEthernet0/0	5350.0	8593.0
ledurga	aizkroukle	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	1	40	252.0	252.0	252.0	0.252	0.252	0.252	350.0	GigabitEthernet0/0	5350.0	8593.0
lielvarde	gulbene	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	102	1329	350.0	350.0	350.0	0.35	0.35	0.35	348.0	GigabitEthernet0/0	5350.0	8593.0
jurmala	dobele	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	2	49	252.0	252.0	252.0	0.252	0.252	0.252	347.0	GigabitEthernet0/0	5350.0	8593.0
sigulda	baldone	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	104	1429	337.0	337.0	337.0	0.336	0.336	0.336	388.0	GigabitEthernet0/0	5350.0	8593.0
baldone	mazsalaca	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	1	40	250.0	250.0	250.0	0.249	0.249	0.249	372.0	GigabitEthernet0/0	5350.0	8593.0
kapsede	lielvarde	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	1	44	249.0	249.0	249.0	0.248	0.248	0.248	345.0	GigabitEthernet0/0	5350.0	8593.0
strenci	zvigzdene	IpWildcardIpSpace{ipWildcard=200.0.69.0/24}	sat	103	1456	331.0	331.0	331.0	0.33	0.33	0.33	370.0	GigabitEthernet0/0	5350.0	8593.0
preili	riga	IpWildcardIpSpace{ipWildcard=200.0.50.0/24}	sat	1	71	245.0	245.0	245.0	0.244	0.244	0.244	413.0	GigabitEthernet0/0	5350.0	8593.0
livani	saldus	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	sat	0	33	248.0	248.0	248.0	0.248	0.248	0.248	354.0	GigabitEthernet0/0	5350.0	8593.0
carnikava	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	32	256.0	256.0	256.0	0.255	0.255	0.255	349.0	GigabitEthernet0/0	5350.0	8593.0
auce	kegums	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	1	45	243.0	243.0	243.0	0.243	0.243	0.243	371.0	GigabitEthernet0/0	5350.0	8593.0
saldus	valmiera	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	0	33	241.0	241.0	241.0	0.241	0.241	0.241	348.0	GigabitEthernet0/0	5350.0	8593.0
ledurga	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	103	1420	322.0	322.0	322.0	0.322	0.322	0.322	377.0	GigabitEthernet0/0	5350.0	8593.0
adazi	rezekne	IpWildcardIpSpace{ipWildcard=200.0.49.0/24}	sat	2	54	247.0	247.0	247.0	0.246	0.246	0.246	350.0	GigabitEthernet0/0	5350.0	8593.0
krimulda	tukums	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	1	41	255.0	255.0	255.0	0.255	0.255	0.255	358.0	GigabitEthernet0/0	5350.0	8593.0
ogre	iecava	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	103	1326	333.0	333.0	333.0	0.332	0.332	0.332	353.0	GigabitEthernet0/0	5350.0	8593.0
ogre	kegums	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	1	45	249.0	249.0	249.0	0.248	0.248	0.248	357.0	GigabitEthernet0/0	5350.0	8593.0
ikskile	kalnciems	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	101	1025	316.0	316.0	316.0	0.316	0.316	0.316	385.0	GigabitEthernet0/0	5350.0	8593.0
ragona	pociems	IpWildcardIpSpace{ipWildcard=200.0.45.0/24}	sat	101	1172	324.0	324.0	324.0	0.323	0.323	0.323	380.0	GigabitEthernet0/0	5350.0	8593.0
broceni	malnava	IpWildcardIpSpace{ipWildcard=200.0.38.0/24}	sat	1	37	251.0	251.0	251.0	0.251	0.251	0.251	354.0	GigabitEthernet0/0	5350.0	8593.0
gulbene	vircava	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	101	1015	304.0	304.0	304.0	0.304	0.304	0.304	374.0	GigabitEthernet0/0	5350.0	8593.0
