srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	101	1893	332.0	332.0	332.0	0.331	0.331	0.331	404.0	GigabitEthernet0/0	5490.0	8730.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	101	1819	334.0	334.0	334.0	0.333	0.333	0.333	367.0	GigabitEthernet0/0	5490.0	8730.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	104	1893	335.0	335.0	335.0	0.335	0.335	0.335	360.0	GigabitEthernet0/0	5490.0	8730.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	9	196	266.0	266.0	266.0	0.266	0.266	0.266	359.0	GigabitEthernet0/0	5490.0	8730.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	9	196	273.0	273.0	273.0	0.272	0.272	0.272	366.0	GigabitEthernet0/0	5490.0	8730.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	7	177	274.0	274.0	274.0	0.274	0.274	0.274	360.0	GigabitEthernet0/0	5490.0	8730.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	182	2292	331.0	331.0	331.0	0.33	0.33	0.33	390.0	GigabitEthernet0/0	5490.0	8730.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	sat	7	185	280.0	280.0	280.0	0.279	0.279	0.279	370.0	GigabitEthernet0/0	5490.0	8730.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	4	142	272.0	272.0	272.0	0.272	0.272	0.272	364.0	GigabitEthernet0/0	5490.0	8730.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	sat	13	230	301.0	301.0	301.0	0.3	0.3	0.3	356.0	GigabitEthernet0/0	5490.0	8730.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	sat	3	146	270.0	270.0	270.0	0.269	0.269	0.269	378.0	GigabitEthernet0/0	5490.0	8730.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	8	214	280.0	280.0	280.0	0.28	0.28	0.28	355.0	GigabitEthernet0/0	5490.0	8730.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	sat	103	1466	339.0	339.0	339.0	0.338	0.338	0.338	361.0	GigabitEthernet0/0	5490.0	8730.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	7	173	268.0	268.0	268.0	0.268	0.268	0.268	343.0	GigabitEthernet0/0	5490.0	8730.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	sat	9	215	288.0	288.0	288.0	0.287	0.287	0.287	381.0	GigabitEthernet0/0	5490.0	8730.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	7	152	290.0	290.0	290.0	0.289	0.289	0.289	389.0	GigabitEthernet0/0	5490.0	8730.0
