srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
preili	ragona	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	269	3701	471.0	471.0	471.0	0.47	0.47	0.47	381.0	GigabitEthernet0/0	5490.0	8874.0
grobina	talsi	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	unsat	204	1756	328.0	328.0	328.0	0.327	0.327	0.327	366.0	GigabitEthernet0/0	5490.0	8874.0
bauska	cibla	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	241	2251	388.0	388.0	388.0	0.388	0.388	0.388	363.0	GigabitEthernet0/0	5490.0	8874.0
gulbene	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	228	2675	390.0	390.0	390.0	0.388	0.388	0.388	367.0	GigabitEthernet0/0	5490.0	8874.0
kraslava	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	233	1741	338.0	338.0	338.0	0.337	0.337	0.337	363.0	GigabitEthernet0/0	5490.0	8874.0
skriveri	karsava	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	235	2800	402.0	402.0	402.0	0.401	0.401	0.401	399.0	GigabitEthernet0/0	5490.0	8874.0
saldus	peerbalvi0	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	49	1402	244.0	244.0	244.0	0.244	0.244	0.244	425.0	GigabitEthernet0/0	5490.0	8874.0
riga	limbazi	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	206	1465	381.0	381.0	381.0	0.38	0.38	0.38	414.0	GigabitEthernet0/0	5490.0	8874.0
limbazi	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	208	2042	359.0	359.0	359.0	0.358	0.358	0.358	381.0	GigabitEthernet0/0	5490.0	8874.0
kraslava	ludza	IpWildcardIpSpace{ipWildcard=200.0.37.0/24}	unsat	217	1943	363.0	363.0	363.0	0.361	0.361	0.361	361.0	GigabitEthernet0/0	5490.0	8874.0
jekabpils	sigulda	IpWildcardIpSpace{ipWildcard=200.0.55.0/24}	unsat	362	2304	419.0	419.0	419.0	0.418	0.418	0.418	373.0	GigabitEthernet0/0	5490.0	8874.0
ulbroka	jumprava	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	243	1792	388.0	388.0	388.0	0.387	0.387	0.387	377.0	GigabitEthernet0/0	5490.0	8874.0
jurmala	salagriva	IpWildcardIpSpace{ipWildcard=200.0.52.0/24}	unsat	286	1904	402.0	402.0	402.0	0.401	0.401	0.401	337.0	GigabitEthernet0/0	5490.0	8874.0
iecava	liepupe	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	259	3326	420.0	420.0	420.0	0.418	0.418	0.418	339.0	GigabitEthernet0/0	5490.0	8874.0
kalnciems	preili	IpWildcardIpSpace{ipWildcard=200.0.46.0/24}	unsat	255	1666	354.0	354.0	354.0	0.353	0.353	0.353	353.0	GigabitEthernet0/0	5490.0	8874.0
aizkroukle	ikskile	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	244	1897	361.0	361.0	361.0	0.36	0.36	0.36	357.0	GigabitEthernet0/0	5490.0	8874.0
aloja	daugapils	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	279	1694	382.0	382.0	382.0	0.381	0.381	0.381	359.0	GigabitEthernet0/0	5490.0	8874.0
salagriva	aloja	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	221	1499	392.0	392.0	392.0	0.391	0.391	0.391	395.0	GigabitEthernet0/0	5490.0	8874.0
vangazi	carnikava	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	217	1540	326.0	326.0	326.0	0.326	0.326	0.326	344.0	GigabitEthernet0/0	5490.0	8874.0
lielvarde	platone	IpWildcardIpSpace{ipWildcard=200.0.44.0/24}	unsat	250	1393	346.0	346.0	346.0	0.346	0.346	0.346	339.0	GigabitEthernet0/0	5490.0	8874.0
ozolnieki	ventspits	IpWildcardIpSpace{ipWildcard=200.0.63.0/24}	unsat	224	1294	358.0	358.0	358.0	0.357	0.357	0.357	364.0	GigabitEthernet0/0	5490.0	8874.0
