srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	130	5927	7140.0	7140.0	7140.0	7.139	7.139	7.139	2826.0	GigabitEthernet0/0	33535.0	61468.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	222	12052	8513.0	8513.0	8513.0	8.512	8.512	8.512	2880.0	GigabitEthernet0/0	33535.0	61468.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	49	2456	5445.0	5445.0	5445.0	5.445	5.445	5.445	2823.0	GigabitEthernet0/0	33535.0	61468.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	157	11003	6851.0	6851.0	6851.0	6.851	6.851	6.851	2830.0	GigabitEthernet0/0	33535.0	61468.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	58	3317	6124.0	6124.0	6124.0	6.123	6.123	6.123	3059.0	GigabitEthernet0/0	33535.0	61468.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	297	10410	8369.0	8369.0	8369.0	8.368	8.368	8.368	3076.0	GigabitEthernet0/0	33535.0	61468.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	177	9636	8813.0	8813.0	8813.0	8.812	8.812	8.812	3048.0	GigabitEthernet0/0	33535.0	61468.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	3021	52567	26590.0	26590.0	26590.0	26.589	26.589	26.589	2835.0	GigabitEthernet0/0	33535.0	61468.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	75	3239	5945.0	5945.0	5945.0	5.945	5.945	5.945	2816.0	GigabitEthernet0/0	33535.0	61468.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	74	3081	5988.0	5988.0	5988.0	5.988	5.988	5.988	2940.0	GigabitEthernet0/0	33535.0	61468.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	95	4731	6156.0	6156.0	6156.0	6.155	6.155	6.155	2800.0	GigabitEthernet0/0	33535.0	61468.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	1719	23677	16362.0	16362.0	16362.0	16.361	16.361	16.361	3007.0	GigabitEthernet0/0	33535.0	61468.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	622	17727	10673.0	10673.0	10673.0	10.673	10.673	10.673	2786.0	GigabitEthernet0/0	33535.0	61468.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	104	3832	6838.0	6838.0	6838.0	6.836	6.836	6.836	2850.0	GigabitEthernet0/0	33535.0	61468.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	1770	22208	13080.0	13080.0	13080.0	13.079	13.079	13.079	2816.0	GigabitEthernet0/0	33535.0	61468.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	176	6008	6615.0	6615.0	6615.0	6.613	6.613	6.613	2797.0	GigabitEthernet0/0	33535.0	61468.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	290	8549	8621.0	8621.0	8621.0	8.62	8.62	8.62	3120.0	GigabitEthernet0/0	33535.0	61468.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	64	3435	6023.0	6023.0	6023.0	6.022	6.022	6.022	2814.0	GigabitEthernet0/0	33535.0	61468.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	361	10931	8483.0	8483.0	8483.0	8.482	8.482	8.482	2829.0	GigabitEthernet0/0	33535.0	61468.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	sat	68	3518	6312.0	6312.0	6312.0	6.311	6.311	6.311	2822.0	GigabitEthernet0/0	33535.0	61468.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	sat	73	4740	6447.0	6447.0	6447.0	6.447	6.447	6.447	2827.0	GigabitEthernet0/0	33535.0	61468.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	sat	1202	27298	16780.0	16780.0	16780.0	16.779	16.779	16.779	2799.0	GigabitEthernet0/0	33535.0	61468.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	sat	92	2538	6107.0	6107.0	6107.0	6.106	6.106	6.106	2807.0	GigabitEthernet0/0	33535.0	61468.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	150	6782	7315.0	7315.0	7315.0	7.315	7.315	7.315	2807.0	GigabitEthernet0/0	33535.0	61468.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	sat	394	20661	12178.0	12178.0	12178.0	12.177	12.177	12.177	2840.0	GigabitEthernet0/0	33535.0	61468.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	47	1307	5657.0	5657.0	5657.0	5.656	5.656	5.656	2836.0	GigabitEthernet0/0	33535.0	61468.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	sat	318	12300	9596.0	9596.0	9596.0	9.595	9.595	9.595	3067.0	GigabitEthernet0/0	33535.0	61468.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	65	2648	6312.0	6312.0	6312.0	6.311	6.311	6.311	3034.0	GigabitEthernet0/0	33535.0	61468.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	sat	83	5551	6298.0	6298.0	6298.0	6.298	6.298	6.298	3047.0	GigabitEthernet0/0	33535.0	61468.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	61	3118	5334.0	5334.0	5334.0	5.333	5.333	5.333	3041.0	GigabitEthernet0/0	33535.0	61468.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	sat	182	11594	7612.0	7612.0	7612.0	7.611	7.611	7.611	2908.0	GigabitEthernet0/0	33535.0	61468.0
rimini	nodeidgg30	IpWildcardIpSpace{ipWildcard=200.1.82.0/24}	sat	452	20730	10762.0	10762.0	10762.0	10.761	10.761	10.761	2903.0	GigabitEthernet0/0	33535.0	61468.0
callicut	zug	IpWildcardIpSpace{ipWildcard=200.2.23.0/24}	sat	52	2396	5666.0	5666.0	5666.0	5.665	5.665	5.665	2950.0	GigabitEthernet0/0	33535.0	61468.0
akola	meerut	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	sat	139	11710	7928.0	7928.0	7928.0	7.927	7.927	7.927	2881.0	GigabitEthernet0/0	33535.0	61468.0
