srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	301	13232	9172.0	9172.0	9172.0	9.17	9.17	9.17	3197.0	GigabitEthernet0/0	34609.0	63618.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	71	7850	6759.0	6759.0	6759.0	6.758	6.758	6.758	2837.0	GigabitEthernet0/0	34609.0	63618.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	97	8236	6291.0	6291.0	6291.0	6.29	6.29	6.29	2825.0	GigabitEthernet0/0	34609.0	63618.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	2121	33923	11873.0	11873.0	11873.0	11.872	11.872	11.872	3077.0	GigabitEthernet0/0	34609.0	63618.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	105	16261	8273.0	8273.0	8273.0	8.273	8.273	8.273	3112.0	GigabitEthernet0/0	34609.0	63618.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	89	3959	6001.0	6001.0	6001.0	6.0	6.0	6.0	2782.0	GigabitEthernet0/0	34609.0	63618.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	203	15147	10394.0	10394.0	10394.0	10.393	10.393	10.393	3181.0	GigabitEthernet0/0	34609.0	63618.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	384	25083	12023.0	12023.0	12023.0	12.022	12.022	12.022	3076.0	GigabitEthernet0/0	34609.0	63618.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	104	5636	6937.0	6937.0	6937.0	6.936	6.936	6.936	3099.0	GigabitEthernet0/0	34609.0	63618.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	1185	21418	11149.0	11149.0	11149.0	11.148	11.148	11.148	3158.0	GigabitEthernet0/0	34609.0	63618.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	61	3543	6317.0	6317.0	6317.0	6.317	6.317	6.317	2858.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	208	11837	8652.0	8652.0	8652.0	8.651	8.651	8.651	3093.0	GigabitEthernet0/0	34609.0	63618.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	68	7371	6778.0	6778.0	6778.0	6.777	6.777	6.777	3038.0	GigabitEthernet0/0	34609.0	63618.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	297	10462	8859.0	8859.0	8859.0	8.858	8.858	8.858	2793.0	GigabitEthernet0/0	34609.0	63618.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	87	6616	6983.0	6983.0	6983.0	6.983	6.983	6.983	2858.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	413	12096	8211.0	8211.0	8211.0	8.211	8.211	8.211	2792.0	GigabitEthernet0/0	34609.0	63618.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	134	8161	7237.0	7237.0	7237.0	7.236	7.236	7.236	2796.0	GigabitEthernet0/0	34609.0	63618.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	57	3083	6335.0	6335.0	6335.0	6.334	6.334	6.334	3038.0	GigabitEthernet0/0	34609.0	63618.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	260	14316	7822.0	7822.0	7822.0	7.821	7.821	7.821	2824.0	GigabitEthernet0/0	34609.0	63618.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	sat	59	3798	6620.0	6620.0	6620.0	6.619	6.619	6.619	2838.0	GigabitEthernet0/0	34609.0	63618.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	sat	60	4336	6525.0	6525.0	6525.0	6.524	6.524	6.524	3101.0	GigabitEthernet0/0	34609.0	63618.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	sat	5787	145726	41740.0	41740.0	41740.0	41.74	41.74	41.74	2787.0	GigabitEthernet0/0	34609.0	63618.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	sat	41	3384	6268.0	6268.0	6268.0	6.267	6.267	6.267	2977.0	GigabitEthernet0/0	34609.0	63618.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	293	17195	11069.0	11069.0	11069.0	11.068	11.068	11.068	2797.0	GigabitEthernet0/0	34609.0	63618.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	sat	159	11925	8595.0	8595.0	8595.0	8.594	8.594	8.594	2917.0	GigabitEthernet0/0	34609.0	63618.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	46	3143	5993.0	5993.0	5993.0	5.993	5.993	5.993	2824.0	GigabitEthernet0/0	34609.0	63618.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	sat	215	17999	9570.0	9570.0	9570.0	9.57	9.57	9.57	2842.0	GigabitEthernet0/0	34609.0	63618.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	213	8943	8908.0	8908.0	8908.0	8.908	8.908	8.908	3034.0	GigabitEthernet0/0	34609.0	63618.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	sat	87	11765	6968.0	6968.0	6968.0	6.967	6.967	6.967	3226.0	GigabitEthernet0/0	34609.0	63618.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	141	10953	6800.0	6800.0	6800.0	6.798	6.798	6.798	3241.0	GigabitEthernet0/0	34609.0	63618.0
