srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	17392	742615	157548.0	157548.0	157548.0	157.546	157.546	157.546	3118.0	GigabitEthernet0/0	34609.0	62401.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	1279	284394	41451.0	41451.0	41451.0	41.45	41.45	41.45	2983.0	GigabitEthernet0/0	34609.0	62401.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	1287	343724	33911.0	33911.0	33911.0	33.91	33.91	33.91	2878.0	GigabitEthernet0/0	34609.0	62401.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	1716	571938	54427.0	54427.0	54427.0	54.426	54.426	54.426	2798.0	GigabitEthernet0/0	34609.0	62401.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	1616	440537	29853.0	29853.0	29853.0	29.852	29.852	29.852	3143.0	GigabitEthernet0/0	34609.0	62401.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	1791	378888	45262.0	45262.0	45262.0	45.261	45.261	45.261	2793.0	GigabitEthernet0/0	34609.0	62401.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	848	268432	45978.0	45978.0	45978.0	45.977	45.977	45.977	2845.0	GigabitEthernet0/0	34609.0	62401.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	1697	511912	62838.0	62838.0	62838.0	62.837	62.837	62.837	3053.0	GigabitEthernet0/0	34609.0	62401.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	694	156390	21269.0	21269.0	21269.0	21.269	21.269	21.269	2844.0	GigabitEthernet0/0	34609.0	62401.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	747	149074	18654.0	18654.0	18654.0	18.653	18.653	18.653	3248.0	GigabitEthernet0/0	34609.0	62401.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	961	321775	35062.0	35062.0	35062.0	35.061	35.061	35.061	2803.0	GigabitEthernet0/0	34609.0	62401.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	775	172970	22959.0	22959.0	22959.0	22.958	22.958	22.958	3109.0	GigabitEthernet0/0	34609.0	62401.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	730	244138	33381.0	33381.0	33381.0	33.379	33.379	33.379	3031.0	GigabitEthernet0/0	34609.0	62401.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	1020	261126	39424.0	39424.0	39424.0	39.424	39.424	39.424	2815.0	GigabitEthernet0/0	34609.0	62401.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	1067	286174	21370.0	21370.0	21370.0	21.37	21.37	21.37	2834.0	GigabitEthernet0/0	34609.0	62401.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	3480	499127	49837.0	49837.0	49837.0	49.836	49.836	49.836	2967.0	GigabitEthernet0/0	34609.0	62401.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	1115	452314	35544.0	35544.0	35544.0	35.543	35.543	35.543	2796.0	GigabitEthernet0/0	34609.0	62401.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	1057	333840	42359.0	42359.0	42359.0	42.358	42.358	42.358	3053.0	GigabitEthernet0/0	34609.0	62401.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	1542	426552	48548.0	48548.0	48548.0	48.547	48.547	48.547	2960.0	GigabitEthernet0/0	34609.0	62401.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	sat	1216	280764	35590.0	35590.0	35590.0	35.589	35.589	35.589	3075.0	GigabitEthernet0/0	34609.0	62401.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	sat	1098	332794	28077.0	28077.0	28077.0	28.076	28.076	28.076	3034.0	GigabitEthernet0/0	34609.0	62401.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	sat	7340	927500	115999.0	115999.0	115999.0	115.998	115.998	115.998	2855.0	GigabitEthernet0/0	34609.0	62401.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	sat	809	316719	34487.0	34487.0	34487.0	34.486	34.486	34.486	2829.0	GigabitEthernet0/0	34609.0	62401.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	759	154600	20630.0	20630.0	20630.0	20.629	20.629	20.629	2808.0	GigabitEthernet0/0	34609.0	62401.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	sat	702	181432	26680.0	26680.0	26680.0	26.679	26.679	26.679	2867.0	GigabitEthernet0/0	34609.0	62401.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	723	266907	27377.0	27377.0	27377.0	27.376	27.376	27.376	2817.0	GigabitEthernet0/0	34609.0	62401.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	sat	2204	1509456	50584.0	50584.0	50584.0	50.583	50.583	50.583	2844.0	GigabitEthernet0/0	34609.0	62401.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	675	188365	33800.0	33800.0	33800.0	33.799	33.799	33.799	3166.0	GigabitEthernet0/0	34609.0	62401.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	sat	1642	650928	51657.0	51657.0	51657.0	51.656	51.656	51.656	3205.0	GigabitEthernet0/0	34609.0	62401.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	1246	381716	37448.0	37448.0	37448.0	37.447	37.447	37.447	3099.0	GigabitEthernet0/0	34609.0	62401.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	sat	1310	298299	34264.0	34264.0	34264.0	34.264	34.264	34.264	3075.0	GigabitEthernet0/0	34609.0	62401.0
rimini	nodeidgg30	IpWildcardIpSpace{ipWildcard=200.1.82.0/24}	sat	1308	448076	27973.0	27973.0	27973.0	27.973	27.973	27.973	2951.0	GigabitEthernet0/0	34609.0	62401.0
callicut	zug	IpWildcardIpSpace{ipWildcard=200.2.23.0/24}	sat	677	222976	15335.0	15335.0	15335.0	15.334	15.334	15.334	2869.0	GigabitEthernet0/0	34609.0	62401.0
akola	meerut	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	sat	664	156233	21819.0	21819.0	21819.0	21.819	21.819	21.819	2880.0	GigabitEthernet0/0	34609.0	62401.0
barreidgg104	chazy	IpWildcardIpSpace{ipWildcard=200.0.104.0/24}	sat	1078	207530	28209.0	28209.0	28209.0	28.208	28.208	28.208	2854.0	GigabitEthernet0/0	34609.0	62401.0
nodeidgg22	dhar	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	661	216353	21647.0	21647.0	21647.0	21.646	21.646	21.646	3039.0	GigabitEthernet0/0	34609.0	62401.0
wilmington	anderlecht	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	1409	349550	47357.0	47357.0	47357.0	47.356	47.356	47.356	2912.0	GigabitEthernet0/0	34609.0	62401.0
allepey	winooski	IpWildcardIpSpace{ipWildcard=200.2.18.0/24}	sat	1294	332963	27235.0	27235.0	27235.0	27.234	27.234	27.234	2875.0	GigabitEthernet0/0	34609.0	62401.0
chicago	rowland	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	768	113561	19271.0	19271.0	19271.0	19.27	19.27	19.27	3157.0	GigabitEthernet0/0	34609.0	62401.0
