srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	65135	319269	221614.0	221614.0	221614.0	221.612	221.612	221.612	3082.0	GigabitEthernet0/0	34609.0	63618.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	sat	63079	312428	231540.0	231540.0	231540.0	231.539	231.539	231.539	3021.0	GigabitEthernet0/0	34609.0	63618.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	sat	61173	293861	189829.0	189829.0	189829.0	189.828	189.828	189.828	3079.0	GigabitEthernet0/0	34609.0	63618.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	59760	314747	208709.0	208709.0	208709.0	208.708	208.708	208.708	2862.0	GigabitEthernet0/0	34609.0	63618.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	sat	60673	271198	235936.0	235936.0	235936.0	235.935	235.935	235.935	3079.0	GigabitEthernet0/0	34609.0	63618.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	sat	48242	256823	169739.0	169739.0	169739.0	169.739	169.739	169.739	2825.0	GigabitEthernet0/0	34609.0	63618.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	sat	39280	227103	122457.0	122457.0	122457.0	122.455	122.455	122.455	2858.0	GigabitEthernet0/0	34609.0	63618.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	sat	73835	342770	261842.0	261842.0	261842.0	261.841	261.841	261.841	3038.0	GigabitEthernet0/0	34609.0	63618.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	sat	63123	290760	244412.0	244412.0	244412.0	244.411	244.411	244.411	3067.0	GigabitEthernet0/0	34609.0	63618.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	sat	66354	299742	268489.0	268489.0	268489.0	268.488	268.488	268.488	3119.0	GigabitEthernet0/0	34609.0	63618.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	sat	51750	256612	207384.0	207384.0	207384.0	207.384	207.384	207.384	2853.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	sat	81277	343519	312947.0	312947.0	312947.0	312.946	312.946	312.946	3034.0	GigabitEthernet0/0	34609.0	63618.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	50127	248301	171660.0	171660.0	171660.0	171.659	171.659	171.659	3037.0	GigabitEthernet0/0	34609.0	63618.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	sat	71053	306329	232952.0	232952.0	232952.0	232.951	232.951	232.951	2874.0	GigabitEthernet0/0	34609.0	63618.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	sat	63114	291884	227451.0	227451.0	227451.0	227.45	227.45	227.45	2834.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	56041	266939	195527.0	195527.0	195527.0	195.526	195.526	195.526	2806.0	GigabitEthernet0/0	34609.0	63618.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	sat	56573	279848	223473.0	223473.0	223473.0	223.473	223.473	223.473	2782.0	GigabitEthernet0/0	34609.0	63618.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	sat	53283	287761	218907.0	218907.0	218907.0	218.907	218.907	218.907	3035.0	GigabitEthernet0/0	34609.0	63618.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	sat	59151	246868	193352.0	193352.0	193352.0	193.351	193.351	193.351	2807.0	GigabitEthernet0/0	34609.0	63618.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	sat	89553	356994	341349.0	341349.0	341349.0	341.347	341.347	341.347	2817.0	GigabitEthernet0/0	34609.0	63618.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	sat	70736	310116	267238.0	267238.0	267238.0	267.237	267.237	267.237	3075.0	GigabitEthernet0/0	34609.0	63618.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	sat	54659	264293	190600.0	190600.0	190600.0	190.599	190.599	190.599	2835.0	GigabitEthernet0/0	34609.0	63618.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	sat	83655	312065	271303.0	271303.0	271303.0	271.302	271.302	271.302	2795.0	GigabitEthernet0/0	34609.0	63618.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	sat	60658	257494	185309.0	185309.0	185309.0	185.308	185.308	185.308	2788.0	GigabitEthernet0/0	34609.0	63618.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	sat	41243	251431	147573.0	147573.0	147573.0	147.572	147.572	147.572	2786.0	GigabitEthernet0/0	34609.0	63618.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	sat	56775	287656	232721.0	232721.0	232721.0	232.721	232.721	232.721	2822.0	GigabitEthernet0/0	34609.0	63618.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	sat	67782	310910	292845.0	292845.0	292845.0	292.844	292.844	292.844	2832.0	GigabitEthernet0/0	34609.0	63618.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	50851	260033	153867.0	153867.0	153867.0	153.866	153.866	153.866	2861.0	GigabitEthernet0/0	34609.0	63618.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	sat	92276	373790	340588.0	340588.0	340588.0	340.587	340.587	340.587	3762.0	GigabitEthernet0/0	34609.0	63618.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	sat	47888	261781	148746.0	148746.0	148746.0	148.746	148.746	148.746	3229.0	GigabitEthernet0/0	34609.0	63618.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	sat	57692	279186	180960.0	180960.0	180960.0	180.959	180.959	180.959	3057.0	GigabitEthernet0/0	34609.0	63618.0
rimini	nodeidgg30	IpWildcardIpSpace{ipWildcard=200.1.82.0/24}	sat	53598	295436	196410.0	196410.0	196410.0	196.409	196.409	196.409	2912.0	GigabitEthernet0/0	34609.0	63618.0
callicut	zug	IpWildcardIpSpace{ipWildcard=200.2.23.0/24}	sat	49746	263246	195503.0	195503.0	195503.0	195.501	195.501	195.501	2867.0	GigabitEthernet0/0	34609.0	63618.0
akola	meerut	IpWildcardIpSpace{ipWildcard=200.1.30.0/24}	sat	51116	269532	202144.0	202144.0	202144.0	202.143	202.143	202.143	2972.0	GigabitEthernet0/0	34609.0	63618.0
barreidgg104	chazy	IpWildcardIpSpace{ipWildcard=200.0.104.0/24}	sat	50056	237937	213086.0	213086.0	213086.0	213.085	213.085	213.085	2870.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgg22	dhar	IpWildcardIpSpace{ipWildcard=200.0.134.0/24}	sat	53238	256873	190922.0	190922.0	190922.0	190.921	190.921	190.921	2898.0	GigabitEthernet0/0	34609.0	63618.0
wilmington	anderlecht	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	37248	232182	117533.0	117533.0	117533.0	117.532	117.532	117.532	2921.0	GigabitEthernet0/0	34609.0	63618.0
allepey	winooski	IpWildcardIpSpace{ipWildcard=200.2.18.0/24}	sat	48696	228114	180714.0	180714.0	180714.0	180.713	180.713	180.713	2939.0	GigabitEthernet0/0	34609.0	63618.0
chicago	rowland	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	49884	268401	174559.0	174559.0	174559.0	174.558	174.558	174.558	3257.0	GigabitEthernet0/0	34609.0	63618.0
bokaro	nasik	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	53654	245454	194702.0	194702.0	194702.0	194.701	194.701	194.701	2897.0	GigabitEthernet0/0	34609.0	63618.0
