srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	539004	6141962	3074331.0	3074331.0	3074331.0	3074.33	3074.33	3074.33	3013.0	GigabitEthernet0/0	34609.0	63618.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	unsat	148960	2001232	1055169.0	1055169.0	1055169.0	1055.168	1055.168	1055.168	2842.0	GigabitEthernet0/0	34609.0	63618.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	unsat	403626	5572184	2591741.0	2591741.0	2591741.0	2591.74	2591.74	2591.74	2812.0	GigabitEthernet0/0	34609.0	63618.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	unsat	261150	2792249	1569367.0	1569367.0	1569367.0	1569.366	1569.366	1569.366	2795.0	GigabitEthernet0/0	34609.0	63618.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	unsat	165437	1974048	963970.0	963970.0	963970.0	963.969	963.969	963.969	2825.0	GigabitEthernet0/0	34609.0	63618.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	unsat	453966	6885450	3446117.0	3446117.0	3446117.0	3446.116	3446.116	3446.116	2790.0	GigabitEthernet0/0	34609.0	63618.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	unsat	212756	2288482	1170437.0	1170437.0	1170437.0	1170.436	1170.436	1170.436	2833.0	GigabitEthernet0/0	34609.0	63618.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	unsat	164149	2118069	1103482.0	1103482.0	1103482.0	1103.481	1103.481	1103.481	2798.0	GigabitEthernet0/0	34609.0	63618.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	unsat	248544	3245200	2048220.0	2048220.0	2048220.0	2048.219	2048.219	2048.219	2851.0	GigabitEthernet0/0	34609.0	63618.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	timeout	461045	6765957	3600349.0	3600349.0	3600349.0	3600.348	3600.348	3600.348	3580.0	GigabitEthernet0/0	34609.0	63618.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	unsat	481075	5808895	3106856.0	3106856.0	3106856.0	3106.854	3106.854	3106.854	2879.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	unsat	174721	2179342	1154214.0	1154214.0	1154214.0	1154.213	1154.213	1154.213	3068.0	GigabitEthernet0/0	34609.0	63618.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	unsat	256165	2959448	1533115.0	1533115.0	1533115.0	1533.114	1533.114	1533.114	3034.0	GigabitEthernet0/0	34609.0	63618.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	timeout	755621	7127851	3600209.0	3600209.0	3600209.0	3600.208	3600.208	3600.208	2802.0	GigabitEthernet0/0	34609.0	63618.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	unsat	212276	2879862	1296017.0	1296017.0	1296017.0	1296.016	1296.016	1296.016	2866.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	unsat	224640	3670025	1698418.0	1698418.0	1698418.0	1698.417	1698.417	1698.417	2819.0	GigabitEthernet0/0	34609.0	63618.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	unsat	343530	4879733	1828450.0	1828450.0	1828450.0	1828.449	1828.449	1828.449	2804.0	GigabitEthernet0/0	34609.0	63618.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	unsat	575287	6603012	3239901.0	3239901.0	3239901.0	3239.9	3239.9	3239.9	2841.0	GigabitEthernet0/0	34609.0	63618.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	unsat	299850	3928244	1994733.0	1994733.0	1994733.0	1994.732	1994.732	1994.732	2799.0	GigabitEthernet0/0	34609.0	63618.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	unsat	161863	2301391	1008747.0	1008747.0	1008747.0	1008.746	1008.746	1008.746	3049.0	GigabitEthernet0/0	34609.0	63618.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	timeout	609542	7735529	3600205.0	3600205.0	3600205.0	3600.204	3600.204	3600.204	3041.0	GigabitEthernet0/0	34609.0	63618.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	unsat	241740	3012305	1541773.0	1541773.0	1541773.0	1541.772	1541.772	1541.772	2783.0	GigabitEthernet0/0	34609.0	63618.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	unsat	103556	1323208	683478.0	683478.0	683478.0	683.478	683.478	683.478	2857.0	GigabitEthernet0/0	34609.0	63618.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	unsat	202790	2157211	1120916.0	1120916.0	1120916.0	1120.915	1120.915	1120.915	2883.0	GigabitEthernet0/0	34609.0	63618.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	unsat	327312	4130711	1827019.0	1827019.0	1827019.0	1827.018	1827.018	1827.018	2811.0	GigabitEthernet0/0	34609.0	63618.0
liege	bhopal	IpWildcardIpSpace{ipWildcard=200.0.59.0/24}	unsat	171574	2296289	1207256.0	1207256.0	1207256.0	1207.254	1207.254	1207.254	2965.0	GigabitEthernet0/0	34609.0	63618.0
himmatnagar	nodeidgg31	IpWildcardIpSpace{ipWildcard=200.1.83.0/24}	unsat	402250	4826735	2128408.0	2128408.0	2128408.0	2128.406	2128.406	2128.406	2849.0	GigabitEthernet0/0	34609.0	63618.0
brussels	genova	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	unsat	299481	3676329	2309628.0	2309628.0	2309628.0	2309.627	2309.627	2309.627	3164.0	GigabitEthernet0/0	34609.0	63618.0
dijon	raleigh	IpWildcardIpSpace{ipWildcard=200.1.164.0/24}	unsat	135587	1693596	826634.0	826634.0	826634.0	826.634	826.634	826.634	3012.0	GigabitEthernet0/0	34609.0	63618.0
newnah	gloversville	IpWildcardIpSpace{ipWildcard=200.0.175.0/24}	unsat	588371	6507217	3239661.0	3239661.0	3239661.0	3239.66	3239.66	3239.66	3161.0	GigabitEthernet0/0	34609.0	63618.0
ludhiana	manchester	IpWildcardIpSpace{ipWildcard=200.1.22.0/24}	unsat	187349	2582575	1149230.0	1149230.0	1149230.0	1149.229	1149.229	1149.229	2969.0	GigabitEthernet0/0	34609.0	63618.0
