srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
bristolidhh150	newttyork	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	unsat	67707	304723	265100.0	265100.0	265100.0	265.099	265.099	265.099	2862.0	GigabitEthernet0/0	34609.0	63618.0
savannah	norfolk	IpWildcardIpSpace{ipWildcard=200.1.111.0/24}	unsat	51565	293518	155661.0	155661.0	155661.0	155.66	155.66	155.66	2841.0	GigabitEthernet0/0	34609.0	63618.0
memphis	stttpollen	IpWildcardIpSpace{ipWildcard=200.1.214.0/24}	unsat	48010	259165	148848.0	148848.0	148848.0	148.848	148.848	148.848	2884.0	GigabitEthernet0/0	34609.0	63618.0
putnamttvalley	elmira	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	unsat	45457	278099	158701.0	158701.0	158701.0	158.701	158.701	158.701	2814.0	GigabitEthernet0/0	34609.0	63618.0
chandrapur	nodeidgh97	IpWildcardIpSpace{ipWildcard=200.1.101.0/24}	unsat	55960	297159	163697.0	163697.0	163697.0	163.696	163.696	163.696	2847.0	GigabitEthernet0/0	34609.0	63618.0
bari	gaya	IpWildcardIpSpace{ipWildcard=200.0.168.0/24}	unsat	45067	232809	176741.0	176741.0	176741.0	176.74	176.74	176.74	2991.0	GigabitEthernet0/0	34609.0	63618.0
benningtown	hamilton	IpWildcardIpSpace{ipWildcard=200.0.190.0/24}	unsat	48951	239024	204961.0	204961.0	204961.0	204.961	204.961	204.961	2909.0	GigabitEthernet0/0	34609.0	63618.0
burdett	corning	IpWildcardIpSpace{ipWildcard=200.0.119.0/24}	unsat	69211	285650	182161.0	182161.0	182161.0	182.159	182.159	182.159	2817.0	GigabitEthernet0/0	34609.0	63618.0
zurich	sonipat	IpWildcardIpSpace{ipWildcard=200.1.209.0/24}	unsat	45143	243946	125263.0	125263.0	125263.0	125.262	125.262	125.262	2849.0	GigabitEthernet0/0	34609.0	63618.0
allahabad	lucknow	IpWildcardIpSpace{ipWildcard=200.1.11.0/24}	unsat	65338	293283	267017.0	267017.0	267017.0	267.017	267.017	267.017	3150.0	GigabitEthernet0/0	34609.0	63618.0
altmar	cologne	IpWildcardIpSpace{ipWildcard=200.0.114.0/24}	unsat	40827	224603	120877.0	120877.0	120877.0	120.876	120.876	120.876	2987.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgg123	salamanca	IpWildcardIpSpace{ipWildcard=200.1.186.0/24}	unsat	54018	269287	171639.0	171639.0	171639.0	171.639	171.639	171.639	3056.0	GigabitEthernet0/0	34609.0	63618.0
brescia	wardha	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	unsat	56841	294947	169174.0	169174.0	169174.0	169.173	169.173	169.173	3051.0	GigabitEthernet0/0	34609.0	63618.0
margaretsville	palermo	IpWildcardIpSpace{ipWildcard=200.1.129.0/24}	unsat	60875	279767	179011.0	179011.0	179011.0	179.01	179.01	179.01	2868.0	GigabitEthernet0/0	34609.0	63618.0
southttcanaan	gainesville	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	unsat	51908	283521	162384.0	162384.0	162384.0	162.383	162.383	162.383	2829.0	GigabitEthernet0/0	34609.0	63618.0
nodeidgh111	dothan	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	unsat	49311	231800	137378.0	137378.0	137378.0	137.377	137.377	137.377	2842.0	GigabitEthernet0/0	34609.0	63618.0
mysore	stockholm	IpWildcardIpSpace{ipWildcard=200.1.211.0/24}	unsat	43334	225742	173292.0	173292.0	173292.0	173.291	173.291	173.291	2812.0	GigabitEthernet0/0	34609.0	63618.0
alexandria	harriman	IpWildcardIpSpace{ipWildcard=200.0.193.0/24}	unsat	49431	241332	174418.0	174418.0	174418.0	174.417	174.417	174.417	2817.0	GigabitEthernet0/0	34609.0	63618.0
poitiers	bielbienne	IpWildcardIpSpace{ipWildcard=200.0.62.0/24}	unsat	60583	291301	197287.0	197287.0	197287.0	197.286	197.286	197.286	2829.0	GigabitEthernet0/0	34609.0	63618.0
monroeidgh21	raipur	IpWildcardIpSpace{ipWildcard=200.1.162.0/24}	unsat	76754	296514	264972.0	264972.0	264972.0	264.971	264.971	264.971	2856.0	GigabitEthernet0/0	34609.0	63618.0
mobile	tampa	IpWildcardIpSpace{ipWildcard=200.1.222.0/24}	unsat	55795	272654	150121.0	150121.0	150121.0	150.12	150.12	150.12	3058.0	GigabitEthernet0/0	34609.0	63618.0
sylva	houston	IpWildcardIpSpace{ipWildcard=200.0.206.0/24}	unsat	62515	316120	214238.0	214238.0	214238.0	214.237	214.237	214.237	2815.0	GigabitEthernet0/0	34609.0	63618.0
valsad	goa	IpWildcardIpSpace{ipWildcard=200.0.176.0/24}	unsat	57271	266499	180174.0	180174.0	180174.0	180.173	180.173	180.173	2813.0	GigabitEthernet0/0	34609.0	63618.0
canton	jacksonidgh91	IpWildcardIpSpace{ipWildcard=200.0.217.0/24}	unsat	68957	275439	162844.0	162844.0	162844.0	162.844	162.844	162.844	2818.0	GigabitEthernet0/0	34609.0	63618.0
lakettcharles	nodeidgg92	IpWildcardIpSpace{ipWildcard=200.1.87.0/24}	unsat	49640	261110	200298.0	200298.0	200298.0	200.297	200.297	200.297	2815.0	GigabitEthernet0/0	34609.0	63618.0
