srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	437	2367	222.0	222.0	222.0	0.221	0.221	0.221	195.0	GigabitEthernet0/0	2189.0	3998.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	243	1633	194.0	194.0	194.0	0.194	0.194	0.194	198.0	GigabitEthernet0/0	2189.0	3998.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	268	1387	190.0	190.0	190.0	0.189	0.189	0.189	199.0	GigabitEthernet0/0	2189.0	3998.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	71	715	116.0	116.0	116.0	0.115	0.115	0.115	218.0	GigabitEthernet0/0	2189.0	3998.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	295	2064	191.0	191.0	191.0	0.19	0.19	0.19	192.0	GigabitEthernet0/0	2189.0	3998.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	525	2768	250.0	250.0	250.0	0.249	0.249	0.249	193.0	GigabitEthernet0/0	2189.0	3998.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	305	2479	211.0	211.0	211.0	0.21	0.21	0.21	185.0	GigabitEthernet0/0	2189.0	3998.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	500	2274	256.0	256.0	256.0	0.256	0.256	0.256	190.0	GigabitEthernet0/0	2189.0	3998.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	334	2111	196.0	196.0	196.0	0.195	0.195	0.195	197.0	GigabitEthernet0/0	2189.0	3998.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	161	1326	152.0	152.0	152.0	0.151	0.151	0.151	182.0	GigabitEthernet0/0	2189.0	3998.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	465	2632	250.0	250.0	250.0	0.249	0.249	0.249	184.0	GigabitEthernet0/0	2189.0	3998.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	313	2398	207.0	207.0	207.0	0.206	0.206	0.206	192.0	GigabitEthernet0/0	2189.0	3998.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	314	1283	179.0	179.0	179.0	0.179	0.179	0.179	194.0	GigabitEthernet0/0	2189.0	3998.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	388	2457	228.0	228.0	228.0	0.228	0.228	0.228	192.0	GigabitEthernet0/0	2189.0	3998.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	617	2257	301.0	301.0	301.0	0.301	0.301	0.301	194.0	GigabitEthernet0/0	2189.0	3998.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	334	2111	197.0	197.0	197.0	0.196	0.196	0.196	207.0	GigabitEthernet0/0	2189.0	3998.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	338	1642	196.0	196.0	196.0	0.195	0.195	0.195	196.0	GigabitEthernet0/0	2189.0	3998.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	577	3051	322.0	322.0	322.0	0.322	0.322	0.322	192.0	GigabitEthernet0/0	2189.0	3998.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	617	2257	299.0	299.0	299.0	0.298	0.298	0.298	194.0	GigabitEthernet0/0	2189.0	3998.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	334	2111	199.0	199.0	199.0	0.198	0.198	0.198	210.0	GigabitEthernet0/0	2189.0	3998.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	324	2267	198.0	198.0	198.0	0.197	0.197	0.197	191.0	GigabitEthernet0/0	2189.0	3998.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	295	2064	191.0	191.0	191.0	0.191	0.191	0.191	185.0	GigabitEthernet0/0	2189.0	3998.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	378	1566	209.0	209.0	209.0	0.208	0.208	0.208	182.0	GigabitEthernet0/0	2189.0	3998.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	295	2064	190.0	190.0	190.0	0.19	0.19	0.19	183.0	GigabitEthernet0/0	2189.0	3998.0
clermontferrand	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	577	3051	316.0	316.0	316.0	0.316	0.316	0.316	186.0	GigabitEthernet0/0	2189.0	3998.0
nancy	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	478	2570	225.0	225.0	225.0	0.224	0.224	0.224	186.0	GigabitEthernet0/0	2189.0	3998.0
poiters	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	37	393	94.0	94.0	94.0	0.093	0.093	0.093	183.0	GigabitEthernet0/0	2189.0	3998.0
grenoble	geant2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	262	1873	182.0	182.0	182.0	0.181	0.181	0.181	186.0	GigabitEthernet0/0	2189.0	3998.0
caen	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	373	2902	231.0	231.0	231.0	0.23	0.23	0.23	183.0	GigabitEthernet0/0	2189.0	3998.0
nantes	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	617	2257	297.0	297.0	297.0	0.297	0.297	0.297	191.0	GigabitEthernet0/0	2189.0	3998.0
orleans	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	37	393	90.0	90.0	90.0	0.089	0.089	0.089	184.0	GigabitEthernet0/0	2189.0	3998.0
poiters	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	313	2398	206.0	206.0	206.0	0.205	0.205	0.205	183.0	GigabitEthernet0/0	2189.0	3998.0
besancon	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	478	2570	221.0	221.0	221.0	0.22	0.22	0.22	184.0	GigabitEthernet0/0	2189.0	3998.0
nice	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	560	3072	284.0	284.0	284.0	0.284	0.284	0.284	186.0	GigabitEthernet0/0	2189.0	3998.0
