srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	421	1923	239.0	239.0	239.0	0.238	0.238	0.238	236.0	GigabitEthernet0/0	2257.0	4135.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	515	2114	256.0	256.0	256.0	0.255	0.255	0.255	197.0	GigabitEthernet0/0	2257.0	4135.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	365	1415	211.0	211.0	211.0	0.209	0.209	0.209	193.0	GigabitEthernet0/0	2257.0	4135.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	556	2257	268.0	268.0	268.0	0.268	0.268	0.268	212.0	GigabitEthernet0/0	2257.0	4135.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	299	1429	194.0	194.0	194.0	0.193	0.193	0.193	197.0	GigabitEthernet0/0	2257.0	4135.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	309	1401	190.0	190.0	190.0	0.189	0.189	0.189	197.0	GigabitEthernet0/0	2257.0	4135.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	341	1375	206.0	206.0	206.0	0.205	0.205	0.205	192.0	GigabitEthernet0/0	2257.0	4135.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	437	2107	250.0	250.0	250.0	0.25	0.25	0.25	194.0	GigabitEthernet0/0	2257.0	4135.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	489	1743	226.0	226.0	226.0	0.226	0.226	0.226	204.0	GigabitEthernet0/0	2257.0	4135.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	541	1908	253.0	253.0	253.0	0.253	0.253	0.253	186.0	GigabitEthernet0/0	2257.0	4135.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	434	1622	237.0	237.0	237.0	0.235	0.235	0.235	189.0	GigabitEthernet0/0	2257.0	4135.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	378	1522	208.0	208.0	208.0	0.208	0.208	0.208	185.0	GigabitEthernet0/0	2257.0	4135.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	382	1767	231.0	231.0	231.0	0.231	0.231	0.231	195.0	GigabitEthernet0/0	2257.0	4135.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	396	1682	232.0	232.0	232.0	0.231	0.231	0.231	187.0	GigabitEthernet0/0	2257.0	4135.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	417	1556	214.0	214.0	214.0	0.213	0.213	0.213	195.0	GigabitEthernet0/0	2257.0	4135.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	361	1422	210.0	210.0	210.0	0.209	0.209	0.209	211.0	GigabitEthernet0/0	2257.0	4135.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	195	1000	155.0	155.0	155.0	0.154	0.154	0.154	203.0	GigabitEthernet0/0	2257.0	4135.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	159	914	151.0	151.0	151.0	0.151	0.151	0.151	197.0	GigabitEthernet0/0	2257.0	4135.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	536	1594	241.0	241.0	241.0	0.241	0.241	0.241	192.0	GigabitEthernet0/0	2257.0	4135.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	371	1440	196.0	196.0	196.0	0.195	0.195	0.195	204.0	GigabitEthernet0/0	2257.0	4135.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	530	2015	281.0	281.0	281.0	0.28	0.28	0.28	198.0	GigabitEthernet0/0	2257.0	4135.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	309	1330	203.0	203.0	203.0	0.203	0.203	0.203	189.0	GigabitEthernet0/0	2257.0	4135.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	307	1209	195.0	195.0	195.0	0.194	0.194	0.194	183.0	GigabitEthernet0/0	2257.0	4135.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	259	1360	185.0	185.0	185.0	0.185	0.185	0.185	188.0	GigabitEthernet0/0	2257.0	4135.0
clermontferrand	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	508	1838	274.0	274.0	274.0	0.273	0.273	0.273	182.0	GigabitEthernet0/0	2257.0	4135.0
nancy	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	378	1694	212.0	212.0	212.0	0.211	0.211	0.211	182.0	GigabitEthernet0/0	2257.0	4135.0
poiters	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	417	1621	175.0	175.0	175.0	0.174	0.174	0.174	202.0	GigabitEthernet0/0	2257.0	4135.0
grenoble	geant2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	345	1284	200.0	200.0	200.0	0.2	0.2	0.2	187.0	GigabitEthernet0/0	2257.0	4135.0
caen	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	228	1093	159.0	159.0	159.0	0.159	0.159	0.159	187.0	GigabitEthernet0/0	2257.0	4135.0
nantes	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	321	1396	194.0	194.0	194.0	0.193	0.193	0.193	182.0	GigabitEthernet0/0	2257.0	4135.0
orleans	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	482	1694	189.0	189.0	189.0	0.188	0.188	0.188	182.0	GigabitEthernet0/0	2257.0	4135.0
poiters	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	370	1681	209.0	209.0	209.0	0.208	0.208	0.208	183.0	GigabitEthernet0/0	2257.0	4135.0
besancon	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	435	1664	221.0	221.0	221.0	0.22	0.22	0.22	180.0	GigabitEthernet0/0	2257.0	4135.0
nice	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	470	2048	256.0	256.0	256.0	0.256	0.256	0.256	190.0	GigabitEthernet0/0	2257.0	4135.0
rouen	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	356	1810	225.0	225.0	225.0	0.224	0.224	0.224	187.0	GigabitEthernet0/0	2257.0	4135.0
sfinx	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	263	1631	184.0	184.0	184.0	0.184	0.184	0.184	189.0	GigabitEthernet0/0	2257.0	4135.0
strasbourg	montpellier	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	511	1962	263.0	263.0	263.0	0.262	0.262	0.262	185.0	GigabitEthernet0/0	2257.0	4135.0
nice	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	311	1227	200.0	200.0	200.0	0.199	0.199	0.199	184.0	GigabitEthernet0/0	2257.0	4135.0
lille	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	581	2360	264.0	264.0	264.0	0.264	0.264	0.264	210.0	GigabitEthernet0/0	2257.0	4135.0
corte	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	254	1096	168.0	168.0	168.0	0.168	0.168	0.168	187.0	GigabitEthernet0/0	2257.0	4135.0
marseille	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	186	1013	157.0	157.0	157.0	0.157	0.157	0.157	187.0	GigabitEthernet0/0	2257.0	4135.0
martiniquettguadeloupettcayenne	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	359	1528	215.0	215.0	215.0	0.214	0.214	0.214	180.0	GigabitEthernet0/0	2257.0	4135.0
caen	sfinx	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	406	1990	221.0	221.0	221.0	0.22	0.22	0.22	178.0	GigabitEthernet0/0	2257.0	4135.0
paris	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	528	2219	266.0	266.0	266.0	0.265	0.265	0.265	187.0	GigabitEthernet0/0	2257.0	4135.0
lille	reims	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	479	1977	252.0	252.0	252.0	0.251	0.251	0.251	181.0	GigabitEthernet0/0	2257.0	4135.0
paris	grenoble	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	371	1587	229.0	229.0	229.0	0.229	0.229	0.229	177.0	GigabitEthernet0/0	2257.0	4135.0
sfinx	dijon	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	368	1414	201.0	201.0	201.0	0.201	0.201	0.201	177.0	GigabitEthernet0/0	2257.0	4135.0
bordeaux	rennes	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	449	2111	241.0	241.0	241.0	0.24	0.24	0.24	179.0	GigabitEthernet0/0	2257.0	4135.0
orleans	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	506	2127	258.0	258.0	258.0	0.257	0.257	0.257	179.0	GigabitEthernet0/0	2257.0	4135.0
lattreunionttnouvellettcaledoniettmayottetttahiti	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	514	2134	255.0	255.0	255.0	0.254	0.254	0.254	181.0	GigabitEthernet0/0	2257.0	4135.0
