srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	953	3955	421.0	421.0	421.0	0.42	0.42	0.42	207.0	GigabitEthernet0/0	2257.0	4058.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	358	2233	227.0	227.0	227.0	0.226	0.226	0.226	195.0	GigabitEthernet0/0	2257.0	4058.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	165	1139	161.0	161.0	161.0	0.16	0.16	0.16	194.0	GigabitEthernet0/0	2257.0	4058.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	959	3599	373.0	373.0	373.0	0.372	0.372	0.372	207.0	GigabitEthernet0/0	2257.0	4058.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	214	1407	173.0	173.0	173.0	0.172	0.172	0.172	201.0	GigabitEthernet0/0	2257.0	4058.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	205	1553	174.0	174.0	174.0	0.173	0.173	0.173	189.0	GigabitEthernet0/0	2257.0	4058.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	594	2886	282.0	282.0	282.0	0.282	0.282	0.282	190.0	GigabitEthernet0/0	2257.0	4058.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	887	3412	362.0	362.0	362.0	0.362	0.362	0.362	185.0	GigabitEthernet0/0	2257.0	4058.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	108	1462	158.0	158.0	158.0	0.158	0.158	0.158	202.0	GigabitEthernet0/0	2257.0	4058.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	1237	4808	583.0	583.0	583.0	0.582	0.582	0.582	186.0	GigabitEthernet0/0	2257.0	4058.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	449	2308	259.0	259.0	259.0	0.259	0.259	0.259	191.0	GigabitEthernet0/0	2257.0	4058.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	456	1749	226.0	226.0	226.0	0.226	0.226	0.226	192.0	GigabitEthernet0/0	2257.0	4058.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	598	2695	298.0	298.0	298.0	0.298	0.298	0.298	192.0	GigabitEthernet0/0	2257.0	4058.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	603	2959	298.0	298.0	298.0	0.298	0.298	0.298	187.0	GigabitEthernet0/0	2257.0	4058.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	320	2010	206.0	206.0	206.0	0.206	0.206	0.206	194.0	GigabitEthernet0/0	2257.0	4058.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	317	2139	200.0	200.0	200.0	0.199	0.199	0.199	205.0	GigabitEthernet0/0	2257.0	4058.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	609	3353	308.0	308.0	308.0	0.308	0.308	0.308	210.0	GigabitEthernet0/0	2257.0	4058.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	646	2753	315.0	315.0	315.0	0.314	0.314	0.314	193.0	GigabitEthernet0/0	2257.0	4058.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	628	2627	289.0	289.0	289.0	0.288	0.288	0.288	188.0	GigabitEthernet0/0	2257.0	4058.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	439	2255	230.0	230.0	230.0	0.23	0.23	0.23	199.0	GigabitEthernet0/0	2257.0	4058.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	507	2666	280.0	280.0	280.0	0.28	0.28	0.28	187.0	GigabitEthernet0/0	2257.0	4058.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	1054	4056	448.0	448.0	448.0	0.447	0.447	0.447	189.0	GigabitEthernet0/0	2257.0	4058.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	879	3066	385.0	385.0	385.0	0.384	0.384	0.384	184.0	GigabitEthernet0/0	2257.0	4058.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	719	2523	323.0	323.0	323.0	0.322	0.322	0.322	186.0	GigabitEthernet0/0	2257.0	4058.0
