srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	0	11	117.0	117.0	117.0	0.116	0.116	0.116	208.0	GigabitEthernet0/0	2257.0	4058.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	47	114.0	114.0	114.0	0.113	0.113	0.113	203.0	GigabitEthernet0/0	2257.0	4058.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	0	47	111.0	111.0	111.0	0.11	0.11	0.11	195.0	GigabitEthernet0/0	2257.0	4058.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	516	1807	298.0	298.0	298.0	0.298	0.298	0.298	217.0	GigabitEthernet0/0	2257.0	4058.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	0	8	110.0	110.0	110.0	0.109	0.109	0.109	195.0	GigabitEthernet0/0	2257.0	4058.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	0	47	110.0	110.0	110.0	0.109	0.109	0.109	194.0	GigabitEthernet0/0	2257.0	4058.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	0	14	109.0	109.0	109.0	0.109	0.109	0.109	193.0	GigabitEthernet0/0	2257.0	4058.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	0	47	109.0	109.0	109.0	0.108	0.108	0.108	186.0	GigabitEthernet0/0	2257.0	4058.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	55	249	124.0	124.0	124.0	0.123	0.123	0.123	197.0	GigabitEthernet0/0	2257.0	4058.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	47	109.0	109.0	109.0	0.108	0.108	0.108	186.0	GigabitEthernet0/0	2257.0	4058.0
