srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	unsat	440	2124	234.0	234.0	234.0	0.233	0.233	0.233	199.0	GigabitEthernet0/0	2257.0	4135.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	370	1448	209.0	209.0	209.0	0.208	0.208	0.208	207.0	GigabitEthernet0/0	2257.0	4135.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	unsat	450	1670	220.0	220.0	220.0	0.22	0.22	0.22	196.0	GigabitEthernet0/0	2257.0	4135.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	550	1990	255.0	255.0	255.0	0.254	0.254	0.254	210.0	GigabitEthernet0/0	2257.0	4135.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	358	1446	206.0	206.0	206.0	0.205	0.205	0.205	197.0	GigabitEthernet0/0	2257.0	4135.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	464	2029	231.0	231.0	231.0	0.23	0.23	0.23	194.0	GigabitEthernet0/0	2257.0	4135.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	563	2271	276.0	276.0	276.0	0.276	0.276	0.276	190.0	GigabitEthernet0/0	2257.0	4135.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	452	1987	235.0	235.0	235.0	0.234	0.234	0.234	185.0	GigabitEthernet0/0	2257.0	4135.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	422	1755	214.0	214.0	214.0	0.212	0.212	0.212	202.0	GigabitEthernet0/0	2257.0	4135.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	499	2005	250.0	250.0	250.0	0.25	0.25	0.25	186.0	GigabitEthernet0/0	2257.0	4135.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	592	2190	285.0	285.0	285.0	0.284	0.284	0.284	190.0	GigabitEthernet0/0	2257.0	4135.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	344	1625	223.0	223.0	223.0	0.222	0.222	0.222	191.0	GigabitEthernet0/0	2257.0	4135.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	unsat	564	2213	268.0	268.0	268.0	0.267	0.267	0.267	192.0	GigabitEthernet0/0	2257.0	4135.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	446	1653	242.0	242.0	242.0	0.241	0.241	0.241	186.0	GigabitEthernet0/0	2257.0	4135.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	338	1379	210.0	210.0	210.0	0.209	0.209	0.209	194.0	GigabitEthernet0/0	2257.0	4135.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	453	2122	228.0	228.0	228.0	0.227	0.227	0.227	204.0	GigabitEthernet0/0	2257.0	4135.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	480	2084	243.0	243.0	243.0	0.242	0.242	0.242	202.0	GigabitEthernet0/0	2257.0	4135.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	347	1928	220.0	220.0	220.0	0.219	0.219	0.219	194.0	GigabitEthernet0/0	2257.0	4135.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	445	1922	240.0	240.0	240.0	0.24	0.24	0.24	190.0	GigabitEthernet0/0	2257.0	4135.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	433	2130	225.0	225.0	225.0	0.225	0.225	0.225	214.0	GigabitEthernet0/0	2257.0	4135.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	328	1642	203.0	203.0	203.0	0.202	0.202	0.202	184.0	GigabitEthernet0/0	2257.0	4135.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	552	2143	260.0	260.0	260.0	0.259	0.259	0.259	186.0	GigabitEthernet0/0	2257.0	4135.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	451	1913	250.0	250.0	250.0	0.249	0.249	0.249	183.0	GigabitEthernet0/0	2257.0	4135.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	401	1543	222.0	222.0	222.0	0.221	0.221	0.221	184.0	GigabitEthernet0/0	2257.0	4135.0
clermontferrand	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	576	2318	270.0	270.0	270.0	0.269	0.269	0.269	183.0	GigabitEthernet0/0	2257.0	4135.0
nancy	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	483	1856	215.0	215.0	215.0	0.214	0.214	0.214	186.0	GigabitEthernet0/0	2257.0	4135.0
poiters	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	20	68	94.0	94.0	94.0	0.094	0.094	0.094	185.0	GigabitEthernet0/0	2257.0	4135.0
grenoble	geant2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	448	1996	235.0	235.0	235.0	0.234	0.234	0.234	183.0	GigabitEthernet0/0	2257.0	4135.0
caen	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	657	2276	283.0	283.0	283.0	0.282	0.282	0.282	188.0	GigabitEthernet0/0	2257.0	4135.0
nantes	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	485	1775	237.0	237.0	237.0	0.237	0.237	0.237	188.0	GigabitEthernet0/0	2257.0	4135.0
orleans	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	23	68	95.0	95.0	95.0	0.094	0.094	0.094	188.0	GigabitEthernet0/0	2257.0	4135.0
poiters	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	372	1766	223.0	223.0	223.0	0.222	0.222	0.222	181.0	GigabitEthernet0/0	2257.0	4135.0
besancon	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	491	1848	223.0	223.0	223.0	0.223	0.223	0.223	180.0	GigabitEthernet0/0	2257.0	4135.0
nice	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	395	1658	222.0	222.0	222.0	0.221	0.221	0.221	188.0	GigabitEthernet0/0	2257.0	4135.0
rouen	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	303	1431	200.0	200.0	200.0	0.2	0.2	0.2	188.0	GigabitEthernet0/0	2257.0	4135.0
sfinx	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	582	2509	270.0	270.0	270.0	0.27	0.27	0.27	191.0	GigabitEthernet0/0	2257.0	4135.0
strasbourg	montpellier	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	394	1738	213.0	213.0	213.0	0.213	0.213	0.213	187.0	GigabitEthernet0/0	2257.0	4135.0
nice	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	unsat	435	1702	221.0	221.0	221.0	0.221	0.221	0.221	189.0	GigabitEthernet0/0	2257.0	4135.0
lille	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	297	1332	201.0	201.0	201.0	0.2	0.2	0.2	204.0	GigabitEthernet0/0	2257.0	4135.0
corte	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	317	1382	211.0	211.0	211.0	0.21	0.21	0.21	196.0	GigabitEthernet0/0	2257.0	4135.0
marseille	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	453	2046	216.0	216.0	216.0	0.215	0.215	0.215	187.0	GigabitEthernet0/0	2257.0	4135.0
martiniquettguadeloupettcayenne	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	421	1942	237.0	237.0	237.0	0.236	0.236	0.236	182.0	GigabitEthernet0/0	2257.0	4135.0
caen	sfinx	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	486	2109	247.0	247.0	247.0	0.247	0.247	0.247	178.0	GigabitEthernet0/0	2257.0	4135.0
paris	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	unsat	326	1345	198.0	198.0	198.0	0.197	0.197	0.197	180.0	GigabitEthernet0/0	2257.0	4135.0
lille	reims	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	447	2295	234.0	234.0	234.0	0.233	0.233	0.233	181.0	GigabitEthernet0/0	2257.0	4135.0
paris	grenoble	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	404	1845	221.0	221.0	221.0	0.221	0.221	0.221	182.0	GigabitEthernet0/0	2257.0	4135.0
sfinx	dijon	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	unsat	447	2035	229.0	229.0	229.0	0.228	0.228	0.228	178.0	GigabitEthernet0/0	2257.0	4135.0
bordeaux	rennes	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	432	1824	220.0	220.0	220.0	0.219	0.219	0.219	180.0	GigabitEthernet0/0	2257.0	4135.0
orleans	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	424	2070	254.0	254.0	254.0	0.253	0.253	0.253	179.0	GigabitEthernet0/0	2257.0	4135.0
