srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nancy	bordeaux	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	388	2353	213.0	213.0	213.0	0.212	0.212	0.212	204.0	GigabitEthernet0/0	2257.0	4058.0
nodeid13	strasbourg	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	225	2074	177.0	177.0	177.0	0.176	0.176	0.176	198.0	GigabitEthernet0/0	2257.0	4058.0
cadarache	rouen	IpWildcardIpSpace{ipWildcard=200.0.30.0/24}	sat	1159	3872	543.0	543.0	543.0	0.542	0.542	0.542	189.0	GigabitEthernet0/0	2257.0	4058.0
nodeid13	paris	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	1487	4421	613.0	613.0	613.0	0.612	0.612	0.612	207.0	GigabitEthernet0/0	2257.0	4058.0
cadarache	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	1227	3795	540.0	540.0	540.0	0.54	0.54	0.54	199.0	GigabitEthernet0/0	2257.0	4058.0
corte	compiegne	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	sat	514	2444	264.0	264.0	264.0	0.263	0.263	0.263	193.0	GigabitEthernet0/0	2257.0	4058.0
internetttmondial	clermontferrand	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	957	3138	413.0	413.0	413.0	0.412	0.412	0.412	195.0	GigabitEthernet0/0	2257.0	4058.0
grenoble	orleans	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	1626	4292	704.0	704.0	704.0	0.703	0.703	0.703	185.0	GigabitEthernet0/0	2257.0	4058.0
dijon	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	474	2578	242.0	242.0	242.0	0.241	0.241	0.241	200.0	GigabitEthernet0/0	2257.0	4058.0
internetttmondial	nancy	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	248	1822	206.0	206.0	206.0	0.205	0.205	0.205	186.0	GigabitEthernet0/0	2257.0	4058.0
peerclermontferrand0	pau	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	325	1981	210.0	210.0	210.0	0.209	0.209	0.209	189.0	GigabitEthernet0/0	2257.0	4058.0
pau	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	517	2495	261.0	261.0	261.0	0.261	0.261	0.261	186.0	GigabitEthernet0/0	2257.0	4058.0
pau	nodeid13	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	466	2662	237.0	237.0	237.0	0.236	0.236	0.236	194.0	GigabitEthernet0/0	2257.0	4058.0
geant2	lattreunionttnouvellettcaledoniettmayottetttahiti	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	1092	3353	466.0	466.0	466.0	0.465	0.465	0.465	186.0	GigabitEthernet0/0	2257.0	4058.0
peerclermontferrand0	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	124	981	148.0	148.0	148.0	0.147	0.147	0.147	197.0	GigabitEthernet0/0	2257.0	4058.0
rennes	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	1427	4369	598.0	598.0	598.0	0.598	0.598	0.598	209.0	GigabitEthernet0/0	2257.0	4058.0
bordeaux	poiters	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	1342	4073	571.0	571.0	571.0	0.571	0.571	0.571	202.0	GigabitEthernet0/0	2257.0	4058.0
rennes	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	308	1828	194.0	194.0	194.0	0.194	0.194	0.194	197.0	GigabitEthernet0/0	2257.0	4058.0
lyon	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	524	2629	246.0	246.0	246.0	0.245	0.245	0.245	187.0	GigabitEthernet0/0	2257.0	4058.0
geant2	lyon	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	647	3052	295.0	295.0	295.0	0.294	0.294	0.294	205.0	GigabitEthernet0/0	2257.0	4058.0
orleans	nantes	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	1201	3366	508.0	508.0	508.0	0.507	0.507	0.507	183.0	GigabitEthernet0/0	2257.0	4058.0
nancy	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	346	2262	208.0	208.0	208.0	0.207	0.207	0.207	191.0	GigabitEthernet0/0	2257.0	4058.0
compiegne	cadarache	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	504	2182	240.0	240.0	240.0	0.24	0.24	0.24	186.0	GigabitEthernet0/0	2257.0	4058.0
caen	toulouse	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	494	2448	266.0	266.0	266.0	0.265	0.265	0.265	191.0	GigabitEthernet0/0	2257.0	4058.0
clermontferrand	nice	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	1449	4723	637.0	637.0	637.0	0.636	0.636	0.636	183.0	GigabitEthernet0/0	2257.0	4058.0
nancy	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	964	3357	395.0	395.0	395.0	0.395	0.395	0.395	187.0	GigabitEthernet0/0	2257.0	4058.0
poiters	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	505	1988	247.0	247.0	247.0	0.247	0.247	0.247	192.0	GigabitEthernet0/0	2257.0	4058.0
grenoble	geant2	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	509	2528	247.0	247.0	247.0	0.247	0.247	0.247	184.0	GigabitEthernet0/0	2257.0	4058.0
caen	besancon	IpWildcardIpSpace{ipWildcard=200.0.0.0/24}	sat	845	2939	356.0	356.0	356.0	0.355	0.355	0.355	186.0	GigabitEthernet0/0	2257.0	4058.0
nantes	limoges	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	1818	4583	758.0	758.0	758.0	0.758	0.758	0.758	188.0	GigabitEthernet0/0	2257.0	4058.0
orleans	peerclermontferrand0	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	523	2813	257.0	257.0	257.0	0.257	0.257	0.257	181.0	GigabitEthernet0/0	2257.0	4058.0
poiters	cern	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	500	2001	219.0	219.0	219.0	0.219	0.219	0.219	180.0	GigabitEthernet0/0	2257.0	4058.0
besancon	internetttmondial	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	2061	4438	792.0	792.0	792.0	0.791	0.791	0.791	179.0	GigabitEthernet0/0	2257.0	4058.0
nice	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	1226	3893	558.0	558.0	558.0	0.557	0.557	0.557	190.0	GigabitEthernet0/0	2257.0	4058.0
rouen	marseille	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	514	2528	284.0	284.0	284.0	0.284	0.284	0.284	189.0	GigabitEthernet0/0	2257.0	4058.0
