srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	sat	91	3102	6641.0	6641.0	6641.0	6.641	6.641	6.641	3524.0	GigabitEthernet0/0	37825.0	69394.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	284	12317	10886.0	10886.0	10886.0	10.885	10.885	10.885	3487.0	GigabitEthernet0/0	37825.0	69394.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	sat	652	15976	10386.0	10386.0	10386.0	10.386	10.386	10.386	3649.0	GigabitEthernet0/0	37825.0	69394.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	45	2152	6938.0	6938.0	6938.0	6.937	6.937	6.937	3417.0	GigabitEthernet0/0	37825.0	69394.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	sat	54	2159	7593.0	7593.0	7593.0	7.593	7.593	7.593	3741.0	GigabitEthernet0/0	37825.0	69394.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	58	2587	6678.0	6678.0	6678.0	6.677	6.677	6.677	3842.0	GigabitEthernet0/0	37825.0	69394.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	83	4096	8343.0	8343.0	8343.0	8.342	8.342	8.342	3539.0	GigabitEthernet0/0	37825.0	69394.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	sat	344	10832	9459.0	9459.0	9459.0	9.458	9.458	9.458	3488.0	GigabitEthernet0/0	37825.0	69394.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	52	1619	6480.0	6480.0	6480.0	6.479	6.479	6.479	3458.0	GigabitEthernet0/0	37825.0	69394.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	sat	1010	35544	21033.0	21033.0	21033.0	21.033	21.033	21.033	3441.0	GigabitEthernet0/0	37825.0	69394.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	113	16883	11005.0	11005.0	11005.0	11.003	11.003	11.003	3415.0	GigabitEthernet0/0	37825.0	69394.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	79	3460	7550.0	7550.0	7550.0	7.549	7.549	7.549	3453.0	GigabitEthernet0/0	37825.0	69394.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	sat	75	4095	7684.0	7684.0	7684.0	7.683	7.683	7.683	3400.0	GigabitEthernet0/0	37825.0	69394.0
nantesidhg71	dortmund	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	54	2229	6702.0	6702.0	6702.0	6.702	6.702	6.702	3511.0	GigabitEthernet0/0	37825.0	69394.0
grenoble	palermo	IpWildcardIpSpace{ipWildcard=200.1.187.0/24}	sat	102	6850	8971.0	8971.0	8971.0	8.971	8.971	8.971	3558.0	GigabitEthernet0/0	37825.0	69394.0
southttcanaan	amsterdam	IpWildcardIpSpace{ipWildcard=200.0.22.0/24}	sat	172	5237	7625.0	7625.0	7625.0	7.624	7.624	7.624	3396.0	GigabitEthernet0/0	37825.0	69394.0
newttyork	ostend	IpWildcardIpSpace{ipWildcard=200.1.183.0/24}	sat	83	4464	7385.0	7385.0	7385.0	7.384	7.384	7.384	3756.0	GigabitEthernet0/0	37825.0	69394.0
nanded	odessa	IpWildcardIpSpace{ipWildcard=200.1.171.0/24}	sat	90	6042	8244.0	8244.0	8244.0	8.243	8.243	8.243	3907.0	GigabitEthernet0/0	37825.0	69394.0
panjim	gothenburg	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	216	5222	7503.0	7503.0	7503.0	7.502	7.502	7.502	3451.0	GigabitEthernet0/0	37825.0	69394.0
