srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	sat	295	11046	9317.0	9317.0	9317.0	9.316	9.316	9.316	3797.0	GigabitEthernet0/0	39067.0	71880.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	282	23174	12064.0	12064.0	12064.0	12.064	12.064	12.064	3452.0	GigabitEthernet0/0	39067.0	71880.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	sat	1319	35915	13055.0	13055.0	13055.0	13.054	13.054	13.054	3488.0	GigabitEthernet0/0	39067.0	71880.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	71	5139	7603.0	7603.0	7603.0	7.602	7.602	7.602	3458.0	GigabitEthernet0/0	39067.0	71880.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	sat	86	8795	9391.0	9391.0	9391.0	9.39	9.39	9.39	3808.0	GigabitEthernet0/0	39067.0	71880.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	56	2781	6616.0	6616.0	6616.0	6.614	6.614	6.614	3678.0	GigabitEthernet0/0	39067.0	71880.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	1542	41911	18646.0	18646.0	18646.0	18.646	18.646	18.646	3468.0	GigabitEthernet0/0	39067.0	71880.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	sat	422	19562	11511.0	11511.0	11511.0	11.51	11.51	11.51	3697.0	GigabitEthernet0/0	39067.0	71880.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	67	4182	7468.0	7468.0	7468.0	7.467	7.467	7.467	3545.0	GigabitEthernet0/0	39067.0	71880.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	sat	2150	49462	30719.0	30719.0	30719.0	30.719	30.719	30.719	3454.0	GigabitEthernet0/0	39067.0	71880.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	63917	789531	313856.0	313856.0	313856.0	313.855	313.855	313.855	3452.0	GigabitEthernet0/0	39067.0	71880.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	81	5997	9490.0	9490.0	9490.0	9.49	9.49	9.49	3808.0	GigabitEthernet0/0	39067.0	71880.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	sat	73	4737	7851.0	7851.0	7851.0	7.85	7.85	7.85	3371.0	GigabitEthernet0/0	39067.0	71880.0
