srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	sat	639	229992	30089.0	30089.0	30089.0	30.088	30.088	30.088	3649.0	GigabitEthernet0/0	39067.0	70497.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	sat	5287	899099	124788.0	124788.0	124788.0	124.787	124.787	124.787	3550.0	GigabitEthernet0/0	39067.0	70497.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	sat	1718	419926	39699.0	39699.0	39699.0	39.699	39.699	39.699	3537.0	GigabitEthernet0/0	39067.0	70497.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	sat	1331	491058	53075.0	53075.0	53075.0	53.075	53.075	53.075	3439.0	GigabitEthernet0/0	39067.0	70497.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	sat	1123	507426	56203.0	56203.0	56203.0	56.203	56.203	56.203	3496.0	GigabitEthernet0/0	39067.0	70497.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	sat	1544	601919	41458.0	41458.0	41458.0	41.457	41.457	41.457	3858.0	GigabitEthernet0/0	39067.0	70497.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	sat	689	269104	41649.0	41649.0	41649.0	41.647	41.647	41.647	3458.0	GigabitEthernet0/0	39067.0	70497.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	sat	1617	407328	52050.0	52050.0	52050.0	52.05	52.05	52.05	3850.0	GigabitEthernet0/0	39067.0	70497.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	sat	1017	402028	33182.0	33182.0	33182.0	33.181	33.181	33.181	3457.0	GigabitEthernet0/0	39067.0	70497.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	sat	12072	1446031	246489.0	246489.0	246489.0	246.489	246.489	246.489	3453.0	GigabitEthernet0/0	39067.0	70497.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	sat	165606	3847884	1117996.0	1117996.0	1117996.0	1117.995	1117.995	1117.995	3445.0	GigabitEthernet0/0	39067.0	70497.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	sat	1403	596575	59830.0	59830.0	59830.0	59.829	59.829	59.829	3395.0	GigabitEthernet0/0	39067.0	70497.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	sat	535	145039	20959.0	20959.0	20959.0	20.958	20.958	20.958	3860.0	GigabitEthernet0/0	39067.0	70497.0
nantesidhg71	dortmund	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	sat	1015	556680	48786.0	48786.0	48786.0	48.786	48.786	48.786	3632.0	GigabitEthernet0/0	39067.0	70497.0
grenoble	palermo	IpWildcardIpSpace{ipWildcard=200.1.187.0/24}	sat	679	152891	31963.0	31963.0	31963.0	31.962	31.962	31.962	3511.0	GigabitEthernet0/0	39067.0	70497.0
