srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
noida	margaretsville	IpWildcardIpSpace{ipWildcard=200.1.73.0/24}	unsat	61321	349183	235874.0	235874.0	235874.0	235.873	235.873	235.873	4018.0	GigabitEthernet0/0	39067.0	71880.0
valencia	chitradurg	IpWildcardIpSpace{ipWildcard=200.0.126.0/24}	unsat	55019	303659	179395.0	179395.0	179395.0	179.394	179.394	179.394	3552.0	GigabitEthernet0/0	39067.0	71880.0
miami	hadiagarh	IpWildcardIpSpace{ipWildcard=200.0.220.0/24}	unsat	67333	361642	286943.0	286943.0	286943.0	286.942	286.942	286.942	3785.0	GigabitEthernet0/0	39067.0	71880.0
salzburg	bharuch	IpWildcardIpSpace{ipWildcard=200.0.58.0/24}	unsat	52866	289270	184113.0	184113.0	184113.0	184.112	184.112	184.112	3467.0	GigabitEthernet0/0	39067.0	71880.0
wuppertal	minneapolis	IpWildcardIpSpace{ipWildcard=200.1.89.0/24}	unsat	63761	332562	262218.0	262218.0	262218.0	262.217	262.217	262.217	3476.0	GigabitEthernet0/0	39067.0	71880.0
queretaro	barcelona	IpWildcardIpSpace{ipWildcard=200.0.39.0/24}	unsat	70840	369033	256970.0	256970.0	256970.0	256.97	256.97	256.97	3661.0	GigabitEthernet0/0	39067.0	71880.0
rennesidhg72	birmingham	IpWildcardIpSpace{ipWildcard=200.0.67.0/24}	unsat	61287	302997	199204.0	199204.0	199204.0	199.203	199.203	199.203	3400.0	GigabitEthernet0/0	39067.0	71880.0
manchesteridhh99	newttyorkidhg158	IpWildcardIpSpace{ipWildcard=200.1.122.0/24}	unsat	66316	345977	254162.0	254162.0	254162.0	254.161	254.161	254.161	3647.0	GigabitEthernet0/0	39067.0	71880.0
newttyork	hoofddorp	IpWildcardIpSpace{ipWildcard=200.0.237.0/24}	unsat	56388	281228	189975.0	189975.0	189975.0	189.974	189.974	189.974	3508.0	GigabitEthernet0/0	39067.0	71880.0
bellowsttfalls	whitettplains	IpWildcardIpSpace{ipWildcard=200.2.98.0/24}	unsat	82874	362710	298922.0	298922.0	298922.0	298.922	298.922	298.922	3418.0	GigabitEthernet0/0	39067.0	71880.0
dusseldorf	santattclara	IpWildcardIpSpace{ipWildcard=200.2.5.0/24}	unsat	67649	356363	233039.0	233039.0	233039.0	233.038	233.038	233.038	3465.0	GigabitEthernet0/0	39067.0	71880.0
belgaum	olean	IpWildcardIpSpace{ipWildcard=200.1.175.0/24}	unsat	71668	382962	271122.0	271122.0	271122.0	271.121	271.121	271.121	3398.0	GigabitEthernet0/0	39067.0	71880.0
firenze	marseille	IpWildcardIpSpace{ipWildcard=200.1.74.0/24}	unsat	91136	372504	352769.0	352769.0	352769.0	352.768	352.768	352.768	3392.0	GigabitEthernet0/0	39067.0	71880.0
nantesidhg71	dortmund	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	unsat	75405	334537	233229.0	233229.0	233229.0	233.228	233.228	233.228	3526.0	GigabitEthernet0/0	39067.0	71880.0
grenoble	palermo	IpWildcardIpSpace{ipWildcard=200.1.187.0/24}	unsat	42646	265138	188722.0	188722.0	188722.0	188.722	188.722	188.722	3738.0	GigabitEthernet0/0	39067.0	71880.0
