srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	149	14968	2856.0	2856.0	2856.0	2.855	2.855	2.855	1304.0	GigabitEthernet0/0	22624.0	31226.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	90	7386	1853.0	1853.0	1853.0	1.852	1.852	1.852	1242.0	GigabitEthernet0/0	22624.0	31226.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	319	17914	2534.0	2534.0	2534.0	2.534	2.534	2.534	1193.0	GigabitEthernet0/0	22624.0	31226.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	94	8244	1906.0	1906.0	1906.0	1.905	1.905	1.905	1207.0	GigabitEthernet0/0	22624.0	31226.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	95	8402	2076.0	2076.0	2076.0	2.075	2.075	2.075	1127.0	GigabitEthernet0/0	22624.0	31226.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	99	6900	1895.0	1895.0	1895.0	1.894	1.894	1.894	1207.0	GigabitEthernet0/0	22624.0	31226.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	95	7688	1263.0	1263.0	1263.0	1.262	1.262	1.262	328.0	GigabitEthernet0/0	6704.0	15306.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	95	7373	1993.0	1993.0	1993.0	1.992	1.992	1.992	1126.0	GigabitEthernet0/0	22624.0	31226.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	162	16139	2790.0	2790.0	2790.0	2.789	2.789	2.789	1128.0	GigabitEthernet0/0	22624.0	31226.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	88	8402	2156.0	2156.0	2156.0	2.156	2.156	2.156	1127.0	GigabitEthernet0/0	22624.0	31226.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	172	15887	2407.0	2407.0	2407.0	2.406	2.406	2.406	1127.0	GigabitEthernet0/0	22624.0	31226.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	95	8498	2175.0	2175.0	2175.0	2.174	2.174	2.174	1130.0	GigabitEthernet0/0	22624.0	31226.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	149	18433	3458.0	3458.0	3458.0	3.457	3.457	3.457	1123.0	GigabitEthernet0/0	22624.0	31226.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	99	7563	2169.0	2169.0	2169.0	2.169	2.169	2.169	1114.0	GigabitEthernet0/0	22624.0	31226.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	87	8496	2196.0	2196.0	2196.0	2.196	2.196	2.196	1115.0	GigabitEthernet0/0	22624.0	31226.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	164	17002	2883.0	2883.0	2883.0	2.883	2.883	2.883	1122.0	GigabitEthernet0/0	22624.0	31226.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	291	36640	3959.0	3959.0	3959.0	3.959	3.959	3.959	1211.0	GigabitEthernet0/0	22624.0	31226.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	97	8111	2189.0	2189.0	2189.0	2.189	2.189	2.189	1232.0	GigabitEthernet0/0	22624.0	31226.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	211	16646	2917.0	2917.0	2917.0	2.916	2.916	2.916	1194.0	GigabitEthernet0/0	22624.0	31226.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	99	7659	1943.0	1943.0	1943.0	1.942	1.942	1.942	1115.0	GigabitEthernet0/0	22624.0	31226.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	104	5380	1844.0	1844.0	1844.0	1.844	1.844	1.844	1109.0	GigabitEthernet0/0	22624.0	31226.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	sat	276	27286	2840.0	2840.0	2840.0	2.839	2.839	2.839	1122.0	GigabitEthernet0/0	22624.0	31226.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	sat	227	14708	2376.0	2376.0	2376.0	2.375	2.375	2.375	1129.0	GigabitEthernet0/0	22624.0	31226.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	95	7709	2011.0	2011.0	2011.0	2.011	2.011	2.011	1106.0	GigabitEthernet0/0	22624.0	31226.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	sat	91	6786	2055.0	2055.0	2055.0	2.054	2.054	2.054	1116.0	GigabitEthernet0/0	22624.0	31226.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	90	7354	2066.0	2066.0	2066.0	2.065	2.065	2.065	1113.0	GigabitEthernet0/0	22624.0	31226.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	sat	96	8302	2078.0	2078.0	2078.0	2.078	2.078	2.078	1301.0	GigabitEthernet0/0	22624.0	31226.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	sat	95	7366	2017.0	2017.0	2017.0	2.016	2.016	2.016	1296.0	GigabitEthernet0/0	22624.0	31226.0
