srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	3781	21199	5405.0	5405.0	5405.0	5.404	5.404	5.404	1298.0	GigabitEthernet0/0	20624.0	29020.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	4158	23052	4962.0	4962.0	4962.0	4.961	4.961	4.961	1138.0	GigabitEthernet0/0	20624.0	29020.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	4512	25402	5553.0	5553.0	5553.0	5.552	5.552	5.552	1126.0	GigabitEthernet0/0	20624.0	29020.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	5024	22095	6383.0	6383.0	6383.0	6.382	6.382	6.382	1110.0	GigabitEthernet0/0	20624.0	29020.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	5525	27121	8003.0	8003.0	8003.0	8.003	8.003	8.003	1067.0	GigabitEthernet0/0	20624.0	29020.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	4379	25220	5235.0	5235.0	5235.0	5.234	5.234	5.234	1068.0	GigabitEthernet0/0	20624.0	29020.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	4525	25139	4908.0	4908.0	4908.0	4.907	4.907	4.907	300.0	GigabitEthernet0/0	6304.0	14700.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	4554	26174	5815.0	5815.0	5815.0	5.814	5.814	5.814	1073.0	GigabitEthernet0/0	20624.0	29020.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	4091	21289	5333.0	5333.0	5333.0	5.333	5.333	5.333	1062.0	GigabitEthernet0/0	20624.0	29020.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	4033	20609	5825.0	5825.0	5825.0	5.824	5.824	5.824	1059.0	GigabitEthernet0/0	20624.0	29020.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	4895	24925	5928.0	5928.0	5928.0	5.928	5.928	5.928	1081.0	GigabitEthernet0/0	20624.0	29020.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	5600	27929	7033.0	7033.0	7033.0	7.033	7.033	7.033	1075.0	GigabitEthernet0/0	20624.0	29020.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	5556	26113	7777.0	7777.0	7777.0	7.776	7.776	7.776	1071.0	GigabitEthernet0/0	20624.0	29020.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	sat	4002	21325	4589.0	4589.0	4589.0	4.588	4.588	4.588	1051.0	GigabitEthernet0/0	20624.0	29020.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	4298	21327	5690.0	5690.0	5690.0	5.69	5.69	5.69	1059.0	GigabitEthernet0/0	20624.0	29020.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	sat	4381	20944	6234.0	6234.0	6234.0	6.233	6.233	6.233	1052.0	GigabitEthernet0/0	20624.0	29020.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	sat	4548	23308	5233.0	5233.0	5233.0	5.232	5.232	5.232	1134.0	GigabitEthernet0/0	20624.0	29020.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	sat	4015	20566	5147.0	5147.0	5147.0	5.146	5.146	5.146	1141.0	GigabitEthernet0/0	20624.0	29020.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	sat	3674	19153	5015.0	5015.0	5015.0	5.014	5.014	5.014	1131.0	GigabitEthernet0/0	20624.0	29020.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	4150	20986	4659.0	4659.0	4659.0	4.659	4.659	4.659	1235.0	GigabitEthernet0/0	20624.0	29020.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	sat	4665	25360	5797.0	5797.0	5797.0	5.796	5.796	5.796	1047.0	GigabitEthernet0/0	20624.0	29020.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	sat	4500	21630	5360.0	5360.0	5360.0	5.36	5.36	5.36	1062.0	GigabitEthernet0/0	20624.0	29020.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	sat	4204	25040	4904.0	4904.0	4904.0	4.903	4.903	4.903	1057.0	GigabitEthernet0/0	20624.0	29020.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	3807	20878	4799.0	4799.0	4799.0	4.799	4.799	4.799	1047.0	GigabitEthernet0/0	20624.0	29020.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	sat	4867	26910	6349.0	6349.0	6349.0	6.348	6.348	6.348	1177.0	GigabitEthernet0/0	20624.0	29020.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	5319	26170	6651.0	6651.0	6651.0	6.65	6.65	6.65	1043.0	GigabitEthernet0/0	20624.0	29020.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	sat	4579	24015	6097.0	6097.0	6097.0	6.097	6.097	6.097	1164.0	GigabitEthernet0/0	20624.0	29020.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	sat	4356	22161	5786.0	5786.0	5786.0	5.786	5.786	5.786	1128.0	GigabitEthernet0/0	20624.0	29020.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	sat	4650	23758	6020.0	6020.0	6020.0	6.019	6.019	6.019	1088.0	GigabitEthernet0/0	20624.0	29020.0
willacoochee	kingsport	IpWildcardIpSpace{ipWildcard=200.4.227.0/24}	sat	4216	24299	5560.0	5560.0	5560.0	5.56	5.56	5.56	1070.0	GigabitEthernet0/0	20624.0	29020.0
tifton	lancaster	IpWildcardIpSpace{ipWildcard=200.4.171.0/24}	sat	4215	19712	4660.0	4660.0	4660.0	4.66	4.66	4.66	1057.0	GigabitEthernet0/0	20624.0	29020.0
myrtlettbeach	waycross	IpWildcardIpSpace{ipWildcard=200.5.9.0/24}	sat	4770	21833	6730.0	6730.0	6730.0	6.73	6.73	6.73	1066.0	GigabitEthernet0/0	20624.0	29020.0
winterttpark	carlisle	IpWildcardIpSpace{ipWildcard=200.4.224.0/24}	sat	4338	21168	6118.0	6118.0	6118.0	6.117	6.117	6.117	1063.0	GigabitEthernet0/0	20624.0	29020.0
peerchristiansburg5	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	3590	21744	4976.0	4976.0	4976.0	4.975	4.975	4.975	1056.0	GigabitEthernet0/0	20624.0	29020.0
wytheville	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	sat	4129	21609	5703.0	5703.0	5703.0	5.702	5.702	5.702	1054.0	GigabitEthernet0/0	20624.0	29020.0
peerblairsville2	omega	IpWildcardIpSpace{ipWildcard=200.4.192.0/24}	sat	4649	22829	6312.0	6312.0	6312.0	6.311	6.311	6.311	1147.0	GigabitEthernet0/0	20624.0	29020.0
martinsburg	baldwin	IpWildcardIpSpace{ipWildcard=200.5.27.0/24}	sat	4040	20648	5558.0	5558.0	5558.0	5.557	5.557	5.557	1154.0	GigabitEthernet0/0	20624.0	29020.0
columbia	youngttharris	IpWildcardIpSpace{ipWildcard=200.4.132.0/24}	sat	4312	24444	5929.0	5929.0	5929.0	5.928	5.928	5.928	1192.0	GigabitEthernet0/0	20624.0	29020.0
hinesville	lynchburg	IpWildcardIpSpace{ipWildcard=200.5.33.0/24}	sat	4127	18259	5409.0	5409.0	5409.0	5.408	5.408	5.408	1066.0	GigabitEthernet0/0	20624.0	29020.0
charlotte	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	sat	4502	20504	5415.0	5415.0	5415.0	5.414	5.414	5.414	1055.0	GigabitEthernet0/0	20624.0	29020.0
blitchton	macon	IpWildcardIpSpace{ipWildcard=200.4.201.0/24}	sat	4640	26130	6225.0	6225.0	6225.0	6.225	6.225	6.225	1073.0	GigabitEthernet0/0	20624.0	29020.0
charlottesville	peerchester4	IpWildcardIpSpace{ipWildcard=200.4.134.0/24}	sat	4289	22291	5932.0	5932.0	5932.0	5.931	5.931	5.931	1142.0	GigabitEthernet0/0	20624.0	29020.0
leesburgid143	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	4185	22044	5037.0	5037.0	5037.0	5.036	5.036	5.036	1146.0	GigabitEthernet0/0	20624.0	29020.0
blueridge	columbus	IpWildcardIpSpace{ipWildcard=200.4.167.0/24}	sat	4200	22634	5748.0	5748.0	5748.0	5.747	5.747	5.747	1058.0	GigabitEthernet0/0	20624.0	29020.0
tallahassee	blitchton	IpWildcardIpSpace{ipWildcard=200.4.136.0/24}	sat	4528	21372	5645.0	5645.0	5645.0	5.644	5.644	5.644	1070.0	GigabitEthernet0/0	20624.0	29020.0
kinston	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	4708	20655	7198.0	7198.0	7198.0	7.197	7.197	7.197	1058.0	GigabitEthernet0/0	20624.0	29020.0
peerkingsport9	hiltontthead	IpWildcardIpSpace{ipWildcard=200.4.144.0/24}	sat	4264	21063	5661.0	5661.0	5661.0	5.66	5.66	5.66	1064.0	GigabitEthernet0/0	20624.0	29020.0
walterboro	peerdouglas6	IpWildcardIpSpace{ipWildcard=200.4.239.0/24}	sat	4741	24994	6769.0	6769.0	6769.0	6.769	6.769	6.769	1068.0	GigabitEthernet0/0	20624.0	29020.0
nodeid84	peerjacksonvilleid58	IpWildcardIpSpace{ipWildcard=200.4.184.0/24}	sat	3607	19311	5366.0	5366.0	5366.0	5.366	5.366	5.366	1062.0	GigabitEthernet0/0	20624.0	29020.0
charlottesville	hinesville	IpWildcardIpSpace{ipWildcard=200.4.128.0/24}	sat	4552	25862	5941.0	5941.0	5941.0	5.94	5.94	5.94	1065.0	GigabitEthernet0/0	20624.0	29020.0
