srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	sat	14245	145589	24106.0	24106.0	24106.0	24.105	24.105	24.105	1324.0	GigabitEthernet0/0	22624.0	31226.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	sat	14083	142902	21210.0	21210.0	21210.0	21.208	21.208	21.208	1454.0	GigabitEthernet0/0	22624.0	31226.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	sat	17092	154946	22132.0	22132.0	22132.0	22.131	22.131	22.131	1173.0	GigabitEthernet0/0	22624.0	31226.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	sat	18639	154748	23213.0	23213.0	23213.0	23.212	23.212	23.212	1170.0	GigabitEthernet0/0	22624.0	31226.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	13809	131963	17995.0	17995.0	17995.0	17.994	17.994	17.994	1137.0	GigabitEthernet0/0	22624.0	31226.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	sat	21719	171139	28699.0	28699.0	28699.0	28.698	28.698	28.698	1127.0	GigabitEthernet0/0	22624.0	31226.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	sat	13697	152388	18825.0	18825.0	18825.0	18.824	18.824	18.824	321.0	GigabitEthernet0/0	6704.0	15306.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	sat	12649	124141	16950.0	16950.0	16950.0	16.949	16.949	16.949	1189.0	GigabitEthernet0/0	22624.0	31226.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	sat	18543	170111	27613.0	27613.0	27613.0	27.613	27.613	27.613	1127.0	GigabitEthernet0/0	22624.0	31226.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	sat	10236	106119	15071.0	15071.0	15071.0	15.07	15.07	15.07	1119.0	GigabitEthernet0/0	22624.0	31226.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	sat	21273	202316	33297.0	33297.0	33297.0	33.296	33.296	33.296	1109.0	GigabitEthernet0/0	22624.0	31226.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	sat	13013	133801	20384.0	20384.0	20384.0	20.383	20.383	20.383	1119.0	GigabitEthernet0/0	22624.0	31226.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	sat	14817	164735	23090.0	23090.0	23090.0	23.09	23.09	23.09	1126.0	GigabitEthernet0/0	22624.0	31226.0
