srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
herndon	huntington	IpWildcardIpSpace{ipWildcard=200.4.254.0/24}	unsat	4394	22474	6065.0	6065.0	6065.0	6.065	6.065	6.065	1337.0	GigabitEthernet0/0	20624.0	29020.0
franklin	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	unsat	4259	20449	5132.0	5132.0	5132.0	5.131	5.131	5.131	1302.0	GigabitEthernet0/0	20624.0	29020.0
fortttmyers	yemassee	IpWildcardIpSpace{ipWildcard=200.5.4.0/24}	unsat	4737	26043	5812.0	5812.0	5812.0	5.811	5.811	5.811	1233.0	GigabitEthernet0/0	20624.0	29020.0
stephensttcity	montgomery	IpWildcardIpSpace{ipWildcard=200.4.225.0/24}	unsat	5374	25554	6424.0	6424.0	6424.0	6.423	6.423	6.423	1139.0	GigabitEthernet0/0	20624.0	29020.0
danville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	unsat	4819	23080	6298.0	6298.0	6298.0	6.297	6.297	6.297	1094.0	GigabitEthernet0/0	20624.0	29020.0
chamersburg	ocala	IpWildcardIpSpace{ipWildcard=200.4.150.0/24}	unsat	4267	24894	5491.0	5491.0	5491.0	5.49	5.49	5.49	1071.0	GigabitEthernet0/0	20624.0	29020.0
birmingham	martinsville	IpWildcardIpSpace{ipWildcard=200.4.148.0/24}	unsat	4752	26942	5512.0	5512.0	5512.0	5.511	5.511	5.511	276.0	GigabitEthernet0/0	6304.0	14700.0
marion	blueridge	IpWildcardIpSpace{ipWildcard=200.5.13.0/24}	unsat	4792	23082	5858.0	5858.0	5858.0	5.858	5.858	5.858	1226.0	GigabitEthernet0/0	20624.0	29020.0
leesburg	peerfayetteville7	IpWildcardIpSpace{ipWildcard=200.4.208.0/24}	unsat	3628	18579	4922.0	4922.0	4922.0	4.921	4.921	4.921	1068.0	GigabitEthernet0/0	20624.0	29020.0
burlington	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	unsat	4272	21253	5553.0	5553.0	5553.0	5.552	5.552	5.552	1100.0	GigabitEthernet0/0	20624.0	29020.0
dalton	highttpoint	IpWildcardIpSpace{ipWildcard=200.4.212.0/24}	unsat	5025	21983	5842.0	5842.0	5842.0	5.841	5.841	5.841	1075.0	GigabitEthernet0/0	20624.0	29020.0
hawkinsville	crestview	IpWildcardIpSpace{ipWildcard=200.4.143.0/24}	unsat	4736	24781	6665.0	6665.0	6665.0	6.665	6.665	6.665	1059.0	GigabitEthernet0/0	20624.0	29020.0
blacksburg	chamersburg	IpWildcardIpSpace{ipWildcard=200.4.244.0/24}	unsat	4611	22312	6242.0	6242.0	6242.0	6.242	6.242	6.242	1060.0	GigabitEthernet0/0	20624.0	29020.0
panamattcity	abingdon	IpWildcardIpSpace{ipWildcard=200.4.206.0/24}	unsat	3872	22241	4951.0	4951.0	4951.0	4.95	4.95	4.95	1068.0	GigabitEthernet0/0	20624.0	29020.0
leesburgid143	lexington	IpWildcardIpSpace{ipWildcard=200.4.154.0/24}	unsat	4549	24196	5795.0	5795.0	5795.0	5.794	5.794	5.794	1073.0	GigabitEthernet0/0	20624.0	29020.0
highttpoint	hickorytttavern	IpWildcardIpSpace{ipWildcard=200.5.18.0/24}	unsat	5438	24893	7022.0	7022.0	7022.0	7.022	7.022	7.022	1139.0	GigabitEthernet0/0	20624.0	29020.0
peeralbany0	edinburg	IpWildcardIpSpace{ipWildcard=200.4.238.0/24}	unsat	4771	22010	6148.0	6148.0	6148.0	6.147	6.147	6.147	1099.0	GigabitEthernet0/0	20624.0	29020.0
toccoa	blacksburg	IpWildcardIpSpace{ipWildcard=200.4.152.0/24}	unsat	4167	21590	6016.0	6016.0	6016.0	6.015	6.015	6.015	1067.0	GigabitEthernet0/0	20624.0	29020.0
durham	christiansburg	IpWildcardIpSpace{ipWildcard=200.4.159.0/24}	unsat	5138	21320	6912.0	6912.0	6912.0	6.912	6.912	6.912	1070.0	GigabitEthernet0/0	20624.0	29020.0
durham	salisbury	IpWildcardIpSpace{ipWildcard=200.5.40.0/24}	unsat	4347	22218	5517.0	5517.0	5517.0	5.516	5.516	5.516	1049.0	GigabitEthernet0/0	20624.0	29020.0
easley	jacksonvilleid5	IpWildcardIpSpace{ipWildcard=200.4.186.0/24}	unsat	4420	23145	5965.0	5965.0	5965.0	5.963	5.963	5.963	1086.0	GigabitEthernet0/0	20624.0	29020.0
atlanta	greenvilleid16	IpWildcardIpSpace{ipWildcard=200.5.17.0/24}	unsat	4730	22631	6569.0	6569.0	6569.0	6.569	6.569	6.569	1061.0	GigabitEthernet0/0	20624.0	29020.0
blitchton	kinston	IpWildcardIpSpace{ipWildcard=200.4.145.0/24}	unsat	5686	26927	7381.0	7381.0	7381.0	7.379	7.379	7.379	1065.0	GigabitEthernet0/0	20624.0	29020.0
martinsburg	danville	IpWildcardIpSpace{ipWildcard=200.5.24.0/24}	unsat	4111	21230	5413.0	5413.0	5413.0	5.412	5.412	5.412	1082.0	GigabitEthernet0/0	20624.0	29020.0
aiken	douglas	IpWildcardIpSpace{ipWildcard=200.4.138.0/24}	unsat	5550	22555	7416.0	7416.0	7416.0	7.415	7.415	7.415	1066.0	GigabitEthernet0/0	20624.0	29020.0
sparta	lakettcity	IpWildcardIpSpace{ipWildcard=200.4.230.0/24}	unsat	5111	22640	6477.0	6477.0	6477.0	6.477	6.477	6.477	1171.0	GigabitEthernet0/0	20624.0	29020.0
savannah	spartanburg	IpWildcardIpSpace{ipWildcard=200.4.160.0/24}	unsat	5190	23514	6511.0	6511.0	6511.0	6.51	6.51	6.51	1161.0	GigabitEthernet0/0	20624.0	29020.0
highttpoint	durham	IpWildcardIpSpace{ipWildcard=200.4.207.0/24}	unsat	3272	17865	4814.0	4814.0	4814.0	4.813	4.813	4.813	1137.0	GigabitEthernet0/0	20624.0	29020.0
mobile	rockyttmountid11	IpWildcardIpSpace{ipWildcard=200.4.226.0/24}	unsat	4538	22266	6083.0	6083.0	6083.0	6.082	6.082	6.082	1073.0	GigabitEthernet0/0	20624.0	29020.0
