srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	3	42	84.0	84.0	84.0	0.083	0.083	0.083	89.0	GigabitEthernet0/0	1426.0	3341.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	104	480	122.0	122.0	122.0	0.122	0.122	0.122	81.0	GigabitEthernet0/0	1426.0	3341.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	2	52	87.0	87.0	87.0	0.086	0.086	0.086	82.0	GigabitEthernet0/0	1426.0	3341.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	3	49	86.0	86.0	86.0	0.085	0.085	0.085	80.0	GigabitEthernet0/0	1426.0	3341.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	2	45	84.0	84.0	84.0	0.084	0.084	0.084	78.0	GigabitEthernet0/0	1426.0	3341.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	2	61	83.0	83.0	83.0	0.082	0.082	0.082	84.0	GigabitEthernet0/0	1426.0	3341.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	2	45	84.0	84.0	84.0	0.083	0.083	0.083	77.0	GigabitEthernet0/0	1426.0	3341.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	11	153	87.0	87.0	87.0	0.086	0.086	0.086	81.0	GigabitEthernet0/0	1426.0	3341.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	3	49	84.0	84.0	84.0	0.083	0.083	0.083	83.0	GigabitEthernet0/0	1426.0	3341.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	4	70	85.0	85.0	85.0	0.084	0.084	0.084	77.0	GigabitEthernet0/0	1426.0	3341.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	102	384	130.0	130.0	130.0	0.129	0.129	0.129	80.0	GigabitEthernet0/0	1426.0	3341.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	4	56	86.0	86.0	86.0	0.085	0.085	0.085	78.0	GigabitEthernet0/0	1426.0	3341.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	3	41	89.0	89.0	89.0	0.088	0.088	0.088	88.0	GigabitEthernet0/0	1426.0	3341.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	11	113	84.0	84.0	84.0	0.084	0.084	0.084	114.0	GigabitEthernet0/0	1426.0	3341.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	4	41	83.0	83.0	83.0	0.082	0.082	0.082	76.0	GigabitEthernet0/0	1426.0	3341.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	3	59	83.0	83.0	83.0	0.082	0.082	0.082	92.0	GigabitEthernet0/0	1426.0	3341.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	8	80	85.0	85.0	85.0	0.085	0.085	0.085	75.0	GigabitEthernet0/0	1426.0	3341.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	3	45	84.0	84.0	84.0	0.083	0.083	0.083	77.0	GigabitEthernet0/0	1426.0	3341.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	2	42	84.0	84.0	84.0	0.083	0.083	0.083	75.0	GigabitEthernet0/0	1426.0	3341.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	11	113	89.0	89.0	89.0	0.088	0.088	0.088	77.0	GigabitEthernet0/0	1426.0	3341.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	4	48	84.0	84.0	84.0	0.083	0.083	0.083	79.0	GigabitEthernet0/0	1426.0	3341.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	102	384	134.0	134.0	134.0	0.133	0.133	0.133	79.0	GigabitEthernet0/0	1426.0	3341.0
postojna	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	0	31	86.0	86.0	86.0	0.085	0.085	0.085	77.0	GigabitEthernet0/0	1426.0	3341.0
portoroz	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	3	45	84.0	84.0	84.0	0.084	0.084	0.084	77.0	GigabitEthernet0/0	1426.0	3341.0
maribor	murskattsobota	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	4	52	87.0	87.0	87.0	0.086	0.086	0.086	76.0	GigabitEthernet0/0	1426.0	3341.0
lasko	kovevje	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	5	69	85.0	85.0	85.0	0.084	0.084	0.084	75.0	GigabitEthernet0/0	1426.0	3341.0
senozece	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	11	153	92.0	92.0	92.0	0.091	0.091	0.091	80.0	GigabitEthernet0/0	1426.0	3341.0
rogasjattslatina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	102	384	130.0	130.0	130.0	0.129	0.129	0.129	71.0	GigabitEthernet0/0	1426.0	3341.0
koper	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	3	45	84.0	84.0	84.0	0.083	0.083	0.083	79.0	GigabitEthernet0/0	1426.0	3341.0
slovenjttgradec	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	109	705	131.0	131.0	131.0	0.13	0.13	0.13	72.0	GigabitEthernet0/0	1426.0	3341.0
kamnik	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	2	41	85.0	85.0	85.0	0.083	0.083	0.083	78.0	GigabitEthernet0/0	1426.0	3341.0
ajdovscina	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	2	41	85.0	85.0	85.0	0.084	0.084	0.084	79.0	GigabitEthernet0/0	1426.0	3341.0
tolmin	kranj	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	4	47	86.0	86.0	86.0	0.086	0.086	0.086	77.0	GigabitEthernet0/0	1426.0	3341.0
ajdovscina	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	0	31	85.0	85.0	85.0	0.084	0.084	0.084	73.0	GigabitEthernet0/0	1426.0	3341.0
kranj	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	3	42	85.0	85.0	85.0	0.085	0.085	0.085	78.0	GigabitEthernet0/0	1426.0	3341.0
ajdovscina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	102	384	132.0	132.0	132.0	0.131	0.131	0.131	73.0	GigabitEthernet0/0	1426.0	3341.0
kranj	peerljutomer0	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	101	419	126.0	126.0	126.0	0.125	0.125	0.125	71.0	GigabitEthernet0/0	1426.0	3341.0
kranj	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	2	42	85.0	85.0	85.0	0.084	0.084	0.084	77.0	GigabitEthernet0/0	1426.0	3341.0
velenje	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	2	42	85.0	85.0	85.0	0.084	0.084	0.084	75.0	GigabitEthernet0/0	1426.0	3341.0
bled	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	3	42	84.0	84.0	84.0	0.083	0.083	0.083	83.0	GigabitEthernet0/0	1426.0	3341.0
rogasjattslatina	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	2	61	83.0	83.0	83.0	0.082	0.082	0.082	78.0	GigabitEthernet0/0	1426.0	3341.0
velenje	bled	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	5	45	91.0	91.0	91.0	0.09	0.09	0.09	78.0	GigabitEthernet0/0	1426.0	3341.0
lasko	radenci	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	5	63	85.0	85.0	85.0	0.084	0.084	0.084	72.0	GigabitEthernet0/0	1426.0	3341.0
celje	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	109	705	126.0	126.0	126.0	0.125	0.125	0.125	71.0	GigabitEthernet0/0	1426.0	3341.0
portoroz	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	4	56	89.0	89.0	89.0	0.088	0.088	0.088	72.0	GigabitEthernet0/0	1426.0	3341.0
novattgorica	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	109	705	129.0	129.0	129.0	0.128	0.128	0.128	70.0	GigabitEthernet0/0	1426.0	3341.0
radenci	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	8	80	85.0	85.0	85.0	0.084	0.084	0.084	76.0	GigabitEthernet0/0	1426.0	3341.0
slovenskattbistrica	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	2	52	86.0	86.0	86.0	0.085	0.085	0.085	75.0	GigabitEthernet0/0	1426.0	3341.0
slovenjttgradec	postojna	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	sat	4	47	85.0	85.0	85.0	0.085	0.085	0.085	74.0	GigabitEthernet0/0	1426.0	3341.0
ravnettnattkoroskem	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	4	48	84.0	84.0	84.0	0.083	0.083	0.083	74.0	GigabitEthernet0/0	1426.0	3341.0
