srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	1	48	94.0	94.0	94.0	0.093	0.093	0.093	199.0	GigabitEthernet0/0	1496.0	3483.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	112	474	125.0	125.0	125.0	0.125	0.125	0.125	79.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	4	73	94.0	94.0	94.0	0.093	0.093	0.093	83.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	5	78	94.0	94.0	94.0	0.093	0.093	0.093	79.0	GigabitEthernet0/0	1496.0	3483.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	2	64	97.0	97.0	97.0	0.096	0.096	0.096	78.0	GigabitEthernet0/0	1496.0	3483.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	2	62	91.0	91.0	91.0	0.09	0.09	0.09	85.0	GigabitEthernet0/0	1496.0	3483.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	1	50	92.0	92.0	92.0	0.091	0.091	0.091	78.0	GigabitEthernet0/0	1496.0	3483.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	10	172	98.0	98.0	98.0	0.097	0.097	0.097	83.0	GigabitEthernet0/0	1496.0	3483.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	5	81	98.0	98.0	98.0	0.097	0.097	0.097	77.0	GigabitEthernet0/0	1496.0	3483.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	4	72	92.0	92.0	92.0	0.091	0.091	0.091	76.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	104	400	132.0	132.0	132.0	0.132	0.132	0.132	76.0	GigabitEthernet0/0	1496.0	3483.0
