srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	698	2003	242.0	242.0	242.0	0.241	0.241	0.241	118.0	GigabitEthernet0/0	1496.0	3483.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	552	2382	231.0	231.0	231.0	0.231	0.231	0.231	80.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	684	2243	290.0	290.0	290.0	0.289	0.289	0.289	82.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	760	2148	275.0	275.0	275.0	0.275	0.275	0.275	78.0	GigabitEthernet0/0	1496.0	3483.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	641	2373	264.0	264.0	264.0	0.264	0.264	0.264	84.0	GigabitEthernet0/0	1496.0	3483.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	261	1312	145.0	145.0	145.0	0.145	0.145	0.145	85.0	GigabitEthernet0/0	1496.0	3483.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	314	1223	163.0	163.0	163.0	0.162	0.162	0.162	77.0	GigabitEthernet0/0	1496.0	3483.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	658	2137	245.0	245.0	245.0	0.244	0.244	0.244	82.0	GigabitEthernet0/0	1496.0	3483.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	556	1940	230.0	230.0	230.0	0.229	0.229	0.229	79.0	GigabitEthernet0/0	1496.0	3483.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	628	2046	245.0	245.0	245.0	0.244	0.244	0.244	76.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	654	2572	265.0	265.0	265.0	0.264	0.264	0.264	74.0	GigabitEthernet0/0	1496.0	3483.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	705	2399	275.0	275.0	275.0	0.274	0.274	0.274	89.0	GigabitEthernet0/0	1496.0	3483.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	305	1297	151.0	151.0	151.0	0.149	0.149	0.149	82.0	GigabitEthernet0/0	1496.0	3483.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	530	1680	221.0	221.0	221.0	0.22	0.22	0.22	97.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	894	3160	301.0	301.0	301.0	0.301	0.301	0.301	77.0	GigabitEthernet0/0	1496.0	3483.0
