srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	414	1392	222.0	222.0	222.0	0.221	0.221	0.221	91.0	GigabitEthernet0/0	1496.0	3483.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	629	2142	263.0	263.0	263.0	0.262	0.262	0.262	79.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	567	1696	259.0	259.0	259.0	0.258	0.258	0.258	82.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	475	1659	247.0	247.0	247.0	0.246	0.246	0.246	81.0	GigabitEthernet0/0	1496.0	3483.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	367	1585	234.0	234.0	234.0	0.234	0.234	0.234	78.0	GigabitEthernet0/0	1496.0	3483.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	395	1343	223.0	223.0	223.0	0.223	0.223	0.223	85.0	GigabitEthernet0/0	1496.0	3483.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	364	1395	199.0	199.0	199.0	0.199	0.199	0.199	96.0	GigabitEthernet0/0	1496.0	3483.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	568	2469	269.0	269.0	269.0	0.268	0.268	0.268	81.0	GigabitEthernet0/0	1496.0	3483.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	566	1925	272.0	272.0	272.0	0.272	0.272	0.272	78.0	GigabitEthernet0/0	1496.0	3483.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	442	1361	248.0	248.0	248.0	0.248	0.248	0.248	75.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	579	1572	262.0	262.0	262.0	0.262	0.262	0.262	73.0	GigabitEthernet0/0	1496.0	3483.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	469	1988	256.0	256.0	256.0	0.256	0.256	0.256	78.0	GigabitEthernet0/0	1496.0	3483.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	unsat	636	2306	269.0	269.0	269.0	0.268	0.268	0.268	84.0	GigabitEthernet0/0	1496.0	3483.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	770	2537	310.0	310.0	310.0	0.31	0.31	0.31	80.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	438	1748	230.0	230.0	230.0	0.23	0.23	0.23	77.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	433	1500	217.0	217.0	217.0	0.216	0.216	0.216	88.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	580	2585	277.0	277.0	277.0	0.277	0.277	0.277	74.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	555	1666	250.0	250.0	250.0	0.25	0.25	0.25	80.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	524	1655	248.0	248.0	248.0	0.247	0.247	0.247	75.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	659	2401	292.0	292.0	292.0	0.291	0.291	0.291	77.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	356	1789	242.0	242.0	242.0	0.241	0.241	0.241	75.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	692	1885	286.0	286.0	286.0	0.286	0.286	0.286	73.0	GigabitEthernet0/0	1496.0	3483.0
postojna	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	624	2231	324.0	324.0	324.0	0.324	0.324	0.324	79.0	GigabitEthernet0/0	1496.0	3483.0
portoroz	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	373	1550	226.0	226.0	226.0	0.226	0.226	0.226	79.0	GigabitEthernet0/0	1496.0	3483.0
maribor	murskattsobota	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	449	1330	238.0	238.0	238.0	0.238	0.238	0.238	73.0	GigabitEthernet0/0	1496.0	3483.0
lasko	kovevje	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	463	1893	244.0	244.0	244.0	0.244	0.244	0.244	74.0	GigabitEthernet0/0	1496.0	3483.0
senozece	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	557	2291	265.0	265.0	265.0	0.264	0.264	0.264	76.0	GigabitEthernet0/0	1496.0	3483.0
rogasjattslatina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	583	1837	255.0	255.0	255.0	0.254	0.254	0.254	72.0	GigabitEthernet0/0	1496.0	3483.0
koper	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	348	1104	217.0	217.0	217.0	0.217	0.217	0.217	79.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	474	1864	246.0	246.0	246.0	0.245	0.245	0.245	72.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	297	1183	187.0	187.0	187.0	0.187	0.187	0.187	80.0	GigabitEthernet0/0	1496.0	3483.0
ajdovscina	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	491	1849	230.0	230.0	230.0	0.23	0.23	0.23	78.0	GigabitEthernet0/0	1496.0	3483.0
tolmin	kranj	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	456	2079	243.0	243.0	243.0	0.242	0.242	0.242	77.0	GigabitEthernet0/0	1496.0	3483.0
ajdovscina	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	631	2386	318.0	318.0	318.0	0.317	0.317	0.317	73.0	GigabitEthernet0/0	1496.0	3483.0
