srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	24699	36440	6873.0	6873.0	6873.0	6.873	6.873	6.873	89.0	GigabitEthernet0/0	1496.0	3401.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	sat	0	52	96.0	96.0	96.0	0.095	0.095	0.095	84.0	GigabitEthernet0/0	1496.0	3401.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	sat	0	8	92.0	92.0	92.0	0.091	0.091	0.091	83.0	GigabitEthernet0/0	1496.0	3401.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	0	51	94.0	94.0	94.0	0.093	0.093	0.093	79.0	GigabitEthernet0/0	1496.0	3401.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	sat	0	51	95.0	95.0	95.0	0.094	0.094	0.094	78.0	GigabitEthernet0/0	1496.0	3401.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	90	566	119.0	119.0	119.0	0.118	0.118	0.118	84.0	GigabitEthernet0/0	1496.0	3401.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	sat	0	51	92.0	92.0	92.0	0.091	0.091	0.091	77.0	GigabitEthernet0/0	1496.0	3401.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	6731	14750	2176.0	2176.0	2176.0	2.175	2.175	2.175	81.0	GigabitEthernet0/0	1496.0	3401.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	sat	0	51	90.0	90.0	90.0	0.09	0.09	0.09	83.0	GigabitEthernet0/0	1496.0	3401.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	0	51	91.0	91.0	91.0	0.09	0.09	0.09	76.0	GigabitEthernet0/0	1496.0	3401.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	0	51	93.0	93.0	93.0	0.092	0.092	0.092	81.0	GigabitEthernet0/0	1496.0	3401.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	0	51	92.0	92.0	92.0	0.091	0.091	0.091	80.0	GigabitEthernet0/0	1496.0	3401.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	sat	0	51	91.0	91.0	91.0	0.091	0.091	0.091	82.0	GigabitEthernet0/0	1496.0	3401.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	721	2956	311.0	311.0	311.0	0.31	0.31	0.31	97.0	GigabitEthernet0/0	1496.0	3401.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	sat	0	51	90.0	90.0	90.0	0.089	0.089	0.089	78.0	GigabitEthernet0/0	1496.0	3401.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	53	269	105.0	105.0	105.0	0.105	0.105	0.105	88.0	GigabitEthernet0/0	1496.0	3401.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	sat	0	9	90.0	90.0	90.0	0.09	0.09	0.09	81.0	GigabitEthernet0/0	1496.0	3401.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	7103	12213	1845.0	1845.0	1845.0	1.844	1.844	1.844	78.0	GigabitEthernet0/0	1496.0	3401.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	0	10	91.0	91.0	91.0	0.091	0.091	0.091	78.0	GigabitEthernet0/0	1496.0	3401.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	sat	539	2558	295.0	295.0	295.0	0.295	0.295	0.295	78.0	GigabitEthernet0/0	1496.0	3401.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	sat	0	12	91.0	91.0	91.0	0.09	0.09	0.09	74.0	GigabitEthernet0/0	1496.0	3401.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	0	51	93.0	93.0	93.0	0.092	0.092	0.092	76.0	GigabitEthernet0/0	1496.0	3401.0
postojna	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	0	51	92.0	92.0	92.0	0.091	0.091	0.091	77.0	GigabitEthernet0/0	1496.0	3401.0
portoroz	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	sat	300	1020	186.0	186.0	186.0	0.185	0.185	0.185	78.0	GigabitEthernet0/0	1496.0	3401.0
maribor	murskattsobota	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	sat	0	51	91.0	91.0	91.0	0.09	0.09	0.09	73.0	GigabitEthernet0/0	1496.0	3401.0
lasko	kovevje	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	sat	0	51	95.0	95.0	95.0	0.094	0.094	0.094	76.0	GigabitEthernet0/0	1496.0	3401.0
senozece	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	sat	3956	8751	1163.0	1163.0	1163.0	1.163	1.163	1.163	76.0	GigabitEthernet0/0	1496.0	3401.0
rogasjattslatina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	0	51	94.0	94.0	94.0	0.093	0.093	0.093	71.0	GigabitEthernet0/0	1496.0	3401.0
koper	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	19145	30001	5833.0	5833.0	5833.0	5.832	5.832	5.832	79.0	GigabitEthernet0/0	1496.0	3401.0
slovenjttgradec	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	0	52	93.0	93.0	93.0	0.092	0.092	0.092	72.0	GigabitEthernet0/0	1496.0	3401.0
kamnik	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	234	879	184.0	184.0	184.0	0.183	0.183	0.183	79.0	GigabitEthernet0/0	1496.0	3401.0
ajdovscina	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	sat	2705	6906	925.0	925.0	925.0	0.924	0.924	0.924	76.0	GigabitEthernet0/0	1496.0	3401.0
tolmin	kranj	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	sat	0	14	92.0	92.0	92.0	0.091	0.091	0.091	77.0	GigabitEthernet0/0	1496.0	3401.0
ajdovscina	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	sat	0	51	93.0	93.0	93.0	0.092	0.092	0.092	73.0	GigabitEthernet0/0	1496.0	3401.0
kranj	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	7788	12968	2305.0	2305.0	2305.0	2.304	2.304	2.304	77.0	GigabitEthernet0/0	1496.0	3401.0
ajdovscina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	sat	0	51	91.0	91.0	91.0	0.091	0.091	0.091	75.0	GigabitEthernet0/0	1496.0	3401.0
kranj	peerljutomer0	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	sat	0	51	90.0	90.0	90.0	0.09	0.09	0.09	73.0	GigabitEthernet0/0	1496.0	3401.0
kranj	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	0	10	91.0	91.0	91.0	0.09	0.09	0.09	79.0	GigabitEthernet0/0	1496.0	3401.0
velenje	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	sat	0	10	92.0	92.0	92.0	0.091	0.091	0.091	74.0	GigabitEthernet0/0	1496.0	3401.0
bled	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	7851	12970	2159.0	2159.0	2159.0	2.158	2.158	2.158	80.0	GigabitEthernet0/0	1496.0	3401.0
rogasjattslatina	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	sat	645	2300	374.0	374.0	374.0	0.373	0.373	0.373	80.0	GigabitEthernet0/0	1496.0	3401.0
velenje	bled	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	sat	0	51	91.0	91.0	91.0	0.09	0.09	0.09	72.0	GigabitEthernet0/0	1496.0	3401.0
lasko	radenci	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	sat	0	51	90.0	90.0	90.0	0.09	0.09	0.09	72.0	GigabitEthernet0/0	1496.0	3401.0
celje	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	sat	0	51	92.0	92.0	92.0	0.09	0.09	0.09	71.0	GigabitEthernet0/0	1496.0	3401.0
