srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
ljubljana	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	603	1998	234.0	234.0	234.0	0.233	0.233	0.233	90.0	GigabitEthernet0/0	1496.0	3483.0
dravograd	jesenice	IpWildcardIpSpace{ipWildcard=200.0.7.0/24}	unsat	666	2137	251.0	251.0	251.0	0.25	0.25	0.25	78.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	ljutomer	IpWildcardIpSpace{ipWildcard=200.0.15.0/24}	unsat	699	2425	263.0	263.0	263.0	0.262	0.262	0.262	83.0	GigabitEthernet0/0	1496.0	3483.0
kovevje	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	736	2419	271.0	271.0	271.0	0.27	0.27	0.27	81.0	GigabitEthernet0/0	1496.0	3483.0
ljutomer	gornjattradgona	IpWildcardIpSpace{ipWildcard=200.0.5.0/24}	unsat	498	1988	213.0	213.0	213.0	0.212	0.212	0.212	77.0	GigabitEthernet0/0	1496.0	3483.0
radenci	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	705	2865	295.0	295.0	295.0	0.294	0.294	0.294	84.0	GigabitEthernet0/0	1496.0	3483.0
celje	slovenskattbistrica	IpWildcardIpSpace{ipWildcard=200.0.31.0/24}	unsat	718	1901	245.0	245.0	245.0	0.245	0.245	0.245	82.0	GigabitEthernet0/0	1496.0	3483.0
izola	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	684	2172	251.0	251.0	251.0	0.25	0.25	0.25	81.0	GigabitEthernet0/0	1496.0	3483.0
bled	rogasjattslatina	IpWildcardIpSpace{ipWildcard=200.0.27.0/24}	unsat	647	2542	257.0	257.0	257.0	0.256	0.256	0.256	85.0	GigabitEthernet0/0	1496.0	3483.0
ptuj	ormoz	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	unsat	573	2281	229.0	229.0	229.0	0.229	0.229	0.229	77.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	617	2023	235.0	235.0	235.0	0.235	0.235	0.235	81.0	GigabitEthernet0/0	1496.0	3483.0
tolmin	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	670	2715	261.0	261.0	261.0	0.261	0.261	0.261	82.0	GigabitEthernet0/0	1496.0	3483.0
murskattsobota	kamnik	IpWildcardIpSpace{ipWildcard=200.0.8.0/24}	unsat	645	2189	252.0	252.0	252.0	0.252	0.252	0.252	81.0	GigabitEthernet0/0	1496.0	3483.0
divaca	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	522	1615	220.0	220.0	220.0	0.22	0.22	0.22	82.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	tolmin	IpWildcardIpSpace{ipWildcard=200.0.32.0/24}	unsat	747	2842	285.0	285.0	285.0	0.284	0.284	0.284	79.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	ljubljana	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	unsat	564	1948	218.0	218.0	218.0	0.217	0.217	0.217	89.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	693	2463	246.0	246.0	246.0	0.245	0.245	0.245	76.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	696	2291	261.0	261.0	261.0	0.261	0.261	0.261	77.0	GigabitEthernet0/0	1496.0	3483.0
ljubljana	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	736	2627	261.0	261.0	261.0	0.26	0.26	0.26	79.0	GigabitEthernet0/0	1496.0	3483.0
jesenice	dravograd	IpWildcardIpSpace{ipWildcard=200.0.4.0/24}	unsat	528	2088	243.0	243.0	243.0	0.242	0.242	0.242	78.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ptuj	IpWildcardIpSpace{ipWildcard=200.0.24.0/24}	unsat	586	2219	246.0	246.0	246.0	0.245	0.245	0.245	76.0	GigabitEthernet0/0	1496.0	3483.0
slovenskattbistrica	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	748	2862	287.0	287.0	287.0	0.285	0.285	0.285	77.0	GigabitEthernet0/0	1496.0	3483.0
postojna	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	698	1826	257.0	257.0	257.0	0.256	0.256	0.256	79.0	GigabitEthernet0/0	1496.0	3483.0
portoroz	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	565	2297	232.0	232.0	232.0	0.232	0.232	0.232	79.0	GigabitEthernet0/0	1496.0	3483.0
maribor	murskattsobota	IpWildcardIpSpace{ipWildcard=200.0.17.0/24}	unsat	654	2040	278.0	278.0	278.0	0.277	0.277	0.277	74.0	GigabitEthernet0/0	1496.0	3483.0
lasko	kovevje	IpWildcardIpSpace{ipWildcard=200.0.10.0/24}	unsat	761	2409	270.0	270.0	270.0	0.269	0.269	0.269	82.0	GigabitEthernet0/0	1496.0	3483.0
senozece	lasko	IpWildcardIpSpace{ipWildcard=200.0.13.0/24}	unsat	593	1946	230.0	230.0	230.0	0.229	0.229	0.229	77.0	GigabitEthernet0/0	1496.0	3483.0
rogasjattslatina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	593	2239	258.0	258.0	258.0	0.258	0.258	0.258	73.0	GigabitEthernet0/0	1496.0	3483.0
koper	divaca	IpWildcardIpSpace{ipWildcard=200.0.3.0/24}	unsat	584	1929	214.0	214.0	214.0	0.213	0.213	0.213	78.0	GigabitEthernet0/0	1496.0	3483.0
slovenjttgradec	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	625	1588	289.0	289.0	289.0	0.289	0.289	0.289	73.0	GigabitEthernet0/0	1496.0	3483.0
kamnik	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	556	2173	226.0	226.0	226.0	0.226	0.226	0.226	77.0	GigabitEthernet0/0	1496.0	3483.0
ajdovscina	celje	IpWildcardIpSpace{ipWildcard=200.0.2.0/24}	unsat	691	2285	253.0	253.0	253.0	0.252	0.252	0.252	77.0	GigabitEthernet0/0	1496.0	3483.0
tolmin	kranj	IpWildcardIpSpace{ipWildcard=200.0.11.0/24}	unsat	670	2316	251.0	251.0	251.0	0.25	0.25	0.25	77.0	GigabitEthernet0/0	1496.0	3483.0
ajdovscina	krsko	IpWildcardIpSpace{ipWildcard=200.0.12.0/24}	unsat	693	2073	251.0	251.0	251.0	0.251	0.251	0.251	75.0	GigabitEthernet0/0	1496.0	3483.0
kranj	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	597	2000	239.0	239.0	239.0	0.238	0.238	0.238	77.0	GigabitEthernet0/0	1496.0	3483.0
ajdovscina	sezana	IpWildcardIpSpace{ipWildcard=200.0.29.0/24}	unsat	587	2238	236.0	236.0	236.0	0.236	0.236	0.236	75.0	GigabitEthernet0/0	1496.0	3483.0
kranj	peerljutomer0	IpWildcardIpSpace{ipWildcard=200.0.21.0/24}	unsat	567	1593	219.0	219.0	219.0	0.219	0.219	0.219	71.0	GigabitEthernet0/0	1496.0	3483.0
kranj	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	705	2273	243.0	243.0	243.0	0.243	0.243	0.243	77.0	GigabitEthernet0/0	1496.0	3483.0
velenje	senozece	IpWildcardIpSpace{ipWildcard=200.0.28.0/24}	unsat	785	3067	285.0	285.0	285.0	0.285	0.285	0.285	76.0	GigabitEthernet0/0	1496.0	3483.0
bled	koper	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	unsat	609	2391	229.0	229.0	229.0	0.228	0.228	0.228	85.0	GigabitEthernet0/0	1496.0	3483.0
rogasjattslatina	maribor	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	713	2751	272.0	272.0	272.0	0.271	0.271	0.271	80.0	GigabitEthernet0/0	1496.0	3483.0
velenje	bled	IpWildcardIpSpace{ipWildcard=200.0.1.0/24}	unsat	687	2384	258.0	258.0	258.0	0.257	0.257	0.257	72.0	GigabitEthernet0/0	1496.0	3483.0
lasko	radenci	IpWildcardIpSpace{ipWildcard=200.0.25.0/24}	unsat	647	2122	244.0	244.0	244.0	0.244	0.244	0.244	72.0	GigabitEthernet0/0	1496.0	3483.0
celje	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	728	2511	278.0	278.0	278.0	0.278	0.278	0.278	87.0	GigabitEthernet0/0	1496.0	3483.0
portoroz	novottmesto	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	unsat	626	2438	264.0	264.0	264.0	0.264	0.264	0.264	74.0	GigabitEthernet0/0	1496.0	3483.0
novattgorica	ravnettnattkoroskem	IpWildcardIpSpace{ipWildcard=200.0.26.0/24}	unsat	557	1693	233.0	233.0	233.0	0.232	0.232	0.232	71.0	GigabitEthernet0/0	1496.0	3483.0
radenci	novattgorica	IpWildcardIpSpace{ipWildcard=200.0.18.0/24}	unsat	665	2285	268.0	268.0	268.0	0.267	0.267	0.267	75.0	GigabitEthernet0/0	1496.0	3483.0
