srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	13	67	133.0	133.0	133.0	0.132	0.132	0.132	140.0	GigabitEthernet0/0	1912.0	4449.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	sat	35	224	137.0	137.0	137.0	0.137	0.137	0.137	135.0	GigabitEthernet0/0	1912.0	4449.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	6	44	116.0	116.0	116.0	0.116	0.116	0.116	110.0	GigabitEthernet0/0	1912.0	4449.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	11	77	115.0	115.0	115.0	0.115	0.115	0.115	101.0	GigabitEthernet0/0	1912.0	4449.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	9	83	115.0	115.0	115.0	0.115	0.115	0.115	100.0	GigabitEthernet0/0	1912.0	4449.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	102	466	173.0	173.0	173.0	0.172	0.172	0.172	100.0	GigabitEthernet0/0	1912.0	4449.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	69	400	149.0	149.0	149.0	0.148	0.148	0.148	103.0	GigabitEthernet0/0	1912.0	4449.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	8	98	138.0	138.0	138.0	0.137	0.137	0.137	133.0	GigabitEthernet0/0	1912.0	4449.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	102	466	192.0	192.0	192.0	0.191	0.191	0.191	123.0	GigabitEthernet0/0	1912.0	4449.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	sat	255	785	264.0	264.0	264.0	0.263	0.263	0.263	128.0	GigabitEthernet0/0	1912.0	4449.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	7	69	122.0	122.0	122.0	0.121	0.121	0.121	115.0	GigabitEthernet0/0	1912.0	4449.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	4	46	119.0	119.0	119.0	0.118	0.118	0.118	112.0	GigabitEthernet0/0	1912.0	4449.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	sat	7	57	132.0	132.0	132.0	0.131	0.131	0.131	125.0	GigabitEthernet0/0	1912.0	4449.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	108	560	185.0	185.0	185.0	0.184	0.184	0.184	101.0	GigabitEthernet0/0	1912.0	4449.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	sat	5	36	127.0	127.0	127.0	0.126	0.126	0.126	108.0	GigabitEthernet0/0	1912.0	4449.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	sat	9	87	136.0	136.0	136.0	0.135	0.135	0.135	111.0	GigabitEthernet0/0	1912.0	4449.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	3	40	112.0	112.0	112.0	0.112	0.112	0.112	104.0	GigabitEthernet0/0	1912.0	4449.0
istanbul	rotterdam	IpWildcardIpSpace{ipWildcard=200.1.42.0/24}	sat	35	185	139.0	139.0	139.0	0.138	0.138	0.138	119.0	GigabitEthernet0/0	1912.0	4449.0
barcelona	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	5	53	115.0	115.0	115.0	0.114	0.114	0.114	102.0	GigabitEthernet0/0	1912.0	4449.0
peerbasel2	warsaw	IpWildcardIpSpace{ipWildcard=200.1.67.0/24}	sat	5	53	117.0	117.0	117.0	0.116	0.116	0.116	108.0	GigabitEthernet0/0	1912.0	4449.0
frankfurt	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	3	40	113.0	113.0	113.0	0.112	0.112	0.112	107.0	GigabitEthernet0/0	1912.0	4449.0
peeramsterdam0	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	8	98	127.0	127.0	127.0	0.127	0.127	0.127	100.0	GigabitEthernet0/0	1912.0	4449.0
athens	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	4	48	127.0	127.0	127.0	0.126	0.126	0.126	108.0	GigabitEthernet0/0	1912.0	4449.0
strasbourg	geneva	IpWildcardIpSpace{ipWildcard=200.1.58.0/24}	sat	4	48	132.0	132.0	132.0	0.132	0.132	0.132	106.0	GigabitEthernet0/0	1912.0	4449.0
peerbrussels5	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	7	69	120.0	120.0	120.0	0.12	0.12	0.12	106.0	GigabitEthernet0/0	1912.0	4449.0
istanbul	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	3	40	112.0	112.0	112.0	0.112	0.112	0.112	103.0	GigabitEthernet0/0	1912.0	4449.0
strasbourg	peerstrasbourg15	IpWildcardIpSpace{ipWildcard=200.1.63.0/24}	sat	9	89	117.0	117.0	117.0	0.117	0.117	0.117	94.0	GigabitEthernet0/0	1912.0	4449.0
budapest	bucharest	IpWildcardIpSpace{ipWildcard=200.1.36.0/24}	sat	12	82	124.0	124.0	124.0	0.123	0.123	0.123	105.0	GigabitEthernet0/0	1912.0	4449.0
peerbrussels5	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	sat	108	453	173.0	173.0	173.0	0.172	0.172	0.172	95.0	GigabitEthernet0/0	1912.0	4449.0
peerbrussels4	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	sat	3	39	115.0	115.0	115.0	0.114	0.114	0.114	103.0	GigabitEthernet0/0	1912.0	4449.0
lyon	kiev	IpWildcardIpSpace{ipWildcard=200.1.34.0/24}	sat	4	42	128.0	128.0	128.0	0.127	0.127	0.127	99.0	GigabitEthernet0/0	1912.0	4449.0
rotterdam	sofia	IpWildcardIpSpace{ipWildcard=200.1.65.0/24}	sat	3	39	120.0	120.0	120.0	0.12	0.12	0.12	98.0	GigabitEthernet0/0	1912.0	4449.0
budapest	lisbon	IpWildcardIpSpace{ipWildcard=200.1.32.0/24}	sat	108	453	174.0	174.0	174.0	0.173	0.173	0.173	99.0	GigabitEthernet0/0	1912.0	4449.0
