srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	1513	7467	710.0	710.0	710.0	0.709	0.709	0.709	125.0	GigabitEthernet0/0	2086.0	4724.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	sat	1024	4797	534.0	534.0	534.0	0.533	0.533	0.533	135.0	GigabitEthernet0/0	2086.0	4724.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	3053	9533	1234.0	1234.0	1234.0	1.233	1.233	1.233	112.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	2779	7540	1139.0	1139.0	1139.0	1.137	1.137	1.137	112.0	GigabitEthernet0/0	2086.0	4724.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	1690	6782	728.0	728.0	728.0	0.727	0.727	0.727	104.0	GigabitEthernet0/0	2086.0	4724.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	1870	7144	811.0	811.0	811.0	0.81	0.81	0.81	105.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	2330	8351	1027.0	1027.0	1027.0	1.026	1.026	1.026	111.0	GigabitEthernet0/0	2086.0	4724.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	1020	5113	466.0	466.0	466.0	0.465	0.465	0.465	102.0	GigabitEthernet0/0	2086.0	4724.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	3844	10341	1727.0	1727.0	1727.0	1.727	1.727	1.727	115.0	GigabitEthernet0/0	2086.0	4724.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	sat	1526	5958	784.0	784.0	784.0	0.783	0.783	0.783	123.0	GigabitEthernet0/0	2086.0	4724.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	2757	8794	1249.0	1249.0	1249.0	1.249	1.249	1.249	115.0	GigabitEthernet0/0	2086.0	4724.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	sat	2756	8584	1320.0	1320.0	1320.0	1.319	1.319	1.319	110.0	GigabitEthernet0/0	2086.0	4724.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	sat	1611	6430	843.0	843.0	843.0	0.841	0.841	0.841	127.0	GigabitEthernet0/0	2086.0	4724.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	sat	2354	8417	1054.0	1054.0	1054.0	1.053	1.053	1.053	117.0	GigabitEthernet0/0	2086.0	4724.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	sat	2983	10083	1296.0	1296.0	1296.0	1.295	1.295	1.295	108.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels6	peergeneva8	IpWildcardIpSpace{ipWildcard=200.1.55.0/24}	sat	2170	8114	976.0	976.0	976.0	0.974	0.974	0.974	112.0	GigabitEthernet0/0	2086.0	4724.0
peerstrasbourg15	zurich	IpWildcardIpSpace{ipWildcard=200.1.66.0/24}	sat	2774	8049	1331.0	1331.0	1331.0	1.33	1.33	1.33	106.0	GigabitEthernet0/0	2086.0	4724.0
