srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	unsat	1251	4371	575.0	575.0	575.0	0.575	0.575	0.575	123.0	GigabitEthernet0/0	2010.0	4662.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	unsat	1091	3618	514.0	514.0	514.0	0.514	0.514	0.514	134.0	GigabitEthernet0/0	2010.0	4662.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	unsat	1258	4431	559.0	559.0	559.0	0.559	0.559	0.559	109.0	GigabitEthernet0/0	2010.0	4662.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	unsat	1048	3340	447.0	447.0	447.0	0.447	0.447	0.447	101.0	GigabitEthernet0/0	2010.0	4662.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	unsat	1440	4252	592.0	592.0	592.0	0.591	0.591	0.591	104.0	GigabitEthernet0/0	2010.0	4662.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	954	3175	440.0	440.0	440.0	0.44	0.44	0.44	104.0	GigabitEthernet0/0	2010.0	4662.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	unsat	1158	3897	461.0	461.0	461.0	0.46	0.46	0.46	100.0	GigabitEthernet0/0	2010.0	4662.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	unsat	1165	3535	577.0	577.0	577.0	0.577	0.577	0.577	119.0	GigabitEthernet0/0	2010.0	4662.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	unsat	1014	3438	480.0	480.0	480.0	0.479	0.479	0.479	128.0	GigabitEthernet0/0	2010.0	4662.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	unsat	1171	3621	504.0	504.0	504.0	0.503	0.503	0.503	121.0	GigabitEthernet0/0	2010.0	4662.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	unsat	1013	3433	444.0	444.0	444.0	0.443	0.443	0.443	111.0	GigabitEthernet0/0	2010.0	4662.0
strasbourg	bratislava	IpWildcardIpSpace{ipWildcard=200.1.44.0/24}	unsat	1150	4498	508.0	508.0	508.0	0.507	0.507	0.507	108.0	GigabitEthernet0/0	2010.0	4662.0
peeristanbul10	marseille	IpWildcardIpSpace{ipWildcard=200.1.50.0/24}	unsat	1276	4486	625.0	625.0	625.0	0.624	0.624	0.624	123.0	GigabitEthernet0/0	2010.0	4662.0
luxembourg	dublin	IpWildcardIpSpace{ipWildcard=200.1.52.0/24}	unsat	1122	3891	492.0	492.0	492.0	0.492	0.492	0.492	97.0	GigabitEthernet0/0	2010.0	4662.0
paris	basel	IpWildcardIpSpace{ipWildcard=200.1.25.0/24}	unsat	939	3691	442.0	442.0	442.0	0.441	0.441	0.441	108.0	GigabitEthernet0/0	2010.0	4662.0
