srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
praha	barcelona	IpWildcardIpSpace{ipWildcard=200.1.35.0/24}	sat	4957	12457	2667.0	2667.0	2667.0	2.666	2.666	2.666	173.0	GigabitEthernet0/0	2086.0	4724.0
brussels	peerbrussels4	IpWildcardIpSpace{ipWildcard=200.1.28.0/24}	sat	667	4339	408.0	408.0	408.0	0.408	0.408	0.408	136.0	GigabitEthernet0/0	2086.0	4724.0
peerbarcelona1	peerbasel2	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	1480	7159	689.0	689.0	689.0	0.688	0.688	0.688	112.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels5	peermilan14	IpWildcardIpSpace{ipWildcard=200.1.62.0/24}	sat	2287	7880	1044.0	1044.0	1044.0	1.044	1.044	1.044	110.0	GigabitEthernet0/0	2086.0	4724.0
peerbasel3	peergeneva9	IpWildcardIpSpace{ipWildcard=200.1.54.0/24}	sat	40	273	132.0	132.0	132.0	0.132	0.132	0.132	104.0	GigabitEthernet0/0	2086.0	4724.0
zagreb	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	1007	5767	493.0	493.0	493.0	0.493	0.493	0.493	106.0	GigabitEthernet0/0	2086.0	4724.0
peerbrussels4	vienna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	211	3279	176.0	176.0	176.0	0.175	0.175	0.175	113.0	GigabitEthernet0/0	2086.0	4724.0
madrid	peermarseille13	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	530	3841	349.0	349.0	349.0	0.348	0.348	0.348	123.0	GigabitEthernet0/0	2086.0	4724.0
athens	vaduz	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	518	3330	343.0	343.0	343.0	0.342	0.342	0.342	131.0	GigabitEthernet0/0	2086.0	4724.0
peerfrankfurt7	ljubjana	IpWildcardIpSpace{ipWildcard=200.1.60.0/24}	sat	1009	4852	572.0	572.0	572.0	0.571	0.571	0.571	160.0	GigabitEthernet0/0	2086.0	4724.0
brussels	praha	IpWildcardIpSpace{ipWildcard=200.1.24.0/24}	sat	4503	11021	2098.0	2098.0	2098.0	2.096	2.096	2.096	118.0	GigabitEthernet0/0	2086.0	4724.0
