srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	787	12800	2158.0	2158.0	2158.0	2.156	2.156	2.156	605.0	GigabitEthernet0/0	7820.0	18325.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	153	4889	1654.0	1654.0	1654.0	1.654	1.654	1.654	438.0	GigabitEthernet0/0	7820.0	18325.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	45	1582	1031.0	1031.0	1031.0	1.03	1.03	1.03	422.0	GigabitEthernet0/0	7820.0	18325.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	36	1892	967.0	967.0	967.0	0.966	0.966	0.966	382.0	GigabitEthernet0/0	7820.0	18325.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	177	6121	1640.0	1640.0	1640.0	1.639	1.639	1.639	425.0	GigabitEthernet0/0	7820.0	18325.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	16	437	857.0	857.0	857.0	0.856	0.856	0.856	399.0	GigabitEthernet0/0	7820.0	18325.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	8	305	849.0	849.0	849.0	0.849	0.849	0.849	374.0	GigabitEthernet0/0	7820.0	18325.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	19	620	900.0	900.0	900.0	0.899	0.899	0.899	378.0	GigabitEthernet0/0	7820.0	18325.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	109	2007	1287.0	1287.0	1287.0	1.286	1.286	1.286	381.0	GigabitEthernet0/0	7820.0	18325.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	55	1406	1105.0	1105.0	1105.0	1.103	1.103	1.103	647.0	GigabitEthernet0/0	7820.0	18325.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	19	698	810.0	810.0	810.0	0.81	0.81	0.81	412.0	GigabitEthernet0/0	7820.0	18325.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	12	549	823.0	823.0	823.0	0.822	0.822	0.822	387.0	GigabitEthernet0/0	7820.0	18325.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	845	11302	2853.0	2853.0	2853.0	2.852	2.852	2.852	395.0	GigabitEthernet0/0	7820.0	18325.0
