srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	78129	540963	97323.0	97323.0	97323.0	97.322	97.322	97.322	455.0	GigabitEthernet0/0	7820.0	17883.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	55075	441172	78460.0	78460.0	78460.0	78.46	78.46	78.46	442.0	GigabitEthernet0/0	7820.0	17883.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	82806	641669	121930.0	121930.0	121930.0	121.93	121.93	121.93	401.0	GigabitEthernet0/0	7820.0	17883.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	74335	550722	95172.0	95172.0	95172.0	95.17	95.17	95.17	391.0	GigabitEthernet0/0	7820.0	17883.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	35359	366487	48812.0	48812.0	48812.0	48.811	48.811	48.811	496.0	GigabitEthernet0/0	7820.0	17883.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	72828	531662	90957.0	90957.0	90957.0	90.956	90.956	90.956	394.0	GigabitEthernet0/0	7820.0	17883.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	53721	394071	66830.0	66830.0	66830.0	66.829	66.829	66.829	379.0	GigabitEthernet0/0	7820.0	17883.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	75048	556355	105718.0	105718.0	105718.0	105.717	105.717	105.717	372.0	GigabitEthernet0/0	7820.0	17883.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	64264	492815	93799.0	93799.0	93799.0	93.799	93.799	93.799	364.0	GigabitEthernet0/0	7820.0	17883.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	46251	375307	52615.0	52615.0	52615.0	52.614	52.614	52.614	441.0	GigabitEthernet0/0	7820.0	17883.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	51080	406099	62261.0	62261.0	62261.0	62.26	62.26	62.26	423.0	GigabitEthernet0/0	7820.0	17883.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	67617	489125	86013.0	86013.0	86013.0	86.013	86.013	86.013	384.0	GigabitEthernet0/0	7820.0	17883.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	46685	375986	57923.0	57923.0	57923.0	57.922	57.922	57.922	386.0	GigabitEthernet0/0	7820.0	17883.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	48741	411675	59979.0	59979.0	59979.0	59.979	59.979	59.979	371.0	GigabitEthernet0/0	7820.0	17883.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	65154	494046	83576.0	83576.0	83576.0	83.575	83.575	83.575	386.0	GigabitEthernet0/0	7820.0	17883.0
