srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	10259	84257	21638.0	21638.0	21638.0	21.637	21.637	21.637	587.0	GigabitEthernet0/0	7820.0	18325.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	unsat	16201	115186	28591.0	28591.0	28591.0	28.59	28.59	28.59	390.0	GigabitEthernet0/0	7820.0	18325.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	unsat	9336	72921	18969.0	18969.0	18969.0	18.968	18.968	18.968	415.0	GigabitEthernet0/0	7820.0	18325.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	unsat	14862	79898	25071.0	25071.0	25071.0	25.07	25.07	25.07	391.0	GigabitEthernet0/0	7820.0	18325.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	6454	51337	12582.0	12582.0	12582.0	12.581	12.581	12.581	526.0	GigabitEthernet0/0	7820.0	18325.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	unsat	12436	78404	19271.0	19271.0	19271.0	19.27	19.27	19.27	398.0	GigabitEthernet0/0	7820.0	18325.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	14583	69997	22782.0	22782.0	22782.0	22.782	22.782	22.782	404.0	GigabitEthernet0/0	7820.0	18325.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	unsat	8255	61764	14338.0	14338.0	14338.0	14.337	14.337	14.337	391.0	GigabitEthernet0/0	7820.0	18325.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	9435	77143	17635.0	17635.0	17635.0	17.634	17.634	17.634	382.0	GigabitEthernet0/0	7820.0	18325.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	unsat	60363	293035	98810.0	98810.0	98810.0	98.809	98.809	98.809	466.0	GigabitEthernet0/0	7820.0	18325.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	22147	133140	31280.0	31280.0	31280.0	31.279	31.279	31.279	406.0	GigabitEthernet0/0	7820.0	18325.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	unsat	14392	87121	23052.0	23052.0	23052.0	23.051	23.051	23.051	378.0	GigabitEthernet0/0	7820.0	18325.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	unsat	10113	70424	18031.0	18031.0	18031.0	18.03	18.03	18.03	378.0	GigabitEthernet0/0	7820.0	18325.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	unsat	22961	106089	32662.0	32662.0	32662.0	32.661	32.661	32.661	380.0	GigabitEthernet0/0	7820.0	18325.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	unsat	12055	79803	19742.0	19742.0	19742.0	19.741	19.741	19.741	396.0	GigabitEthernet0/0	7820.0	18325.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	unsat	15057	79544	25094.0	25094.0	25094.0	25.093	25.093	25.093	388.0	GigabitEthernet0/0	7820.0	18325.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	unsat	29260	141952	47680.0	47680.0	47680.0	47.679	47.679	47.679	392.0	GigabitEthernet0/0	7820.0	18325.0
florence	santattclara	IpWildcardIpSpace{ipWildcard=200.0.163.0/24}	unsat	39251	149803	62838.0	62838.0	62838.0	62.838	62.838	62.838	425.0	GigabitEthernet0/0	7820.0	18325.0
logrono	chicago	IpWildcardIpSpace{ipWildcard=200.0.34.0/24}	unsat	12350	65194	20744.0	20744.0	20744.0	20.743	20.743	20.743	387.0	GigabitEthernet0/0	7820.0	18325.0
worcester	bratislava	IpWildcardIpSpace{ipWildcard=200.0.23.0/24}	unsat	49959	233756	71454.0	71454.0	71454.0	71.453	71.453	71.453	377.0	GigabitEthernet0/0	7820.0	18325.0
dortmund	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	unsat	8250	54608	15872.0	15872.0	15872.0	15.872	15.872	15.872	379.0	GigabitEthernet0/0	7820.0	18325.0
avila	nodeid150	IpWildcardIpSpace{ipWildcard=200.0.127.0/24}	unsat	9025	72791	18436.0	18436.0	18436.0	18.436	18.436	18.436	425.0	GigabitEthernet0/0	7820.0	18325.0
bordeaux	washington	IpWildcardIpSpace{ipWildcard=200.0.192.0/24}	unsat	10514	70163	15389.0	15389.0	15389.0	15.388	15.388	15.388	454.0	GigabitEthernet0/0	7820.0	18325.0
boston	bilbao	IpWildcardIpSpace{ipWildcard=200.0.16.0/24}	unsat	12931	68237	18351.0	18351.0	18351.0	18.349	18.349	18.349	370.0	GigabitEthernet0/0	7820.0	18325.0
nodeid144	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.92.0/24}	unsat	9250	48131	21198.0	21198.0	21198.0	21.198	21.198	21.198	378.0	GigabitEthernet0/0	7820.0	18325.0
granada	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	unsat	13513	79080	26070.0	26070.0	26070.0	26.069	26.069	26.069	434.0	GigabitEthernet0/0	7820.0	18325.0
santtfrancisco	timisoara	IpWildcardIpSpace{ipWildcard=200.0.181.0/24}	unsat	28867	156047	48531.0	48531.0	48531.0	48.53	48.53	48.53	424.0	GigabitEthernet0/0	7820.0	18325.0
santander	elttpaso	IpWildcardIpSpace{ipWildcard=200.0.54.0/24}	unsat	13581	72451	25836.0	25836.0	25836.0	25.835	25.835	25.835	382.0	GigabitEthernet0/0	7820.0	18325.0
newttyork	zagreb	IpWildcardIpSpace{ipWildcard=200.0.195.0/24}	unsat	21753	107805	33831.0	33831.0	33831.0	33.83	33.83	33.83	420.0	GigabitEthernet0/0	7820.0	18325.0
toronto	krakow	IpWildcardIpSpace{ipWildcard=200.0.81.0/24}	unsat	29531	141688	50760.0	50760.0	50760.0	50.759	50.759	50.759	376.0	GigabitEthernet0/0	7820.0	18325.0
mainzdashwiesbaden	santtdiego	IpWildcardIpSpace{ipWildcard=200.0.165.0/24}	unsat	18048	86696	34813.0	34813.0	34813.0	34.811	34.811	34.811	450.0	GigabitEthernet0/0	7820.0	18325.0
hamburg	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	18145	101773	29173.0	29173.0	29173.0	29.173	29.173	29.173	414.0	GigabitEthernet0/0	7820.0	18325.0
berlin	logrono	IpWildcardIpSpace{ipWildcard=200.0.90.0/24}	unsat	13775	68559	24282.0	24282.0	24282.0	24.281	24.281	24.281	371.0	GigabitEthernet0/0	7820.0	18325.0
milwaukee	rome	IpWildcardIpSpace{ipWildcard=200.0.157.0/24}	unsat	12715	81529	23222.0	23222.0	23222.0	23.221	23.221	23.221	380.0	GigabitEthernet0/0	7820.0	18325.0
porto	portland	IpWildcardIpSpace{ipWildcard=200.0.149.0/24}	unsat	16969	73284	28302.0	28302.0	28302.0	28.301	28.301	28.301	429.0	GigabitEthernet0/0	7820.0	18325.0
minneapolis	kapitanttandreevo	IpWildcardIpSpace{ipWildcard=200.0.78.0/24}	unsat	34365	176754	59039.0	59039.0	59039.0	59.038	59.038	59.038	374.0	GigabitEthernet0/0	7820.0	18325.0
nodeid149	atlanta	IpWildcardIpSpace{ipWildcard=200.0.6.0/24}	unsat	9806	70737	21369.0	21369.0	21369.0	21.369	21.369	21.369	374.0	GigabitEthernet0/0	7820.0	18325.0
