srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	sat	241	23477	1982.0	1982.0	1982.0	1.981	1.981	1.981	421.0	GigabitEthernet0/0	7820.0	17883.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	sat	241	2040	827.0	827.0	827.0	0.827	0.827	0.827	400.0	GigabitEthernet0/0	7820.0	17883.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	sat	241	4435	875.0	875.0	875.0	0.874	0.874	0.874	405.0	GigabitEthernet0/0	7820.0	17883.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	sat	241	3383	849.0	849.0	849.0	0.848	0.848	0.848	385.0	GigabitEthernet0/0	7820.0	17883.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	241	24559	2110.0	2110.0	2110.0	2.108	2.108	2.108	390.0	GigabitEthernet0/0	7820.0	17883.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	sat	241	23696	2063.0	2063.0	2063.0	2.062	2.062	2.062	379.0	GigabitEthernet0/0	7820.0	17883.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	241	23760	2045.0	2045.0	2045.0	2.044	2.044	2.044	504.0	GigabitEthernet0/0	7820.0	17883.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	sat	241	23450	2124.0	2124.0	2124.0	2.123	2.123	2.123	373.0	GigabitEthernet0/0	7820.0	17883.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	sat	241	1026	948.0	948.0	948.0	0.947	0.947	0.947	430.0	GigabitEthernet0/0	7820.0	17883.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	241	3964	857.0	857.0	857.0	0.856	0.856	0.856	429.0	GigabitEthernet0/0	7820.0	17883.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	sat	241	2847	803.0	803.0	803.0	0.802	0.802	0.802	400.0	GigabitEthernet0/0	7820.0	17883.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	sat	241	3061	835.0	835.0	835.0	0.835	0.835	0.835	370.0	GigabitEthernet0/0	7820.0	17883.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	sat	241	4593	888.0	888.0	888.0	0.888	0.888	0.888	374.0	GigabitEthernet0/0	7820.0	17883.0
herndon	oslo	IpWildcardIpSpace{ipWildcard=200.0.141.0/24}	sat	241	2935	838.0	838.0	838.0	0.837	0.837	0.837	378.0	GigabitEthernet0/0	7820.0	17883.0
santtdiego	genoa	IpWildcardIpSpace{ipWildcard=200.0.61.0/24}	sat	241	23309	2028.0	2028.0	2028.0	2.027	2.027	2.027	379.0	GigabitEthernet0/0	7820.0	17883.0
rotterdam	murcia	IpWildcardIpSpace{ipWildcard=200.0.115.0/24}	sat	241	2593	855.0	855.0	855.0	0.855	0.855	0.855	398.0	GigabitEthernet0/0	7820.0	17883.0
worcester	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	sat	241	3964	891.0	891.0	891.0	0.89	0.89	0.89	365.0	GigabitEthernet0/0	7820.0	17883.0
