srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
memphis	jackson	IpWildcardIpSpace{ipWildcard=200.0.75.0/24}	unsat	6847	34451	10146.0	10146.0	10146.0	10.144	10.144	10.144	452.0	GigabitEthernet0/0	7820.0	18325.0
orlando	newark	IpWildcardIpSpace{ipWildcard=200.0.118.0/24}	unsat	8288	38234	9328.0	9328.0	9328.0	9.327	9.327	9.327	401.0	GigabitEthernet0/0	7820.0	18325.0
copenhagen	constanta	IpWildcardIpSpace{ipWildcard=200.0.41.0/24}	unsat	9586	45628	12830.0	12830.0	12830.0	12.829	12.829	12.829	389.0	GigabitEthernet0/0	7820.0	18325.0
stamford	minneapolis	IpWildcardIpSpace{ipWildcard=200.0.109.0/24}	unsat	8598	42167	10506.0	10506.0	10506.0	10.506	10.506	10.506	391.0	GigabitEthernet0/0	7820.0	18325.0
caen	dublin	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	unsat	7264	34755	7233.0	7233.0	7233.0	7.232	7.232	7.232	390.0	GigabitEthernet0/0	7820.0	18325.0
vienna	poiters	IpWildcardIpSpace{ipWildcard=200.0.148.0/24}	unsat	9592	43956	10878.0	10878.0	10878.0	10.878	10.878	10.878	387.0	GigabitEthernet0/0	7820.0	18325.0
stockholm	dallas	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	unsat	7179	38196	11067.0	11067.0	11067.0	11.067	11.067	11.067	447.0	GigabitEthernet0/0	7820.0	18325.0
cleveland	nodeid172	IpWildcardIpSpace{ipWildcard=200.0.129.0/24}	unsat	8111	38870	10790.0	10790.0	10790.0	10.789	10.789	10.789	437.0	GigabitEthernet0/0	7820.0	18325.0
lyon	dijon	IpWildcardIpSpace{ipWildcard=200.0.48.0/24}	unsat	7038	32399	8923.0	8923.0	8923.0	8.922	8.922	8.922	371.0	GigabitEthernet0/0	7820.0	18325.0
toronto	sofia	IpWildcardIpSpace{ipWildcard=200.0.171.0/24}	unsat	9454	43796	10868.0	10868.0	10868.0	10.867	10.867	10.867	473.0	GigabitEthernet0/0	7820.0	18325.0
krakow	charlotte	IpWildcardIpSpace{ipWildcard=200.0.33.0/24}	unsat	7962	37429	8593.0	8593.0	8593.0	8.592	8.592	8.592	393.0	GigabitEthernet0/0	7820.0	18325.0
monterrey	greensboro	IpWildcardIpSpace{ipWildcard=200.0.65.0/24}	unsat	7159	36496	8255.0	8255.0	8255.0	8.254	8.254	8.254	369.0	GigabitEthernet0/0	7820.0	18325.0
jacksonville	detroit	IpWildcardIpSpace{ipWildcard=200.0.47.0/24}	unsat	6841	35200	8736.0	8736.0	8736.0	8.735	8.735	8.735	382.0	GigabitEthernet0/0	7820.0	18325.0
