srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	18	580	1657.0	1657.0	1657.0	1.656	1.656	1.656	640.0	GigabitEthernet0/0	11973.0	28298.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	26	803	1705.0	1705.0	1705.0	1.705	1.705	1.705	623.0	GigabitEthernet0/0	11973.0	28298.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	48	1722	1795.0	1795.0	1795.0	1.795	1.795	1.795	1645.0	GigabitEthernet0/0	11973.0	28298.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	26	803	1772.0	1772.0	1772.0	1.771	1.771	1.771	635.0	GigabitEthernet0/0	11973.0	28298.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	31	732	1786.0	1786.0	1786.0	1.785	1.785	1.785	623.0	GigabitEthernet0/0	11973.0	28298.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	34	603	1760.0	1760.0	1760.0	1.759	1.759	1.759	685.0	GigabitEthernet0/0	11973.0	28298.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	35	599	1638.0	1638.0	1638.0	1.638	1.638	1.638	612.0	GigabitEthernet0/0	11973.0	28298.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	42	1614	1917.0	1917.0	1917.0	1.916	1.916	1.916	592.0	GigabitEthernet0/0	11973.0	28298.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	64	2828	2147.0	2147.0	2147.0	2.146	2.146	2.146	605.0	GigabitEthernet0/0	11973.0	28298.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	27	600	1749.0	1749.0	1749.0	1.749	1.749	1.749	600.0	GigabitEthernet0/0	11973.0	28298.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	26	668	1908.0	1908.0	1908.0	1.907	1.907	1.907	651.0	GigabitEthernet0/0	11973.0	28298.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	31	687	1812.0	1812.0	1812.0	1.811	1.811	1.811	584.0	GigabitEthernet0/0	11973.0	28298.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	35	599	1690.0	1690.0	1690.0	1.689	1.689	1.689	578.0	GigabitEthernet0/0	11973.0	28298.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	25	528	1750.0	1750.0	1750.0	1.749	1.749	1.749	614.0	GigabitEthernet0/0	11973.0	28298.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	28	1173	2010.0	2010.0	2010.0	2.009	2.009	2.009	637.0	GigabitEthernet0/0	11973.0	28298.0
newcastle	saranacttlake	IpWildcardIpSpace{ipWildcard=200.1.21.0/24}	sat	16	585	1785.0	1785.0	1785.0	1.784	1.784	1.784	636.0	GigabitEthernet0/0	11973.0	28298.0
luxembourg	whitesville	IpWildcardIpSpace{ipWildcard=200.1.59.0/24}	sat	35	1274	2226.0	2226.0	2226.0	2.225	2.225	2.225	702.0	GigabitEthernet0/0	11973.0	28298.0
canton	valencia	IpWildcardIpSpace{ipWildcard=200.1.47.0/24}	sat	22	532	1813.0	1813.0	1813.0	1.812	1.812	1.812	633.0	GigabitEthernet0/0	11973.0	28298.0
frankfurt	altmar	IpWildcardIpSpace{ipWildcard=200.0.9.0/24}	sat	133	2885	2986.0	2986.0	2986.0	2.985	2.985	2.985	591.0	GigabitEthernet0/0	11973.0	28298.0
mountpelier	madrid	IpWildcardIpSpace{ipWildcard=200.0.151.0/24}	sat	38	1277	1949.0	1949.0	1949.0	1.948	1.948	1.948	684.0	GigabitEthernet0/0	11973.0	28298.0
stttlouis	middleburgh	IpWildcardIpSpace{ipWildcard=200.0.166.0/24}	sat	28	1025	1892.0	1892.0	1892.0	1.891	1.891	1.891	625.0	GigabitEthernet0/0	11973.0	28298.0
alfred	nice	IpWildcardIpSpace{ipWildcard=200.0.189.0/24}	sat	824	12266	8391.0	8391.0	8391.0	8.389	8.389	8.389	604.0	GigabitEthernet0/0	11973.0	28298.0
amsterdam	santtfrancisco	IpWildcardIpSpace{ipWildcard=200.1.19.0/24}	sat	390	9095	4231.0	4231.0	4231.0	4.23	4.23	4.23	597.0	GigabitEthernet0/0	11973.0	28298.0
middleburgh	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	51	1542	2161.0	2161.0	2161.0	2.16	2.16	2.16	599.0	GigabitEthernet0/0	11973.0	28298.0
florence	caen	IpWildcardIpSpace{ipWildcard=200.0.51.0/24}	sat	26	707	1984.0	1984.0	1984.0	1.983	1.983	1.983	612.0	GigabitEthernet0/0	11973.0	28298.0
middlebury	tampa	IpWildcardIpSpace{ipWildcard=200.1.39.0/24}	sat	51	1542	2138.0	2138.0	2138.0	2.137	2.137	2.137	676.0	GigabitEthernet0/0	11973.0	28298.0
nuremberg	varna	IpWildcardIpSpace{ipWildcard=200.1.48.0/24}	sat	26	777	1900.0	1900.0	1900.0	1.899	1.899	1.899	595.0	GigabitEthernet0/0	11973.0	28298.0
nodeidh91	barcelona	IpWildcardIpSpace{ipWildcard=200.0.20.0/24}	sat	32	1052	1959.0	1959.0	1959.0	1.958	1.958	1.958	610.0	GigabitEthernet0/0	11973.0	28298.0
zaragoza	losttangeles	IpWildcardIpSpace{ipWildcard=200.0.146.0/24}	sat	1678	16236	7521.0	7521.0	7521.0	7.521	7.521	7.521	623.0	GigabitEthernet0/0	11973.0	28298.0
albanyidh64	london	IpWildcardIpSpace{ipWildcard=200.0.145.0/24}	sat	33	555	1834.0	1834.0	1834.0	1.833	1.833	1.833	782.0	GigabitEthernet0/0	11973.0	28298.0
tallinn	leon	IpWildcardIpSpace{ipWildcard=200.0.139.0/24}	sat	41	1308	2143.0	2143.0	2143.0	2.142	2.142	2.142	570.0	GigabitEthernet0/0	11973.0	28298.0
omaha	nodeidh110	IpWildcardIpSpace{ipWildcard=200.0.202.0/24}	sat	50	1600	2251.0	2251.0	2251.0	2.25	2.25	2.25	942.0	GigabitEthernet0/0	11973.0	28298.0
