srcNode	dstNode	dstIps	sat/unsat	Conflicts	Decisions	AvgSolverTime	MaxSolverTime	MinSolverTime	AvgZ3Time	MaxZ3Time	MinZ3Time	AvgEncodingTime	dstPort	Variables	Constraints
nodeidh89	nodeidh96	IpWildcardIpSpace{ipWildcard=200.0.221.0/24}	sat	21787	106028	50269.0	50269.0	50269.0	50.267	50.267	50.267	687.0	GigabitEthernet0/0	11973.0	28298.0
almond	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	23279	110446	62387.0	62387.0	62387.0	62.386	62.386	62.386	620.0	GigabitEthernet0/0	11973.0	28298.0
dijon	marseille	IpWildcardIpSpace{ipWildcard=200.0.160.0/24}	sat	28893	134165	64505.0	64505.0	64505.0	64.504	64.504	64.504	675.0	GigabitEthernet0/0	11973.0	28298.0
olean	odessaidh48	IpWildcardIpSpace{ipWildcard=200.0.226.0/24}	sat	23279	110446	62271.0	62271.0	62271.0	62.27	62.27	62.27	626.0	GigabitEthernet0/0	11973.0	28298.0
dusseldorf	nodeidh21	IpWildcardIpSpace{ipWildcard=200.0.209.0/24}	sat	38836	142710	92404.0	92404.0	92404.0	92.403	92.403	92.403	634.0	GigabitEthernet0/0	11973.0	28298.0
empiretttelephonettco	brussels	IpWildcardIpSpace{ipWildcard=200.0.43.0/24}	sat	37135	124433	76338.0	76338.0	76338.0	76.338	76.338	76.338	599.0	GigabitEthernet0/0	11973.0	28298.0
strasbourg	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	20804	94373	37664.0	37664.0	37664.0	37.663	37.663	37.663	621.0	GigabitEthernet0/0	11973.0	28298.0
miami	auburn	IpWildcardIpSpace{ipWildcard=200.0.14.0/24}	sat	30717	114946	60061.0	60061.0	60061.0	60.06	60.06	60.06	615.0	GigabitEthernet0/0	11973.0	28298.0
providence	toledo	IpWildcardIpSpace{ipWildcard=200.1.41.0/24}	sat	23706	111628	42946.0	42946.0	42946.0	42.946	42.946	42.946	624.0	GigabitEthernet0/0	11973.0	28298.0
lebanon	pulaski	IpWildcardIpSpace{ipWildcard=200.0.253.0/24}	sat	37664	145385	94929.0	94929.0	94929.0	94.928	94.928	94.928	597.0	GigabitEthernet0/0	11973.0	28298.0
nodeidh24	wellsville	IpWildcardIpSpace{ipWildcard=200.1.56.0/24}	sat	27649	102136	73730.0	73730.0	73730.0	73.729	73.729	73.729	614.0	GigabitEthernet0/0	11973.0	28298.0
nodeidh96	fredonia	IpWildcardIpSpace{ipWildcard=200.0.98.0/24}	sat	21397	93159	49550.0	49550.0	49550.0	49.55	49.55	49.55	587.0	GigabitEthernet0/0	11973.0	28298.0
orangettcounty	baltimore	IpWildcardIpSpace{ipWildcard=200.0.19.0/24}	sat	20804	94373	38307.0	38307.0	38307.0	38.306	38.306	38.306	578.0	GigabitEthernet0/0	11973.0	28298.0
newttyorkttcity	manchester	IpWildcardIpSpace{ipWildcard=200.0.156.0/24}	sat	27107	119380	63132.0	63132.0	63132.0	63.131	63.131	63.131	654.0	GigabitEthernet0/0	11973.0	28298.0
avila	nuremberg	IpWildcardIpSpace{ipWildcard=200.0.223.0/24}	sat	27511	119875	56730.0	56730.0	56730.0	56.729	56.729	56.729	641.0	GigabitEthernet0/0	11973.0	28298.0
